frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched,assignedCount,assignedFine,shaftGroups
1,0.250026,18,3,3,11,5,20,3,16
11,0.167945,16,4,4,10,5,17,4,12
21,0.150583,16,5,2,11,3,16,2,15
31,0.141212,9,1,1,13,2,9,1,8
41,0.147723,10,2,2,11,5,13,2,10
51,0.12947,13,6,4,8,4,14,5,12
61,0.120278,16,6,6,10,6,17,6,14
71,0.124469,14,8,7,13,6,18,7,11
81,0.138939,20,4,4,9,7,20,4,14
91,0.183343,18,4,4,11,7,20,4,15
101,0.239082,19,2,2,15,8,22,2,15
111,0.379341,25,3,2,16,9,28,2,22
121,0.494394,12,2,2,11,5,14,2,10
131,0.517884,11,0,0,8,2,14,0,9
141,0.425091,19,2,2,8,5,24,2,15
151,0.320222,16,6,6,8,8,16,6,14
161,0.538901,12,1,1,3,2,13,1,10
171,0.854313,10,3,3,6,4,11,3,9
181,0.890756,8,2,2,4,3,9,2,6
191,0.574947,10,3,2,4,2,12,2,7
201,0.472905,9,1,1,6,2,12,1,7
211,0.470595,22,2,2,5,4,27,2,20
221,0.362244,24,2,2,5,5,28,2,21
231,0.40025,16,1,1,3,2,19,1,15
241,0.591094,20,1,1,5,4,21,1,17
251,0.999257,15,2,2,3,1,19,2,14
261,1.071673,11,1,1,2,1,16,1,11
271,0.914824,20,2,2,3,1,24,2,18
281,0.968562,19,2,2,8,6,20,2,17
291,0.642821,63,4,4,6,6,65,4,57
301,0.679753,76,2,2,1,1,82,2,75
311,0.60798,65,4,4,6,2,72,4,59
321,0.744468,72,1,1,3,3,76,1,67
331,0.97926,65,4,4,9,7,69,4,59
341,0.896575,29,2,2,6,5,31,2,28
351,0.904265,29,3,3,7,4,34,3,28
361,1.132937,28,2,2,6,3,34,2,24
371,1.238933,38,1,1,5,3,46,1,36
381,1.393853,25,2,2,3,2,32,2,24
391,1.082406,12,1,1,2,2,12,1,9
401,1.252494,17,2,2,2,2,19,2,15
411,1.043115,11,2,2,2,2,14,2,8
421,0.699198,8,1,1,3,3,9,1,7
431,0.506203,9,2,2,3,1,12,2,7
441,0.591961,10,2,2,6,4,12,2,8
451,0.791923,11,2,2,4,2,12,2,10
461,0.627838,13,1,1,4,4,14,1,12
471,0.175085,9,1,1,3,3,10,1,8
481,0.043689,5,3,3,4,2,5,3,4
491,0.039222,5,1,1,6,3,7,1,5
501,0.081663,15,6,4,10,8,16,4,11
511,0.187207,11,4,4,8,7,11,4,9
521,0.415385,11,4,4,8,4,15,4,9
531,0.485401,14,2,2,4,2,19,2,12
541,0.262676,15,2,2,3,2,18,2,14
551,0.239226,29,0,0,10,4,33,0,20
561,0.291621,27,3,3,9,5,28,3,19
571,0.310155,15,0,0,5,3,17,0,13
581,0.236807,9,1,1,5,3,10,1,9
591,0.2712,15,1,1,2,1,20,1,14
601,0.901203,15,2,2,6,4,16,2,13
611,0.891588,17,2,2,6,5,20,2,14
621,0.500816,23,2,2,4,2,27,2,18
631,0.376041,18,2,2,5,4,21,2,15
641,0.371171,14,4,4,3,2,15,4,10
651,0.397073,15,2,2,3,1,16,2,13
661,0.455628,13,2,2,7,5,15,2,11
671,0.295769,21,2,2,8,6,23,2,18
681,0.286817,28,1,1,12,7,29,1,26
691,0.388505,28,1,1,8,6,33,1,27
701,0.461368,33,1,1,5,3,36,1,30
711,0.454193,31,3,3,5,4,37,3,27
721,0.443745,27,2,2,4,2,32,2,23
731,0.520926,28,1,1,9,5,30,1,24
741,0.407676,24,2,2,9,3,29,2,21
751,0.566071,23,4,4,6,6,23,4,17
761,0.453418,21,1,1,7,3,24,1,16
771,0.479051,25,3,3,5,3,27,3,21
781,0.46607,22,3,3,5,3,29,3,20
791,0.572374,21,4,4,15,7,25,4,17
801,0.426553,18,5,5,3,2,19,5,15
811,0.303288,14,4,4,12,5,15,4,12
821,0.298076,26,1,1,12,9,30,1,19
831,0.418604,28,5,5,12,10,29,5,21
841,0.455236,34,2,2,4,4,40,2,24
851,0.49455,32,4,4,5,4,35,4,25
861,0.393559,13,1,1,7,1,15,1,10
871,0.275137,14,2,2,7,4,18,2,12
881,0.258592,15,2,2,11,7,16,2,9
891,0.376757,25,6,6,12,9,30,6,20
901,0.488157,26,1,1,10,4,28,1,22
911,0.800249,34,5,5,9,5,41,5,27
921,0.96455,34,2,2,10,7,42,2,29
931,1.212007,46,5,5,10,8,54,5,36
941,1.226021,38,3,3,14,11,45,3,30
951,0.994314,33,3,3,9,7,42,3,24
961,1.25803,35,0,0,10,5,45,0,28
971,1.222948,35,4,4,11,7,39,4,26
981,1.070558,30,4,4,10,5,36,4,25
991,0.949647,23,1,1,6,6,29,1,16
1001,0.989541,23,1,1,5,4,29,1,21
1011,1.001315,26,2,2,14,6,35,2,23
1021,1.240605,25,5,5,14,10,33,5,21
1031,1.193688,18,3,1,13,6,22,1,17
1041,1.237505,26,1,1,10,4,30,1,21
1051,0.70171,31,2,2,8,5,35,2,28
1061,0.36499,40,1,1,9,8,46,1,36
1071,0.225696,49,4,4,15,10,54,4,45
1081,0.259529,44,6,4,18,10,50,4,42
1091,0.528426,46,5,5,18,11,51,5,40
1101,0.523102,54,10,10,18,13,62,10,46
1111,0.618919,45,4,3,15,10,52,4,35
1121,0.64553,26,3,3,15,9,29,3,23
1131,0.518085,25,1,1,12,6,30,1,24
1141,0.659748,29,0,0,9,7,36,0,24
1151,0.665513,32,1,1,20,10,37,1,28
1161,0.471973,28,6,6,10,7,29,6,21
