frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched,assignedCount,assignedFine,shaftGroups
1,0.072387,30,3,3,11,7,30,3,25
11,0.063683,31,4,4,10,7,34,4,27
21,0.062742,28,5,5,11,7,31,5,25
31,0.061647,21,1,1,13,4,23,1,18
41,0.057586,28,2,2,11,9,32,2,22
51,0.053349,23,6,6,8,7,25,6,21
61,0.051624,27,6,6,10,7,33,6,23
71,0.052186,28,8,8,13,8,31,8,20
81,0.056266,29,4,4,9,8,31,4,24
91,0.073831,32,4,4,11,7,34,4,25
101,0.093636,35,2,2,15,9,43,2,30
111,0.134765,45,3,3,16,13,50,3,38
121,0.169616,44,2,2,11,7,54,2,38
131,0.190993,37,0,0,8,5,46,0,30
141,0.167304,31,2,2,8,5,33,2,23
151,0.128884,19,6,6,8,8,23,6,17
161,0.190498,35,1,1,3,3,43,1,34
171,0.268765,40,3,3,6,4,49,3,34
181,0.269136,30,2,2,4,4,39,2,26
191,0.189047,25,3,3,4,4,29,3,19
201,0.173828,15,1,1,6,2,19,1,12
211,0.168698,37,2,2,5,4,44,2,34
221,0.136306,43,2,2,5,5,51,2,39
231,0.151873,30,1,1,3,3,35,1,29
241,0.20241,40,1,1,5,4,47,1,37
251,0.298103,38,2,2,3,1,52,2,35
261,0.33874,43,1,1,2,2,62,1,42
271,0.294188,46,2,2,3,3,59,2,39
281,0.296937,55,2,2,8,8,65,2,53
291,0.215622,92,4,4,6,6,98,4,85
301,0.249014,102,2,2,1,1,107,2,97
311,0.247501,93,4,4,6,3,100,4,86
321,0.276123,107,1,1,3,3,113,1,101
331,0.305557,106,4,4,9,9,116,4,98
341,0.287683,70,2,2,6,4,84,2,62
351,0.28638,80,3,3,7,4,93,3,76
361,0.361004,81,2,2,6,5,99,2,74
371,0.386323,86,1,1,5,3,111,1,76
381,0.429972,64,2,2,3,3,77,2,55
391,0.349902,53,1,1,2,2,65,1,47
401,0.390088,62,2,2,2,2,76,2,54
411,0.321864,34,2,2,2,2,38,2,27
421,0.223561,26,1,1,3,3,36,1,23
431,0.176193,32,2,2,3,1,44,2,30
441,0.192604,29,2,2,6,4,47,2,26
451,0.250392,38,2,2,4,3,46,2,35
461,0.195112,39,1,1,4,4,48,1,36
471,0.063065,18,1,1,3,3,20,1,16
481,0.02011,8,3,3,4,4,8,3,6
491,0.018971,9,1,1,6,4,10,1,9
501,0.0376,17,6,6,10,8,18,6,11
511,0.074192,23,4,4,8,7,26,4,20
521,0.154344,27,4,4,8,7,33,4,24
531,0.169462,29,2,2,4,2,35,2,23
541,0.105132,27,2,2,3,2,32,2,24
551,0.095903,44,0,0,10,7,53,0,36
561,0.117695,42,3,3,9,6,43,3,32
571,0.120286,37,0,0,5,4,45,0,32
581,0.09855,22,1,1,5,4,30,1,21
591,0.101814,30,1,1,2,1,38,1,27
601,0.298837,45,2,2,6,5,58,2,41
611,0.303476,48,2,2,6,6,63,2,43
621,0.183835,43,2,2,4,2,54,2,38
631,0.136999,33,2,2,5,4,39,2,28
641,0.136196,30,4,4,3,3,34,4,26
651,0.15628,31,2,2,3,2,36,2,25
661,0.172121,30,2,2,7,5,35,2,27
671,0.122719,32,2,2,8,6,35,2,26
681,0.113935,46,1,1,12,9,49,1,41
691,0.144654,64,1,1,8,7,78,1,57
701,0.173622,57,1,1,5,3,65,1,48
711,0.165568,65,3,3,5,5,84,3,60
721,0.153252,55,2,2,4,2,62,2,48
731,0.178476,50,1,1,9,7,61,1,41
741,0.158045,44,2,2,9,4,54,2,39
751,0.209663,47,4,4,6,6,52,4,35
761,0.179759,46,1,1,7,4,54,1,41
771,0.180872,42,3,3,5,4,50,3,37
781,0.180993,40,3,3,5,3,45,3,34
791,0.20543,46,4,4,15,11,56,4,38
801,0.153636,42,5,5,3,2,51,5,36
811,0.119951,25,4,4,12,5,30,4,22
821,0.121808,37,1,1,12,11,41,1,25
831,0.165727,43,5,5,12,12,47,5,35
841,0.187018,54,2,2,4,4,58,2,43
851,0.177837,47,4,4,5,4,57,4,39
861,0.142245,32,1,1,7,5,39,1,29
871,0.112765,30,2,2,7,7,35,2,27
881,0.106808,31,2,2,11,8,33,2,22
891,0.138928,49,6,6,12,9,57,6,38
901,0.175952,50,1,1,10,7,60,1,44
911,0.262815,64,5,5,9,9,77,5,57
921,0.314248,62,2,2,10,8,73,2,55
931,0.390458,80,5,5,10,10,96,5,63
941,0.39701,75,3,3,14,12,93,3,66
951,0.343393,74,3,3,9,8,90,3,59
961,0.402781,65,0,0,10,7,85,0,55
971,0.406062,57,4,4,11,9,71,4,46
981,0.360397,64,4,4,10,5,81,4,58
991,0.327467,57,1,1,6,6,69,1,48
1001,0.329728,57,1,1,5,5,77,1,52
1011,0.333304,69,2,2,14,8,85,2,60
1021,0.380497,54,5,5,14,11,61,5,46
1031,0.369318,55,3,2,13,7,71,2,50
1041,0.387012,56,1,1,10,8,70,1,51
1051,0.248498,51,2,2,8,7,59,2,45
1061,0.136712,61,1,1,9,7,75,1,59
1071,0.092002,66,4,4,15,11,69,4,59
1081,0.104448,74,6,5,18,14,82,5,68
1091,0.185639,73,5,5,18,14,85,5,62
1101,0.189134,97,10,10,18,14,115,10,84
1111,0.229578,95,4,4,15,12,105,4,83
1121,0.229301,50,3,3,15,12,60,3,44
1131,0.196255,53,1,1,12,8,65,1,50
1141,0.237607,62,0,0,9,8,70,0,48
1151,0.233568,57,1,1,20,14,67,1,53
1161,0.178291,45,6,6,10,7,51,6,35
