frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched
1,0.08967,35,3,3,11,8
11,0.067301,32,4,4,10,8
21,0.065896,34,5,3,11,8
31,0.062535,29,1,1,13,6
41,0.065586,27,2,2,11,9
51,0.060264,28,6,5,8,8
61,0.054288,27,6,6,10,8
71,0.055784,28,8,8,13,8
81,0.059869,26,4,4,9,8
91,0.080953,29,4,4,11,7
101,0.102785,39,2,2,15,8
111,0.144888,46,3,2,16,11
121,0.178453,45,2,2,11,5
131,0.190581,38,0,0,8,4
141,0.16621,33,2,2,8,5
151,0.129016,27,6,6,8,8
161,0.194657,39,1,1,3,3
171,0.263685,47,3,3,6,4
181,0.272318,33,2,2,4,4
191,0.18658,29,3,2,4,4
201,0.180582,28,1,1,6,2
211,0.176557,53,2,2,5,4
221,0.140594,60,2,2,5,5
231,0.149546,38,1,1,3,2
241,0.20517,56,1,1,5,4
251,0.31517,58,2,2,3,1
261,0.343988,46,1,1,2,2
271,0.299127,69,2,2,3,2
281,0.310414,57,2,2,8,7
291,0.226658,106,4,4,6,6
301,0.273749,109,2,2,1,1
311,0.331199,98,4,4,6,3
321,0.338178,113,1,1,3,3
331,0.309551,116,4,4,9,8
341,0.299114,89,2,2,6,5
351,0.311727,88,3,3,7,4
361,0.357193,105,2,2,6,5
371,0.398019,94,1,1,5,3
381,0.437573,83,2,2,3,3
391,0.341607,56,1,1,2,2
401,0.376697,67,2,2,2,2
411,0.31166,45,2,2,2,2
421,0.216408,34,1,1,3,3
431,0.169839,36,2,2,3,2
441,0.191259,35,2,2,6,4
451,0.237585,40,2,2,4,2
461,0.190433,40,1,1,4,4
471,0.065851,20,1,1,3,3
481,0.019695,9,3,3,4,3
491,0.017822,9,1,1,6,5
501,0.03785,20,6,4,10,8
511,0.074687,25,4,4,8,8
521,0.150834,31,4,4,8,5
531,0.179737,36,2,2,4,2
541,0.111881,34,2,2,3,2
551,0.101675,48,0,0,10,6
561,0.126318,49,3,3,9,6
571,0.122154,43,0,0,5,5
581,0.102346,27,1,1,5,4
591,0.112685,34,1,1,2,1
601,0.294279,49,2,2,6,5
611,0.295664,50,2,2,6,6
621,0.195198,39,2,2,4,2
631,0.148436,44,2,2,5,4
641,0.141461,35,4,4,3,3
651,0.15398,31,2,2,3,2
661,0.174657,29,2,2,7,6
671,0.12827,42,2,2,8,7
681,0.120559,51,1,1,12,10
691,0.155858,55,1,1,8,7
701,0.17756,74,1,1,5,3
711,0.172657,74,3,3,5,4
721,0.164043,59,2,2,4,2
731,0.185937,45,1,1,9,6
741,0.157307,54,2,2,9,4
751,0.21034,54,4,4,6,6
761,0.188431,45,1,1,7,4
771,0.186875,46,3,3,5,4
781,0.178415,44,3,3,5,4
791,0.207397,48,4,4,15,11
801,0.165194,42,5,5,3,2
811,0.129655,29,4,4,12,5
821,0.125691,38,1,1,12,11
831,0.166613,48,5,5,12,11
841,0.17966,54,2,2,4,4
851,0.192897,53,4,4,5,5
861,0.149907,33,1,1,7,4
871,0.115573,37,2,2,7,6
881,0.109494,35,2,2,11,8
891,0.15654,51,6,6,12,10
901,0.191576,58,1,1,10,7
911,0.277089,89,5,5,9,9
921,0.311686,73,2,2,10,8
931,0.398771,88,5,5,10,10
941,0.406459,84,3,3,14,12
951,0.34611,76,3,3,9,8
961,0.420246,71,0,0,10,6
971,0.408922,68,4,4,11,8
981,0.354927,61,4,4,10,5
991,0.303196,57,1,1,6,6
1001,0.313277,63,1,1,5,5
1011,0.323626,67,2,2,14,8
1021,0.376234,51,5,5,14,10
1031,0.391427,62,3,2,13,8
1041,0.382828,59,1,1,10,9
1051,0.253691,72,2,2,8,6
1061,0.146304,63,1,1,9,8
1071,0.097911,66,4,4,15,11
1081,0.110833,70,6,6,18,13
1091,0.193722,75,5,5,18,12
1101,0.201008,106,10,10,18,14
1111,0.237022,97,4,3,15,12
1121,0.236587,69,3,3,15,13
1131,0.19034,58,1,1,12,7
1141,0.242225,68,0,0,9,7
1151,0.235523,65,1,1,20,14
1161,0.181861,61,6,6,10,9
