frame,milliseconds,legacyMilliseconds,legacyCount,candidateCount,retainedLegacy,fineCount,fineMatched,legacyFineMatched,subsetCount,subsetFineMatched,coarseCount,coarseShared,coarseMatchedNewTolerant,coarseMatchedOldTolerant
1,656.811,52.292,19,82,19,5,5,4,57,4,0,0,0,0
24,314.405,34.654,15,45,15,7,7,6,50,7,0,0,0,0
48,323.536,33.519,22,75,22,2,2,2,47,2,0,0,0,0
71,299.428,36.42,47,123,47,9,9,8,73,8,0,0,0,0
95,244.517,36.867,32,96,32,1,1,1,67,1,0,0,0,0
118,274.306,37.684,63,135,63,19,19,16,111,18,0,0,0,0
141,282.433,36.291,75,152,75,17,17,17,100,17,0,0,0,0
165,256.491,34.994,49,128,49,12,12,11,69,11,0,0,0,0
188,300.163,36.406,21,87,21,4,4,4,54,4,0,0,0,0
212,304.563,35.312,11,40,11,6,6,6,43,6,0,0,0,0
235,221.874,29.906,17,50,17,1,1,1,43,1,0,0,0,0
258,181.845,26.91,14,68,14,1,0,0,41,0,0,0,0,0
282,261.747,31.567,19,57,19,4,4,3,44,3,0,0,0,0
305,266.397,33.072,23,75,23,4,4,3,56,3,0,0,0,0
328,223.283,32.04,31,83,31,6,5,2,61,3,0,0,0,0
352,293.777,34.49,23,80,23,5,4,3,54,3,0,0,0,0
375,216.654,29.993,21,80,21,1,1,1,53,1,0,0,0,0
399,196.472,29.398,23,87,23,3,3,3,47,3,0,0,0,0
422,198.18,30.002,24,79,24,3,3,3,59,3,0,0,0,0
445,191.545,30.292,15,80,15,6,5,4,57,5,0,0,0,0
469,141.695,25.968,17,75,17,2,2,2,47,2,0,0,0,0
492,152.627,26.089,12,45,12,6,6,3,52,6,0,0,0,0
516,243.751,33.598,20,64,20,4,4,4,52,4,0,0,0,0
539,278.854,33.287,21,70,21,4,4,4,65,3,0,0,0,0
