frame,milliseconds,legacyMilliseconds,legacyCount,candidateCount,retainedLegacy,fineCount,fineMatched,legacyFineMatched,subsetCount,subsetFineMatched,coarseCount,coarseShared,coarseMatchedNewTolerant,coarseMatchedOldTolerant
1,1043.776,NaN,9,17,9,3,3,1,NaN,NaN,11,9,11,10
2,216.297,NaN,10,20,10,0,NaN,NaN,NaN,NaN,11,9,12,9
3,152.044,NaN,9,17,9,0,NaN,NaN,NaN,NaN,10,6,8,6
4,125.002,NaN,9,19,9,0,NaN,NaN,NaN,NaN,12,11,14,11
5,220.134,NaN,9,16,9,0,NaN,NaN,NaN,NaN,10,7,9,7
6,103.379,NaN,9,17,9,0,NaN,NaN,NaN,NaN,8,5,7,7
7,94.104,NaN,9,19,9,0,NaN,NaN,NaN,NaN,7,5,7,5
8,96.129,NaN,10,19,10,0,NaN,NaN,NaN,NaN,12,11,13,11
9,101.163,NaN,8,17,8,0,NaN,NaN,NaN,NaN,10,8,10,8
10,95.918,NaN,10,20,10,0,NaN,NaN,NaN,NaN,6,5,8,5
11,95.788,NaN,9,19,9,4,3,2,NaN,NaN,10,6,9,7
12,94.453,NaN,9,15,9,0,NaN,NaN,NaN,NaN,9,5,6,6
13,90.762,NaN,9,18,9,0,NaN,NaN,NaN,NaN,7,6,6,6
14,94.714,NaN,11,18,11,0,NaN,NaN,NaN,NaN,8,5,5,5
15,95.053,NaN,10,16,10,0,NaN,NaN,NaN,NaN,7,5,7,5
16,94.071,NaN,8,17,8,0,NaN,NaN,NaN,NaN,7,4,6,4
17,93.073,NaN,9,18,9,0,NaN,NaN,NaN,NaN,8,6,8,8
18,92.829,NaN,11,16,11,0,NaN,NaN,NaN,NaN,6,4,5,6
19,92.766,NaN,7,17,7,0,NaN,NaN,NaN,NaN,9,6,7,8
20,95.976,NaN,8,16,8,0,NaN,NaN,NaN,NaN,11,7,8,7
21,93.502,NaN,6,16,6,5,4,2,NaN,NaN,11,7,7,7
22,93.041,NaN,8,17,8,0,NaN,NaN,NaN,NaN,14,7,10,10
23,87.273,NaN,8,17,8,0,NaN,NaN,NaN,NaN,11,7,8,8
