frame,legacyMs,subsetMs,shaftMs
1,54.276,51.026,98.069
11,27.996,54.772,97.705
21,26.442,47.473,93.378
31,28.246,47.021,93.779
41,26.024,48.139,88.847
51,41.663,51.711,92.255
61,29.561,50.201,89.638
71,26.948,48.763,86.142
81,27.825,51.012,88.546
91,28.497,62.601,104.492
101,29.895,84.164,127.508
111,32.414,106.278,162.379
121,34.797,121.559,195.371
131,32.61,132.094,210.547
141,39.605,115.94,188.938
151,31.307,88.699,156.658
161,31.838,120.63,211.232
171,30.621,180.032,268.002
181,28.725,192.628,263.378
191,31.903,133.988,198.678
201,31.07,109.463,195.943
211,33.826,104.983,198.461
221,29.282,87.202,159.431
231,31.109,97.415,174.799
241,31.39,130.798,219.471
251,32.355,207.926,301.157
261,34.316,227.352,342.194
271,32.428,177.161,306.025
281,33.96,195.942,307.393
291,32.068,150.068,230.053
301,30.906,228.037,252.917
311,32.541,307.216,253.847
321,32.363,301.576,275.001
331,32.065,244.281,296.321
341,32.787,214.796,284.119
351,33.13,227.925,294.264
361,37.58,251.97,349.127
371,34.524,279.271,363.474
381,37.81,296.632,395.47
391,32.332,231.905,336.793
401,31.679,266.324,358.547
411,29.862,226.982,306.389
421,27.051,155.958,226.293
431,26.164,125.77,182.985
441,29.34,134.206,197.682
451,27.419,170.297,241.203
461,26.613,134.251,196.386
471,23.577,54.428,83.769
481,21.87,28.637,42.001
491,19.551,28.13,42.52
501,25.057,50.374,63.048
511,24.515,65.287,100.669
521,28.112,101.451,169.492
531,32.153,121.282,189.323
541,30.302,70.992,135.702
551,30.868,77.766,123.382
561,29.439,90.356,145.443
571,31.425,87.734,144.854
581,31.126,71.664,127.324
591,32.36,73.522,133.983
601,35.021,202.113,293.597
611,34.782,200.685,299.433
621,35.3,117.914,211.597
631,30.3,84.915,161.766
641,30.529,93.616,163.719
651,29.411,102.723,172.777
661,33.876,116.581,190.85
671,31.746,87.705,155.952
681,37.297,83.471,149.266
691,33.577,109.926,175.778
701,34.474,124.052,190.956
711,32.575,114.982,190.914
721,31.142,120.899,176.942
731,32.864,131.52,201.638
741,33.19,107.289,184.43
751,33.773,133.561,228.977
761,35.906,120.732,202.216
771,33.685,125.183,208.014
781,37.654,112.289,206.276
791,34.98,131.458,224.898
801,35.667,108.88,183.627
811,33.562,97.66,157.131
821,32.77,104.612,155.749
831,31.824,113.634,190.999
841,34.169,119.159,208.652
851,33.175,116.623,201.007
861,32.509,92.782,174.551
871,35.785,77.445,153.61
881,35.2,83.686,140.582
891,33.631,104.2,164.929
901,33.887,125.838,201.549
911,34.337,181.79,275.381
921,36.576,212.791,320.257
931,36.685,264.037,382.044
941,37.18,269.1,388.948
951,37.147,218.787,344.85
961,37.163,266.349,386.625
971,36.298,273.431,385.177
981,36.981,239.598,348.068
991,38.089,218.418,322.636
1001,34.866,223.975,319.825
1011,34.499,232.996,324.184
1021,36.303,267.597,365.555
1031,39.988,249.646,359.078
1041,37.596,262.976,371.747
1051,37.041,165.322,262.649
1061,32.08,110.595,169.294
1071,30.445,80.084,122.615
1081,35.416,95.238,138.462
1091,32.006,137.557,205.566
1101,33.436,137.955,215.042
1111,35.095,165.83,245.719
1121,34.554,155.631,244.724
1131,37.553,127.316,225.039
1141,36.664,166.037,255.077
1151,36.197,158.476,254.877
1161,33.341,131.535,207.733
