frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched,assignedCount,assignedFine,shaftGroups
1,0.079126,15,3,3,11,5,15,3,9
11,0.065291,19,4,4,10,5,20,4,14
21,0.063558,15,5,4,11,5,16,4,13
31,0.061051,11,1,1,13,3,12,1,10
41,0.059902,19,2,2,11,7,20,2,12
51,0.054842,18,6,6,8,6,19,6,16
61,0.052497,21,6,6,10,6,21,6,16
71,0.052415,24,8,8,13,8,25,8,15
81,0.059989,22,4,4,9,7,24,4,16
91,0.075681,25,4,4,11,7,29,4,18
101,0.096895,24,2,2,15,8,27,2,19
111,0.14282,27,3,3,16,11,27,3,21
121,0.174498,18,2,2,11,7,23,2,12
131,0.192696,18,0,0,8,4,26,0,13
141,0.168748,17,2,2,8,5,19,2,11
151,0.133679,12,6,6,8,7,16,6,10
161,0.198204,10,1,1,3,3,13,1,9
171,0.276663,9,3,3,6,4,11,3,8
181,0.276495,10,2,2,4,4,13,2,8
191,0.190749,13,3,3,4,4,13,3,7
201,0.179539,8,1,1,6,2,11,1,6
211,0.173606,16,2,2,5,4,17,2,12
221,0.13974,23,2,2,5,5,27,2,20
231,0.159886,16,1,1,3,2,17,1,15
241,0.210079,14,1,1,5,4,15,1,11
251,0.305697,14,2,2,3,1,20,2,13
261,0.344474,16,1,1,2,2,28,1,16
271,0.30239,20,2,2,3,3,25,2,16
281,0.311852,20,2,2,8,7,26,2,19
291,0.222958,68,4,4,6,6,72,4,63
301,0.25531,67,2,2,1,1,73,2,64
311,0.248499,53,4,4,6,2,59,4,50
321,0.278718,61,1,1,3,3,66,1,57
331,0.313444,66,4,4,9,9,69,4,61
341,0.292967,24,2,2,6,3,28,2,19
351,0.294567,27,3,3,7,4,30,3,23
361,0.358561,33,2,2,6,5,42,2,29
371,0.397813,37,1,1,5,3,51,1,31
381,0.437695,23,2,2,3,3,30,2,18
391,0.35646,20,1,1,2,2,22,1,16
401,0.387779,15,2,2,2,2,16,2,12
411,0.326574,14,2,2,2,2,16,2,8
421,0.229272,10,1,1,3,3,14,1,8
431,0.182315,11,2,2,3,1,14,2,9
441,0.198552,13,2,2,6,4,20,2,11
451,0.25604,15,2,2,4,3,16,2,12
461,0.195864,17,1,1,4,4,25,1,15
471,0.065932,8,1,1,3,3,8,1,7
481,0.021313,7,3,3,4,3,7,3,5
491,0.020179,6,1,1,6,2,6,1,5
501,0.038941,16,6,6,10,8,20,6,10
511,0.076872,13,4,4,8,7,14,4,11
521,0.158441,16,4,4,8,6,21,4,13
531,0.172468,14,2,2,4,2,17,2,10
541,0.104778,15,2,2,3,2,18,2,12
551,0.09763,28,0,0,10,6,35,0,22
561,0.1193,22,3,3,9,5,24,3,15
571,0.122996,24,0,0,5,3,30,0,20
581,0.100852,11,1,1,5,2,14,1,10
591,0.107751,17,1,1,2,1,22,1,14
601,0.30533,21,2,2,6,5,28,2,18
611,0.31079,28,2,2,6,5,35,2,23
621,0.202784,31,2,2,4,2,38,2,25
631,0.141466,23,2,2,5,4,29,2,20
641,0.141247,14,4,4,3,3,14,4,12
651,0.157993,20,2,2,3,2,23,2,13
661,0.174864,9,2,1,7,4,14,1,7
671,0.126683,23,2,2,8,6,24,2,19
681,0.117395,28,1,1,12,7,33,1,25
691,0.147535,30,1,1,8,6,39,1,27
701,0.171864,33,1,1,5,3,38,1,26
711,0.16918,29,3,3,5,5,37,3,25
721,0.160012,31,2,2,4,2,35,2,26
731,0.184129,24,1,1,9,6,27,1,19
741,0.163927,23,2,2,9,3,29,2,20
751,0.21507,32,4,4,6,6,42,4,25
761,0.181167,24,1,1,7,3,28,1,19
771,0.185666,32,3,3,5,4,36,3,26
781,0.184328,23,3,3,5,3,27,3,19
791,0.208076,28,4,4,15,10,38,4,21
801,0.157143,25,5,5,3,2,31,5,19
811,0.124583,17,4,4,12,5,19,4,14
821,0.125615,31,1,1,12,11,36,1,21
831,0.17004,31,5,5,12,11,32,5,24
841,0.193478,38,2,2,4,4,42,2,27
851,0.18365,33,4,4,5,3,34,4,25
861,0.143869,17,1,1,7,4,21,1,16
871,0.115599,20,2,2,7,5,24,2,16
881,0.109607,21,2,2,11,7,22,2,13
891,0.141835,31,6,6,12,9,37,6,21
901,0.181587,28,1,1,10,5,34,1,23
911,0.275333,33,5,5,9,8,41,5,27
921,0.324626,46,2,2,10,8,54,2,40
931,0.402426,49,5,5,10,10,55,5,34
941,0.399168,44,3,3,14,12,51,3,34
951,0.350756,46,3,3,9,8,52,3,33
961,0.412502,33,0,0,10,5,38,0,25
971,0.403028,36,4,4,11,8,41,4,26
981,0.360638,35,4,4,10,5,41,4,29
991,0.328974,27,1,1,6,6,32,1,20
1001,0.32763,37,1,1,5,5,52,1,32
1011,0.338479,39,2,2,14,8,48,2,33
1021,0.384587,32,5,5,14,10,36,5,27
1031,0.371423,30,3,1,13,5,38,1,27
1041,0.392374,31,1,1,10,7,38,1,25
1051,0.248896,25,2,2,8,4,28,2,22
1061,0.13978,32,1,1,9,5,43,1,31
1071,0.095831,35,4,4,15,11,39,4,29
1081,0.108069,34,6,5,18,11,44,5,32
1091,0.192486,50,5,5,18,12,61,5,42
1101,0.191279,53,10,10,18,13,66,10,45
1111,0.229357,49,4,4,15,12,54,4,38
1121,0.228318,29,3,3,15,11,31,3,23
1131,0.201192,28,1,1,12,8,35,1,25
1141,0.243658,31,0,0,9,8,35,0,22
1151,0.234173,34,1,1,20,11,45,1,30
1161,0.183281,32,6,6,10,7,34,6,23
