frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched
1,0.170079,87,3,3,11,11
11,0.160115,82,4,4,10,9
21,0.159587,81,5,5,11,11
31,0.150217,73,1,1,13,11
41,0.144467,74,2,2,11,10
51,0.135935,70,6,6,8,8
61,0.127417,68,6,6,10,10
71,0.131883,69,8,8,13,12
81,0.149384,68,4,4,9,9
91,0.19524,79,4,4,11,7
101,0.251494,95,2,2,15,12
111,0.404098,121,3,3,16,14
121,0.50763,159,2,2,11,8
131,0.533202,152,0,0,8,7
141,0.438973,136,2,2,8,6
151,0.341621,117,6,6,8,8
161,0.553026,146,1,1,3,3
171,0.885047,154,3,3,6,4
181,0.923357,155,2,2,4,4
191,0.590158,122,3,3,4,4
201,0.486083,141,1,1,6,2
211,0.491459,182,2,2,5,4
221,0.379942,166,2,2,5,5
231,0.417451,131,1,1,3,3
241,0.613286,177,1,1,5,5
251,1.009184,208,2,2,3,1
261,1.122364,228,1,1,2,2
271,0.945926,235,2,2,3,3
281,0.990669,241,2,2,8,8
291,0.665158,229,4,4,6,6
301,0.736762,164,2,2,1,1
311,0.700664,149,4,4,6,3
321,0.82288,197,1,1,3,3
331,1.056669,256,4,4,9,9
341,0.940938,240,2,2,6,5
351,0.955141,248,3,3,7,5
361,1.194219,278,2,2,6,5
371,1.286973,267,1,1,5,4
381,1.45506,251,2,2,3,3
391,1.102445,228,1,1,2,2
401,1.303123,181,2,2,2,2
411,1.115543,167,2,2,2,2
421,0.713279,151,1,1,3,3
431,0.542486,136,2,2,3,2
441,0.61331,127,2,2,6,4
451,0.7975,138,2,2,4,3
461,0.639107,115,1,1,4,4
471,0.179974,68,1,1,3,3
481,0.046498,28,3,3,4,4
491,0.043113,34,1,1,6,6
501,0.085212,55,6,6,10,10
511,0.198858,72,4,4,8,8
521,0.428837,128,4,4,8,8
531,0.50494,131,2,2,4,3
541,0.277431,129,2,2,3,2
551,0.256671,120,0,0,10,10
561,0.320043,134,3,3,9,7
571,0.327982,114,0,0,5,5
581,0.248062,101,1,1,5,5
591,0.279504,120,1,1,2,2
601,0.943232,144,2,2,6,5
611,0.911491,187,2,2,6,6
621,0.517743,160,2,2,4,2
631,0.376766,136,2,2,5,4
641,0.374451,119,4,4,3,3
651,0.411359,93,2,2,3,3
661,0.4657,129,2,2,7,7
671,0.302332,111,2,2,8,7
681,0.295154,129,1,1,12,11
691,0.402995,168,1,1,8,7
701,0.481144,180,1,1,5,3
711,0.468989,192,3,3,5,5
721,0.459488,144,2,2,4,2
731,0.550055,126,1,1,9,7
741,0.412659,137,2,2,9,5
751,0.60883,153,4,4,6,6
761,0.475451,132,1,1,7,5
771,0.498347,114,3,3,5,4
781,0.48198,143,3,3,5,4
791,0.583733,143,4,4,15,15
801,0.438754,157,5,5,3,2
811,0.305222,112,4,4,12,6
821,0.305778,101,1,1,12,12
831,0.436782,134,5,5,12,12
841,0.465309,138,2,2,4,4
851,0.507431,154,4,4,5,5
861,0.399548,136,1,1,7,7
871,0.289694,117,2,2,7,7
881,0.263287,100,2,2,11,9
891,0.384113,163,6,6,12,10
901,0.506604,162,1,1,10,9
911,0.827445,213,5,5,9,9
921,0.985185,209,2,2,10,9
931,1.266048,255,5,5,10,10
941,1.232854,219,3,3,14,12
951,1.036157,237,3,3,9,8
961,1.310125,207,0,0,10,7
971,1.261205,201,4,4,11,10
981,1.092566,228,4,4,10,5
991,0.974886,195,1,1,6,6
1001,1.022485,217,1,1,5,5
1011,1.035844,202,2,2,14,11
1021,1.274888,194,5,5,14,12
1031,1.214206,206,3,2,13,9
1041,1.283829,187,1,1,10,10
1051,0.720358,188,2,2,8,8
1061,0.383623,153,1,1,9,8
1071,0.250423,122,4,4,15,14
1081,0.273792,153,6,6,18,16
1091,0.553513,152,5,5,18,16
1101,0.548183,218,10,10,18,14
1111,0.64528,212,4,4,15,13
1121,0.668065,175,3,3,15,14
1131,0.530642,193,1,1,12,8
1141,0.675223,195,0,0,9,9
1151,0.698625,202,1,1,20,15
1161,0.484816,157,6,6,10,9
