frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched,assignedCount,assignedFine,shaftGroups
1,0.105059,22,3,3,11,6,22,3,16
11,0.065419,26,4,4,10,7,28,4,21
21,0.066489,22,5,4,11,6,25,4,20
31,0.062362,19,1,1,13,3,22,1,16
41,0.057607,23,2,2,11,8,26,2,16
51,0.053935,20,6,6,8,6,20,6,18
61,0.052632,24,6,6,10,6,26,6,19
71,0.053613,27,8,8,13,8,30,8,19
81,0.05735,25,4,4,9,7,26,4,20
91,0.075357,31,4,4,11,7,33,4,24
101,0.097861,30,2,2,15,8,36,2,25
111,0.138127,38,3,3,16,11,41,3,31
121,0.171901,27,2,2,11,7,35,2,22
131,0.192495,29,0,0,8,5,39,0,22
141,0.166096,25,2,2,8,5,27,2,18
151,0.129514,18,6,6,8,8,22,6,16
161,0.193846,21,1,1,3,3,28,1,20
171,0.274882,25,3,3,6,4,30,3,21
181,0.276365,19,2,2,4,4,26,2,17
191,0.189647,16,3,3,4,4,17,3,10
201,0.178371,14,1,1,6,2,18,1,11
211,0.175585,26,2,2,5,4,31,2,23
221,0.140451,34,2,2,5,5,40,2,30
231,0.154771,25,1,1,3,3,29,1,24
241,0.20453,29,1,1,5,4,36,1,26
251,0.303761,27,2,2,3,1,40,2,25
261,0.343222,28,1,1,2,2,45,1,28
271,0.301678,36,2,2,3,3,42,2,29
281,0.302624,37,2,2,8,8,44,2,35
291,0.21891,81,4,4,6,6,84,4,73
301,0.257511,79,2,2,1,1,83,2,75
311,0.250513,81,4,4,6,2,87,4,75
321,0.28037,92,1,1,3,3,98,1,86
331,0.307538,85,4,4,9,9,89,4,77
341,0.290441,51,2,2,6,4,60,2,45
351,0.289573,58,3,3,7,4,72,3,54
361,0.355448,58,2,2,6,5,72,2,52
371,0.389978,62,1,1,5,3,78,1,52
381,0.426502,47,2,2,3,3,62,2,41
391,0.359063,36,1,1,2,2,43,1,31
401,0.388619,36,2,2,2,2,49,2,32
411,0.322797,23,2,2,2,2,26,2,17
421,0.225527,19,1,1,3,3,27,1,17
431,0.18012,19,2,2,3,1,24,2,17
441,0.195153,19,2,2,6,4,29,2,17
451,0.250858,27,2,2,4,3,33,2,24
461,0.195501,29,1,1,4,4,38,1,25
471,0.064056,13,1,1,3,3,14,1,11
481,0.021114,8,3,3,4,4,8,3,6
491,0.019783,7,1,1,6,2,7,1,6
501,0.038014,17,6,6,10,8,19,6,11
511,0.07445,19,4,4,8,7,22,4,17
521,0.157283,21,4,4,8,7,26,4,18
531,0.169364,22,2,2,4,2,26,2,17
541,0.104138,22,2,2,3,2,26,2,19
551,0.09594,40,0,0,10,6,49,0,32
561,0.117722,32,3,3,9,6,36,3,24
571,0.120011,29,0,0,5,3,37,0,25
581,0.097648,14,1,1,5,2,20,1,13
591,0.105621,27,1,1,2,1,35,1,24
601,0.302475,32,2,2,6,5,41,2,29
611,0.305421,34,2,2,6,5,47,2,29
621,0.189238,34,2,2,4,2,43,2,28
631,0.137916,29,2,2,5,4,32,2,24
641,0.138952,26,4,4,3,3,30,4,22
651,0.156347,26,2,2,3,2,30,2,21
661,0.169868,19,2,1,7,4,24,1,17
671,0.121652,28,2,2,8,6,29,2,22
681,0.114495,40,1,1,12,8,44,1,36
691,0.144109,53,1,1,8,7,63,1,45
701,0.166552,48,1,1,5,3,54,1,40
711,0.164335,46,3,3,5,5,58,3,43
721,0.156347,43,2,2,4,2,49,2,38
731,0.178879,38,1,1,9,7,48,1,33
741,0.158632,37,2,2,9,3,46,2,32
751,0.210916,40,4,4,6,6,47,4,31
761,0.178721,34,1,1,7,3,37,1,28
771,0.184327,39,3,3,5,4,47,3,33
781,0.179906,32,3,3,5,3,40,3,27
791,0.20739,39,4,4,15,10,48,4,30
801,0.155636,32,5,5,3,2,38,5,25
811,0.120676,20,4,4,12,5,23,4,17
821,0.122371,33,1,1,12,11,39,1,23
831,0.166821,35,5,5,12,11,38,5,27
841,0.194186,47,2,2,4,4,50,2,36
851,0.180318,44,4,4,5,4,53,4,36
861,0.143338,27,1,1,7,5,31,1,25
871,0.112692,26,2,2,7,6,31,2,23
881,0.108183,29,2,2,11,8,31,2,20
891,0.139559,42,6,6,12,9,49,6,31
901,0.178299,39,1,1,10,7,49,1,34
911,0.266518,48,5,5,9,8,61,5,41
921,0.32099,59,2,2,10,8,69,2,51
931,0.390741,68,5,5,10,10,80,5,52
941,0.405739,52,3,3,14,12,61,3,43
951,0.343401,56,3,3,9,8,66,3,43
961,0.420911,51,0,0,10,6,62,0,42
971,0.397679,45,4,4,11,9,56,4,35
981,0.35834,44,4,4,10,5,56,4,39
991,0.32441,43,1,1,6,6,51,1,35
1001,0.328352,49,1,1,5,5,68,1,44
1011,0.336544,49,2,2,14,8,65,2,43
1021,0.385292,40,5,5,14,11,45,5,33
1031,0.370972,46,3,2,13,6,62,2,43
1041,0.397401,45,1,1,10,8,53,1,39
1051,0.247189,38,2,2,8,6,44,2,33
1061,0.136421,47,1,1,9,7,59,1,45
1071,0.09218,52,4,4,15,11,57,4,45
1081,0.105545,58,6,5,18,12,67,5,53
1091,0.188121,61,5,5,18,13,75,5,52
1101,0.190569,73,10,10,18,14,88,10,64
1111,0.230088,63,4,4,15,12,72,4,52
1121,0.227402,35,3,3,15,11,40,3,30
1131,0.197018,42,1,1,12,8,53,1,38
1141,0.240736,45,0,0,9,8,52,0,35
1151,0.23375,42,1,1,20,13,56,1,38
1161,0.180291,35,6,6,10,7,38,6,26
