frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched,assignedCount,assignedFine,shaftGroups
1,0.330727,37,3,3,11,9,40,3,30
11,0.170773,40,4,4,10,7,43,4,35
21,0.169939,39,5,5,11,8,43,5,37
31,0.158199,36,1,1,13,9,37,1,33
41,0.155845,40,2,2,11,9,42,2,36
51,0.148537,30,6,6,8,7,34,6,28
61,0.134985,33,6,6,10,6,36,6,27
71,0.139137,37,8,8,13,10,42,8,31
81,0.151872,38,4,4,9,9,41,4,33
91,0.203029,39,4,4,11,7,42,4,29
101,0.264401,46,2,2,15,9,55,2,41
111,0.411921,63,3,3,16,13,68,3,59
121,0.517897,65,2,2,11,8,78,2,57
131,0.557667,66,0,0,8,5,80,0,56
141,0.46818,49,2,2,8,5,52,2,40
151,0.370413,44,6,6,8,8,49,6,40
161,0.576781,56,1,1,3,3,69,1,52
171,0.865509,66,3,3,6,4,76,3,59
181,0.887122,68,2,2,4,4,83,2,60
191,0.596355,39,3,3,4,4,45,3,33
201,0.518878,44,1,1,6,2,54,1,39
211,0.501619,79,2,2,5,4,93,2,73
221,0.388717,75,2,2,5,5,85,2,71
231,0.428804,46,1,1,3,3,50,1,44
241,0.614048,67,1,1,5,4,80,1,63
251,1.011169,87,2,2,3,1,107,2,80
261,1.083789,99,1,1,2,2,114,1,91
271,0.921769,101,2,2,3,3,115,2,89
281,0.954586,108,2,2,8,8,124,2,100
291,0.650062,125,4,4,6,6,132,4,114
301,0.709075,124,2,2,1,1,128,2,117
311,0.687902,114,4,4,6,3,118,4,105
321,0.793958,139,1,1,3,3,143,1,131
331,0.945842,153,4,4,9,9,163,4,145
341,0.888012,127,2,2,6,5,141,2,114
351,0.891012,121,3,3,7,4,133,3,113
361,1.120837,151,2,2,6,5,170,2,139
371,1.29,146,1,1,5,3,159,1,134
381,1.354796,118,2,2,3,3,134,2,111
391,1.092209,89,1,1,2,2,107,1,82
401,1.235482,104,2,2,2,2,118,2,94
411,1.030755,73,2,2,2,2,80,2,67
421,0.706846,59,1,1,3,3,66,1,56
431,0.531462,57,2,2,3,2,66,2,54
441,0.602996,58,2,2,6,4,75,2,54
451,0.804346,67,2,2,4,3,78,2,63
461,0.63036,55,1,1,4,4,61,1,52
471,0.190363,28,1,1,3,3,30,1,26
481,0.052947,11,3,3,4,4,12,3,10
491,0.049714,17,1,1,6,5,21,1,14
501,0.09618,26,6,6,10,9,28,6,20
511,0.205817,33,4,4,8,8,36,4,31
521,0.454385,49,4,4,8,8,58,4,43
531,0.509568,51,2,2,4,2,57,2,42
541,0.297903,54,2,2,3,2,64,2,49
551,0.279847,69,0,0,10,10,76,0,57
561,0.322783,64,3,3,9,7,72,3,55
571,0.34815,52,0,0,5,5,61,0,46
581,0.268354,40,1,1,5,4,49,1,40
591,0.288011,45,1,1,2,1,52,1,42
601,0.947568,74,2,2,6,5,81,2,70
611,0.964575,84,2,2,6,6,100,2,73
621,0.525839,69,2,2,4,2,83,2,60
631,0.383483,55,2,2,5,4,72,2,48
641,0.395458,48,4,4,3,3,55,4,42
651,0.435008,45,2,2,3,2,55,2,39
661,0.490776,49,2,2,7,6,53,2,45
671,0.329203,50,2,2,8,7,59,2,41
681,0.318297,66,1,1,12,9,77,1,59
691,0.411017,94,1,1,8,7,107,1,86
701,0.486419,95,1,1,5,3,104,1,85
711,0.480905,99,3,3,5,5,115,3,91
721,0.453722,79,2,2,4,2,89,2,69
731,0.546615,67,1,1,9,7,75,1,61
741,0.452996,60,2,2,9,4,70,2,52
751,0.621153,66,4,4,6,6,72,4,51
761,0.515809,67,1,1,7,4,78,1,59
771,0.517888,55,3,3,5,4,62,3,48
781,0.512215,61,3,3,5,3,72,3,54
791,0.611647,70,4,4,15,13,76,4,58
801,0.449486,67,5,5,3,2,78,5,57
811,0.338394,43,4,4,12,6,51,4,39
821,0.339051,53,1,1,12,11,62,1,41
831,0.463334,62,5,5,12,12,71,5,54
841,0.5297,65,2,2,4,4,71,2,53
851,0.518341,71,4,4,5,5,82,4,61
861,0.411732,56,1,1,7,6,62,1,50
871,0.307351,48,2,2,7,7,56,2,41
881,0.28927,48,2,2,11,8,57,2,40
891,0.405625,82,6,6,12,10,93,6,69
901,0.523767,94,1,1,10,8,111,1,83
911,0.827131,103,5,5,9,9,113,5,89
921,0.968625,106,2,2,10,8,119,2,93
931,1.209264,122,5,5,10,10,134,5,102
941,1.221277,115,3,3,14,12,128,3,104
951,1.029883,112,3,3,9,8,125,3,96
961,1.271613,98,0,0,10,7,114,0,78
971,1.23415,95,4,4,11,9,106,4,77
981,1.107098,103,4,4,10,5,113,4,91
991,0.978418,89,1,1,6,6,104,1,76
1001,1.003486,96,1,1,5,5,117,1,86
1011,1.009298,102,2,2,14,8,117,2,92
1021,1.269511,84,5,5,14,11,96,5,77
1031,1.213118,99,3,2,13,8,121,2,84
1041,1.215688,91,1,1,10,8,102,1,83
1051,0.74593,95,2,2,8,7,107,2,86
1061,0.390857,91,1,1,9,8,103,1,82
1071,0.249085,80,4,4,15,12,83,4,72
1081,0.289733,97,6,6,18,16,111,6,90
1091,0.561492,95,5,5,18,14,109,5,82
1101,0.552829,133,10,10,18,14,149,10,113
1111,0.661555,126,4,4,15,12,136,4,108
1121,0.673844,79,3,3,15,12,82,3,70
1131,0.563321,87,1,1,12,8,108,1,80
1141,0.724377,86,0,0,9,9,99,0,71
1151,0.702781,92,1,1,20,14,107,1,86
1161,0.507334,67,6,6,10,8,77,6,55
