seed,found,score,milliseconds
1,0,0,5.777
2,0,0,2.964
3,0,0,3.143
4,0,0,3.184
5,0,0,3.734
6,0,0,3.145
7,1,0.432462633042379,2.888
8,0,0,3.292
9,0,0,2.908
10,0,0,3.117
11,0,0,2.775
12,0,0,3.592
13,1,0.360871750570784,3.042
14,0,0,2.882
15,0,0,3.092
16,0,0,2.946
17,0,0,3.235
18,0,0,3.05
19,0,0,3.23
20,0,0,2.836
21,0,0,3.05
22,0,0,3.268
23,1,0.352108101075501,3.129
24,0,0,2.901
25,0,0,2.943
26,1,0.408262795108564,3.096
27,0,0,2.948
28,1,0.443315370568016,3.027
29,0,0,3.113
30,0,0,2.923
31,0,0,2.792
32,0,0,2.922
