frame,seconds,candidates,fine,fineMatched,coarse,coarseMatched,assignedCount,assignedFine,shaftGroups
1,0.121391,21,3,3,11,7,22,3,15
11,0.100853,24,4,4,10,7,25,4,19
21,0.091881,24,5,5,11,5,25,5,22
31,0.088911,14,1,1,13,3,15,1,13
41,0.084674,20,2,2,11,5,20,2,16
51,0.082833,19,6,6,8,5,21,6,17
61,0.07778,23,6,6,10,6,24,6,19
71,0.079156,23,8,8,13,8,25,8,18
81,0.08455,23,4,4,9,7,23,4,18
91,0.110682,28,4,4,11,7,33,4,21
101,0.14627,25,2,2,15,9,26,2,20
111,0.216034,37,3,3,16,12,42,3,34
121,0.274879,27,2,2,11,6,31,2,24
131,0.30067,20,0,0,8,2,22,0,15
141,0.240686,20,2,2,8,5,20,2,15
151,0.183667,21,6,6,8,8,24,6,17
161,0.297335,24,1,1,3,3,26,1,22
171,0.468951,21,3,3,6,4,31,3,20
181,0.479297,32,2,2,4,3,36,2,25
191,0.306119,14,3,3,4,2,14,3,10
201,0.264332,12,1,1,6,2,15,1,11
211,0.270739,32,2,2,5,4,38,2,29
221,0.212853,39,2,2,5,5,42,2,36
231,0.232008,26,1,1,3,3,27,1,25
241,0.328297,26,1,1,5,4,27,1,23
251,0.542929,20,2,2,3,1,21,2,18
261,0.590748,33,1,1,2,2,43,1,31
271,0.503047,38,2,2,3,3,47,2,33
281,0.541662,39,2,2,8,6,47,2,37
291,0.368273,79,4,4,6,6,81,4,71
301,0.433418,93,2,2,1,1,94,2,88
311,0.422175,92,4,4,6,2,94,4,84
321,0.450313,90,1,1,3,3,96,1,85
331,0.545919,99,4,4,9,8,103,4,93
341,0.498068,58,2,2,6,5,64,2,52
351,0.504696,54,3,3,7,4,57,3,51
361,0.632068,64,2,2,6,3,73,2,56
371,0.686325,58,1,1,5,3,68,1,56
381,0.760272,52,2,2,3,3,61,2,45
391,0.59429,31,1,1,2,2,37,1,28
401,0.713691,45,2,2,2,2,54,2,40
411,0.560918,29,2,2,2,2,32,2,24
421,0.378759,22,1,1,3,3,28,1,20
431,0.284615,23,2,2,3,1,27,2,20
441,0.324577,25,2,2,6,4,33,2,21
451,0.425776,20,2,2,4,3,25,2,19
461,0.345967,24,1,1,4,4,27,1,22
471,0.10146,14,1,1,3,3,18,1,13
481,0.02611,6,3,3,4,2,6,3,5
491,0.024718,9,1,1,6,3,10,1,8
501,0.049102,17,6,5,10,8,17,5,12
511,0.107775,16,4,4,8,7,17,4,13
521,0.230995,22,4,4,8,8,28,4,17
531,0.273736,25,2,2,4,2,31,2,19
541,0.158148,25,2,2,3,2,27,2,21
551,0.14003,38,0,0,10,5,40,0,31
561,0.171026,32,3,3,9,6,37,3,23
571,0.179158,23,0,0,5,3,30,0,20
581,0.14131,17,1,1,5,3,20,1,16
591,0.15135,20,1,1,2,1,23,1,17
601,0.501205,24,2,2,6,4,26,2,21
611,0.494293,36,2,2,6,5,45,2,32
621,0.287813,32,2,2,4,2,38,2,26
631,0.211222,21,2,2,5,4,28,2,19
641,0.211863,20,4,4,3,2,20,4,17
651,0.225802,24,2,2,3,1,25,2,19
661,0.26642,22,2,2,7,6,27,2,18
671,0.182613,30,2,2,8,6,33,2,24
681,0.171756,41,1,1,12,7,47,1,36
691,0.225455,43,1,1,8,7,45,1,40
701,0.269093,56,1,1,5,3,66,1,50
711,0.261258,51,3,3,5,4,61,3,48
721,0.253025,37,2,2,4,2,39,2,31
731,0.294714,36,1,1,9,6,41,1,30
741,0.22681,33,2,2,9,4,37,2,26
751,0.318514,36,4,4,6,6,39,4,25
761,0.260852,28,1,1,7,4,31,1,22
771,0.271334,34,3,3,5,4,38,3,29
781,0.260783,29,3,3,5,3,34,3,22
791,0.322792,32,4,4,15,9,35,4,26
801,0.24287,28,5,5,3,2,32,5,23
811,0.179775,18,4,4,12,6,18,4,15
821,0.171121,33,1,1,12,10,37,1,24
831,0.237627,37,5,5,12,11,40,5,28
841,0.265827,43,2,2,4,4,46,2,31
851,0.283549,43,4,4,5,5,48,4,34
861,0.22464,25,1,1,7,4,28,1,22
871,0.168995,21,2,2,7,4,26,2,17
881,0.14989,24,2,2,11,6,27,2,19
891,0.218051,41,6,6,12,9,50,6,35
901,0.271871,34,1,1,10,6,39,1,27
911,0.434518,40,5,5,9,6,46,5,35
921,0.521206,49,2,2,10,7,54,2,40
931,0.673517,65,5,5,10,10,72,5,50
941,0.66457,41,3,3,14,11,50,3,33
951,0.54433,53,3,3,9,8,63,3,43
961,0.704542,43,0,0,10,5,54,0,35
971,0.675233,50,4,4,11,8,52,4,40
981,0.595242,45,4,4,10,5,50,4,37
991,0.514959,43,1,1,6,6,50,1,38
1001,0.550014,43,1,1,5,4,53,1,39
1011,0.562551,46,2,2,14,8,54,2,42
1021,0.672961,47,5,5,14,10,58,5,43
1031,0.622293,43,3,2,13,7,52,2,38
1041,0.663369,37,1,1,10,6,47,1,34
1051,0.390974,45,2,2,8,6,54,2,40
1061,0.216001,55,1,1,9,7,63,1,53
1071,0.142104,60,4,4,15,10,64,4,53
1081,0.156465,60,6,4,18,10,66,4,54
1091,0.300121,61,5,5,18,12,71,5,52
1101,0.303091,81,10,10,18,13,86,10,64
1111,0.354199,66,4,4,15,11,71,4,55
1121,0.362881,49,3,3,15,11,54,3,42
1131,0.291611,39,1,1,12,8,45,1,38
1141,0.369698,43,0,0,9,8,47,0,34
1151,0.372165,41,1,1,20,12,44,1,35
1161,0.269726,40,6,6,10,8,45,6,30
