functionName,inclusiveSeconds,calls
perceiveFrame,3.80239794845196,18
analyzeStructuralPillars,3.0002467483672,18
perceptionKernelsMex,2.64676866019731,396
findPillarShaftModes,2.61090265125107,18
analyzeGroundPillars,0.381151095072506,18
refineCurbCellsByRoadAdjacency,0.204842051094821,18
segmentGround,0.14400103591893,18
segmentGround>extractGroundMaskSlopeGrid,0.13162303283142,18
buildCurbEnergyMaps,0.119925029913526,18
buildCurbEnergyMaps>buildGroundFeatureEnergyMaps,0.119290029755134,18
assignPillarShaftSupport,0.10635402652844,18
computePillarDensityCore,0.104809026143062,18
unique,0.100924025174006,702
pillarizePointCloud,0.0966690241126589,18
unique>uniqueR2012a,0.0850410212122255,522
aggregatePillarStatistics,0.0746540186213413,36
perceiveFrame>buildBranchInputs,0.0732010182589118,18
buildCoarseSemanticProbabilityCloud,0.0619280154470279,18
buildCurbEnergyMaps>applyLocalLinearityEnergyGate,0.0558960139424343,18
scorePolePillarDistributions,0.0548700136865137,18
segmentGround>promoteSlopeGridSmoothFlatComponents,0.0538430134303437,18
detectPolePillars,0.0527360131542188,36
perceiveFrame>buildGroundXYView,0.0399620099679326,18
extractRoadSurface,0.036310009056995,36
buildCoarseSemanticProbabilityCloud>aggregateComponents,0.0312170077866211,54
selectPillarFootprints,0.0308100076851009,18
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbComponents,0.0294070073351432,18
ismember,0.0285140071123975,171
segmentGround>bridgeSlopeGridSmoothComponentsDistanceTransform,0.0265680066269965,18
ismember>ismemberR2012a,0.0257500064229584,171
refineCurbCellsByRoadAdjacency>completeBoundaryEvidenceRuns,0.0257200064154754,36
bwconncomp,0.0235220058672166,216
refineCurbCellsByRoadAdjacency>completeProjectedCurbBoundaryPaths,0.0232010057871479,18
refineCurbCellsByRoadAdjacency>completeDominantBoundaryContinuation,0.0221310055202522,18
segmentGround>labelSlopeGridGroundPoints,0.020782005183764,18
validatePerceptionFeatureNames,0.0204540051019492,36
perceiveFrame>subsetOffGroundPillars,0.0197500049263468,18
selectPillarFootprints>buildPoleFootprintCandidates,0.0196870049106323,18
groundFeatures/private/connectedComponents8,0.0195540048774574,126
median,0.0195060048654845,1314
ismember>ismemberClassTypes,0.018085004511037,108
intersect,0.0174100043426682,63
refineCurbCellsByRoadAdjacency>keepSameColumnFeaturePeakCurbCells,0.0171030042660916,18
segmentGround>fillSlopeGridHoles,0.0168450042017373,18
segmentGround>computeSlopeGridCellStats,0.0166760041595827,18
buildCurbEnergyMaps>computeLineComponentSupportMaps,0.0154250038475392,18
sub2ind,0.0152510038041374,684
extractRoadSurface>buildCurbBoundedInteriorMask,0.0147190036714379,36
intersect>intersectR2012a,0.0138460034536809,63
images/private/bwconncomp_2d,0.0136650034085331,216
refineCurbCellsByRoadAdjacency>removeRoadFacingDuplicateCurbCells,0.0110300027512711,18
refineCurbCellsByRoadAdjacency>keepRoadFacingBoundaryAnchors,0.011009002746033,12
sortrows,0.0109090027210895,117
buildCoarseSemanticProbabilityCloud>selectSemanticObservations,0.010336002578163,54
aggregatePlanarCellMoments,0.0103040025701811,18
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbCells,0.0101310025270288,18
images/private/labelBinaryRuns,0.0101100025217907,216
refineCurbCellsByRoadAdjacency>completeWeakCurbBoundaryGaps,0.0100720025123121,18
quantile,0.00949900236938571,153
buildPillarShapeScores,0.00946000235965774,18
buildCurbEnergyMaps>buildGroundCellStats,0.00938500234095009,18
refineCurbCellsByRoadAdjacency>removeFartherSameSideOutlierComponents,0.00900600224641412,18
buildCurbEnergyMaps>computeCurvatureEnergyMap,0.00900200224541638,18
refineCurbCellsByRoadAdjacency>extendDominantBoundaryRunOneDirection,0.0089970022441692,240
perception/private/readPerceptionPoints,0.00865200215811403,18
detectPolePillars>completeSplitShafts,0.00857900213990526,18
prctile,0.00841000209775069,153
buildCoarseSemanticProbabilityCloud>concatenateComponents,0.00829600206931507,18
perceiveFrame>resolveCoarseProbabilityCloudConfig,0.00823900205509726,18
bwdist,0.00808000201543705,63
cell.intersect,0.00791800197502854,36
refineCurbCellsByRoadAdjacency>buildRoadAdjacencyBoundaryContinuation,0.00791600197452966,12
segmentGround>resolveSlopeGridParams,0.00759700189495981,18
interp1,0.00755400188423409,120
buildCurbEnergyMaps>computeResidualSlopeEnergyMap,0.00745600185978944,18
refineCurbCellsByRoadAdjacency>keepRoadConsistentPeakPromotionProtection,0.00737800184033349,18
groundSegmentation/private/groupedFiniteMedian,0.0071800017909453,36
buildCurbEnergyMaps>computeRelativeHeightEnergyMap,0.00716100178620603,18
extractRoadSurface>removeSmallRoadComponents,0.00712400177697692,36
analyzeStructuralPillars>projectStatistics,0.00704500175727154,18
buildCurbEnergyMaps>boxSumMap,0.00678200169167006,180
cell.intersect>cellintersectR2012a,0.00670600167271298,36
extractRoadSurface>interpolateBoundaryRowsWithEndpointHold,0.006667001662985,66
perception/private/filterPerceptionAttributes,0.00652600162781463,18
selectPillarFootprints>buildContextTests,0.00649300161958326,18
buildCurbEnergyMaps>smoothStepMap,0.00646500161259908,270
selectPillarFootprints>filterPoleCandidatesByContextContrast,0.00641800160087562,18
segmentGround>canUseSlopeGridDistanceTransformBridge,0.00606500151282496,18
buildCurbEnergyMaps>shiftMap,0.00597200148962748,216
cell.unique,0.00562800140382175,108
segmentGround>estimateSlopeGridSeedHeight,0.0056210014020757,18
buildPerceptionCandidates,0.00546600136341323,18
cell.setdiff,0.00532300132774399,18
bwconncomp>parseInputs,0.00497500124094051,216
buildCoarseSemanticProbabilityCloud>selectGroundCells,0.00482100120252748,18
segmentGround>propagateSlopeGridGround,0.004813001200532,18
buildCoarseSemanticProbabilityCloud>regularizeCovariances,0.0047990011970399,54
segmentGround>buildSlopeGridSmoothFlatComponents,0.00448400111846779,18
ind2sub,0.00448300111821835,750
cell.setdiff>cellsetdiffR2012a,0.0043510010852929,18
segmentGround>mapPointsToSlopeGridCells,0.00429900107232226,18
buildCurbEnergyMaps>computeLocalMinimumMap,0.00425300106084824,18
buildCurbEnergyMaps>computeLocalMeanMap,0.00422700105436292,18
buildCurbEnergyMaps>computeDirectionalLinearityMap,0.00419600104663043,18
selectPillarFootprints>contextPassBatch,0.0039940009962445,90
checkInputName,0.0037020009234094,2628
repmat,0.00364600090944103,72
buildCoarseSemanticProbabilityCloud>summarizeLayers,0.003515000876765,18
selectPillarFootprints>filterPoleCandidateFootprints,0.00336800084009802,18
buildCurbEnergyMaps>computeHeightStepFeatureMaps,0.00336600083959915,18
buildCoarseSemanticProbabilityCloud>selectOffGroundColumns,0.003322000828624,36
refineCurbCellsByRoadAdjacency>projectCurbAnchorsToRoadFacingEvidence,0.00322400080417934,18
extractRoadSurface>growRoadCellsFromSeeds,0.00309400077175275,36
buildCoarseSemanticProbabilityCloud>emptyComponents,0.0029310007310948,72
prctile>interpColsSame,0.00284100070864563,153
repmat,0.0027240006794617,72
segmentGround>buildSlopeGridComponentMemberIndex,0.00271100067621904,18
ismember>ismemberBuiltinTypes,0.00268400066948429,135
movmin,0.00244200060912095,36
meshgrid,0.00240300059939297,72
buildCoarseSemanticProbabilityCloud>validateConfig,0.00230400057469888,18
perception/private/buildMaskFromIndices,0.00229700057295283,18
segmentGround>computeSlopeGridCellGeometry,0.00229500057245396,18
buildCurbEnergyMaps>computeFullCellReliefEnergyMap,0.00214100053404093,18
lidarFrameCalibrationConfig,0.00213500053254432,18
interp1>parseinputs,0.00203100050660305,120
selectPillarFootprints>computePoleCandidateContextRatio,0.00201400050236265,126
extractRoadSurface>buildRoadSeedMask,0.00194100048415388,36
iptcheckconn,0.00174800043601287,216
buildCoarseSemanticProbabilityCloud>useEmpiricalMoments,0.00167700041830296,54
rmfield,0.0016100004015908,18
buildCoarseSemanticProbabilityCloud>assignToGrid,0.00160600040059306,54
extractRoadSurface>growMaskByChebyshevRadius,0.00160100039934588,36
pillarGridExtent,0.00158700039585379,18
mean,0.0015420003846292,126
validateLidarFrameCalibration,0.001491000371908,18
bwdist>parse_inputs,0.00146800036617099,63
labelmatrix,0.00145100036193059,18
analyzeGroundPillars>probabilityAboveThreshold,0.00142100035444753,18
ndgrid,0.00139600034821165,18
buildCurbEnergyMaps>computeRoughnessEnergyMap,0.00139400034771278,18
buildCoarseSemanticProbabilityCloud>observationStruct,0.00128500032052433,54
scorePolePillarDistributions>@(b)order(first(b):first(b)+counts(b)-1),0.00121000030181669,1884
median>permuteX,0.00120500030056951,18
segmentGround>readOptionalNonnegativeScalarConfig,0.00115500028809775,306
buildCurbEnergyMaps>countValidNeighbors,0.00113000028186186,18
interp1>reshapeAndSortXandV,0.00108600027088671,120
prctile>getIndexValues,0.00103400025791608,153
groundFeatures/private/resolveRoadSeedReferenceY,0.00102400025542173,18
buildCoarseSemanticProbabilityCloud>buildGeometry,0.000996000248437538,18
buildCurbEnergyMaps>boxWindowCountMap,0.000926000230977068,18
findPillarShaftModes>@(name)double(cfg.(name)),0.00091500022823328,522
selectPillarFootprints>firstBestScore,0.000841000209775069,126
refineCurbCellsByRoadAdjacency>isSmallRoadAdjacentCurbComponentSupported,0.000815000203289752,42
refineCurbCellsByRoadAdjacency>recoverRoadFacingShoulderCurbCells,0.000774000193062906,36
partialMatchString,0.000769000191815729,108
perceptionNativeAvailable,0.000744000185579847,18
segmentGround>readOptionalPositiveIntegerConfig,0.000706000176101307,108
errorIfDlarray,0.000697000173856389,63
firstNonSingletonDim,0.000667000166373331,279
segmentGround>readOptionalTwoElementConfig,0.000621000154899308,18
errorIfgpuArray,0.000600000149661167,216
interp1>sanitycheckmethod,0.000552000137688274,120
analyzeGroundPillars>configureFastRefinement,0.000549000136939968,18
segmentGround>readRequiredScalarConfig,0.000510000127211992,18
segmentGround>readOptionalNonnegativeIntegerConfig,0.000477000118980628,18
buildPillarShapeScores>resolveFineShapeScoreSaturatedSeedCount,0.000476000118731193,18
segmentGround>readOptionalLogicalConfig,0.000472000117733451,18
segmentGround>readOptionalScalarConfig,0.000462000115239099,36
buildPillarShapeScores>resolveFineShapeScoreNeighborhoodRadius,0.000426000106259429,18
buildCoarseSemanticProbabilityCloud>normalizeMixtureWeights,0.000417000104014511,18
unique>convertFlag,0.000415000103515641,180
buildPillarShapeScores>resolveFineShapeScoreMinSeedCount,0.000408000101769594,36
buildPillarShapeScores>resolveFineShapeScoreWeightPower,0.000393000098028065,18
buildPillarShapeScores>resolveFineShapeScoreLinearityPower,0.0003770000940371,18
fliplr,0.000366000091293312,246
stringToChar,0.000362000090295571,432
selectPillarFootprints>computePoleFootprintContextBounds,0.000355000088549524,126
prctile>dominantTypeHelper,0.000348000086803477,153
selectPillarFootprints>isValidPoleFootprintShape,0.000334000083311383,126
segmentGround>readOptionalUnitIntervalConfig,0.000325000081066466,18
interp1>reshapeValuesV,0.000315000078572113,120
repmat>checkSizesType,0.000304000075828325,144
images/private/checkCC,0.000284000070839619,18
interp1>isScalarTextArg,0.000259000064603737,240
mean>mysize,0.000231000057619549,126
sortrows>canCallBuiltinHelper,0.000221000055125197,117
buildPillarShapeScores>resolvePositiveScalar,0.000192000047891573,36
isdatetime,0.00017800004439948,153
errorIf,0.000165000041156821,63
buildCoarseSemanticProbabilityCloud>@(item)item.numComponents,0.000160000039909645,54
deg2rad,0.000151000037664727,36
isduration,0.000134000033424327,36
istabular,0.000118000029433363,36
