dataset,frame,batch,milliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Downtown,1,1,70.536,82,82,82,0,0,1,1,1,1,1,NaN,1,116,0,0,0,0,19,19,5,5,5
Downtown,24,1,103.76,45,45,45,0,0,1,1,1,1,1,NaN,1,110,0,0,0,0,15,15,7,7,7
Downtown,48,1,109.206,75,75,75,0,0,1,1,1,1,1,NaN,1,149,0,0,0,0,22,22,2,2,2
Downtown,71,1,112.369,123,123,123,0,0,1,1,1,1,1,NaN,1,164,0,0,0,0,47,47,9,9,9
Downtown,95,1,88.325,96,96,96,0,0,1,1,1,1,1,NaN,1,176,0,0,0,0,32,32,1,1,1
Downtown,118,1,103.161,135,135,135,0,0,1,1,1,1,1,NaN,1,191,0,0,0,0,63,63,19,19,19
Downtown,141,1,101.109,152,152,152,0,0,1,1,1,1,1,NaN,1,157,0,0,0,0,75,75,17,17,17
Downtown,165,1,96.887,128,128,128,0,0,1,1,1,1,1,NaN,1,150,0,0,0,0,49,49,12,12,12
Downtown,188,1,98.989,87,87,87,0,0,1,1,1,1,1,NaN,1,131,0,0,0,0,21,21,4,4,4
Downtown,212,1,99.686,40,40,40,0,0,1,1,1,1,1,NaN,1,100,0,0,0,0,11,11,6,6,6
Downtown,235,1,71.425,50,50,50,0,0,1,1,1,1,1,NaN,1,127,0,0,0,0,17,17,1,1,1
Downtown,258,1,60.614,68,68,68,0,0,1,1,1,1,1,NaN,1,157,0,0,0,0,14,14,1,0,0
Downtown,282,1,77.25,57,57,57,0,0,1,1,1,1,1,NaN,1,127,0,0,0,0,19,19,4,4,4
Downtown,305,1,80.457,75,75,75,0,0,1,1,1,1,1,NaN,1,134,0,0,0,0,23,23,4,4,4
Downtown,328,1,83.774,83,83,83,0,0,1,1,1,1,1,NaN,1,157,0,0,0,0,31,31,6,5,5
Downtown,352,1,87.52,80,80,80,0,0,1,1,1,1,1,NaN,1,168,0,0,0,0,23,23,5,4,4
Downtown,375,1,71.858,80,80,80,0,0,1,1,1,1,1,NaN,1,167,0,0,0,0,21,21,1,1,1
Downtown,399,1,62.228,87,87,87,0,0,1,1,1,1,1,NaN,1,115,0,0,0,0,23,23,3,3,3
Downtown,422,1,69.367,79,79,79,0,0,1,1,1,1,1,NaN,1,113,0,0,0,0,24,24,3,3,3
Downtown,445,1,69.266,80,80,80,0,0,1,1,1,1,1,NaN,1,139,0,0,0,0,15,15,6,5,5
Downtown,469,1,57.515,75,75,75,0,0,1,1,1,1,1,NaN,1,151,0,0,0,0,17,17,2,2,2
Downtown,492,1,55,45,45,45,0,0,1,1,1,1,1,NaN,1,86,0,0,0,0,12,12,6,6,6
Downtown,516,1,72.397,64,64,64,0,0,1,1,1,1,1,NaN,1,105,0,0,0,0,20,20,4,4,4
Downtown,539,1,84.113,70,70,70,0,0,1,1,1,1,1,NaN,1,134,0,0,0,0,21,21,4,4,4
