dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Downtown,1,1,baseline,214.869,214.869,82,82,82,0,0,1,1,1,1,1,1,1,116,0,0,0,0,19,19,5,5,5
Downtown,1,1,serial,154.861,214.869,82,82,82,0,0,1,1,1,1,1,1,1,116,0,0,0,0,19,19,5,5,5
Downtown,1,1,threads4,71.957,214.869,82,82,82,0,0,1,1,1,1,1,1,1,116,0,0,0,0,19,19,5,5,5
Downtown,1,1,threads8,54.392,214.869,82,82,82,0,0,1,1,1,1,1,1,1,116,0,0,0,0,19,19,5,5,5
Downtown,12,1,baseline,282.823,282.823,59,59,59,0,0,1,1,1,1,1,1,1,119,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,12,1,serial,200.764,282.823,59,59,59,0,0,1,1,1,1,1,1,1,119,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,12,1,threads4,94.284,282.823,59,59,59,0,0,1,1,1,1,1,1,1,119,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,12,1,threads8,81.104,282.823,59,59,59,0,0,1,1,1,1,1,1,1,119,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,24,1,baseline,305.224,305.224,45,45,45,0,0,1,1,1,1,1,1,1,110,0,0,0,0,15,15,7,7,7
Downtown,24,1,serial,188.652,305.224,45,45,45,0,0,1,1,1,1,1,1,1,110,0,0,0,0,15,15,7,7,7
Downtown,24,1,threads4,76.583,305.224,45,45,45,0,0,1,1,1,1,1,1,1,110,0,0,0,0,15,15,7,7,7
Downtown,24,1,threads8,61.536,305.224,45,45,45,0,0,1,1,1,1,1,1,1,110,0,0,0,0,15,15,7,7,7
Downtown,35,1,baseline,330.594,330.594,49,49,49,0,0,1,1,1,1,1,1,1,143,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,35,1,serial,197.83,330.594,49,49,49,0,0,1,1,1,1,1,1,1,143,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,35,1,threads4,81.477,330.594,49,49,49,0,0,1,1,1,1,1,1,1,143,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,35,1,threads8,61.71,330.594,49,49,49,0,0,1,1,1,1,1,1,1,143,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,47,1,baseline,348.708,348.708,77,77,77,0,0,1,1,1,1,1,1,1,142,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,47,1,serial,207.2,348.708,77,77,77,0,0,1,1,1,1,1,1,1,142,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,47,1,threads4,87.33,348.708,77,77,77,0,0,1,1,1,1,1,1,1,142,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,47,1,threads8,66.531,348.708,77,77,77,0,0,1,1,1,1,1,1,1,142,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,58,1,baseline,372.613,372.613,83,83,83,0,0,1,1,1,1,1,1,1,122,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,58,1,serial,209.073,372.613,83,83,83,0,0,1,1,1,1,1,1,1,122,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,58,1,threads4,88.582,372.613,83,83,83,0,0,1,1,1,1,1,1,1,122,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,58,1,threads8,75.218,372.613,83,83,83,0,0,1,1,1,1,1,1,1,122,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,70,1,baseline,317.311,317.311,133,133,133,0,0,1,1,1,1,1,1,1,184,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,70,1,serial,205.99,317.311,133,133,133,0,0,1,1,1,1,1,1,1,184,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,70,1,threads4,91.697,317.311,133,133,133,0,0,1,1,1,1,1,1,1,184,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,70,1,threads8,74.104,317.311,133,133,133,0,0,1,1,1,1,1,1,1,184,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,81,1,baseline,304.48,304.48,141,141,141,0,0,1,1,1,1,1,1,1,216,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,81,1,serial,188.931,304.48,141,141,141,0,0,1,1,1,1,1,1,1,216,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,81,1,threads4,87.406,304.48,141,141,141,0,0,1,1,1,1,1,1,1,216,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,81,1,threads8,67.184,304.48,141,141,141,0,0,1,1,1,1,1,1,1,216,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,93,1,baseline,265.713,265.713,96,96,96,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,93,1,serial,164.99,265.713,96,96,96,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,93,1,threads4,81.506,265.713,96,96,96,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,93,1,threads8,58.886,265.713,96,96,96,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,104,1,baseline,280.064,280.064,125,125,125,0,0,1,1,1,1,1,1,1,166,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,104,1,serial,172.888,280.064,125,125,125,0,0,1,1,1,1,1,1,1,166,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,104,1,threads4,79.487,280.064,125,125,125,0,0,1,1,1,1,1,1,1,166,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,104,1,threads8,66.161,280.064,125,125,125,0,0,1,1,1,1,1,1,1,166,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,115,1,baseline,307.708,307.708,115,115,115,0,0,1,1,1,1,1,1,1,201,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,115,1,serial,192.045,307.708,115,115,115,0,0,1,1,1,1,1,1,1,201,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,115,1,threads4,94.836,307.708,115,115,115,0,0,1,1,1,1,1,1,1,201,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,115,1,threads8,72.882,307.708,115,115,115,0,0,1,1,1,1,1,1,1,201,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,127,1,baseline,297.72,297.72,119,119,119,0,0,1,1,1,1,1,1,1,197,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,127,1,serial,181.713,297.72,119,119,119,0,0,1,1,1,1,1,1,1,197,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,127,1,threads4,89.346,297.72,119,119,119,0,0,1,1,1,1,1,1,1,197,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,127,1,threads8,73.486,297.72,119,119,119,0,0,1,1,1,1,1,1,1,197,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,138,1,baseline,318.188,318.188,167,167,167,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,138,1,serial,199.823,318.188,167,167,167,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,138,1,threads4,98.255,318.188,167,167,167,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,138,1,threads8,74.617,318.188,167,167,167,0,0,1,1,1,1,1,1,1,190,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,150,1,baseline,291.469,291.469,152,152,152,0,0,1,1,1,1,1,1,1,179,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,150,1,serial,193.692,291.469,152,152,152,0,0,1,1,1,1,1,1,1,179,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,150,1,threads4,89.371,291.469,152,152,152,0,0,1,1,1,1,1,1,1,179,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,150,1,threads8,69.278,291.469,152,152,152,0,0,1,1,1,1,1,1,1,179,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,161,1,baseline,272.939,272.939,108,108,108,0,0,1,1,1,1,1,1,1,147,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,161,1,serial,192.119,272.939,108,108,108,0,0,1,1,1,1,1,1,1,147,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,161,1,threads4,83.922,272.939,108,108,108,0,0,1,1,1,1,1,1,1,147,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,161,1,threads8,69.676,272.939,108,108,108,0,0,1,1,1,1,1,1,1,147,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,173,1,baseline,322.419,322.419,108,108,108,0,0,1,1,1,1,1,1,1,164,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,173,1,serial,196.729,322.419,108,108,108,0,0,1,1,1,1,1,1,1,164,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,173,1,threads4,79.732,322.419,108,108,108,0,0,1,1,1,1,1,1,1,164,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,173,1,threads8,71.607,322.419,108,108,108,0,0,1,1,1,1,1,1,1,164,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,184,1,baseline,386.948,386.948,74,74,74,0,0,1,1,1,1,1,1,1,117,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,184,1,serial,222.591,386.948,74,74,74,0,0,1,1,1,1,1,1,1,117,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,184,1,threads4,87.455,386.948,74,74,74,0,0,1,1,1,1,1,1,1,117,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,184,1,threads8,76.931,386.948,74,74,74,0,0,1,1,1,1,1,1,1,117,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,196,1,baseline,391.892,391.892,83,83,83,0,0,1,1,1,1,1,1,1,107,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,196,1,serial,232.592,391.892,83,83,83,0,0,1,1,1,1,1,1,1,107,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,196,1,threads4,90.656,391.892,83,83,83,0,0,1,1,1,1,1,1,1,107,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,196,1,threads8,78.443,391.892,83,83,83,0,0,1,1,1,1,1,1,1,107,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,207,1,baseline,363.335,363.335,59,59,59,0,0,1,1,1,1,1,1,1,112,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,207,1,serial,228.994,363.335,59,59,59,0,0,1,1,1,1,1,1,1,112,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,207,1,threads4,85.092,363.335,59,59,59,0,0,1,1,1,1,1,1,1,112,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,207,1,threads8,74.339,363.335,59,59,59,0,0,1,1,1,1,1,1,1,112,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,218,1,baseline,324.388,324.388,51,51,51,0,0,1,1,1,1,1,1,1,104,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,218,1,serial,213.961,324.388,51,51,51,0,0,1,1,1,1,1,1,1,104,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,218,1,threads4,82.128,324.388,51,51,51,0,0,1,1,1,1,1,1,1,104,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,218,1,threads8,68.274,324.388,51,51,51,0,0,1,1,1,1,1,1,1,104,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,230,1,baseline,250.433,250.433,52,52,52,0,0,1,1,1,1,1,1,1,108,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,230,1,serial,166.379,250.433,52,52,52,0,0,1,1,1,1,1,1,1,108,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,230,1,threads4,67.314,250.433,52,52,52,0,0,1,1,1,1,1,1,1,108,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,230,1,threads8,60.009,250.433,52,52,52,0,0,1,1,1,1,1,1,1,108,0,0,0,0,NaN,NaN,NaN,NaN,NaN
Downtown,241,1,baseline,218.758,218.758,90,90,90,0,0,1,1,1,1,1,1,1,136,0,0,0,0,NaN,NaN,NaN,NaN,NaN
