frame,occupiedPillars,modesExact,assignedExact,groupsExact
1,1901,1,1,1
11,1914,1,1,1
21,1921,1,1,1
31,1928,1,1,1
41,1963,1,1,1
51,2025,1,1,1
61,2028,1,1,1
71,2029,1,1,1
81,2127,1,1,1
91,2008,1,1,1
101,1973,1,1,1
111,2162,1,1,1
121,2500,1,1,1
131,2514,1,1,1
141,2483,1,1,1
151,2578,1,1,1
161,2215,1,1,1
171,2198,1,1,1
181,1617,1,1,1
191,1964,1,1,1
201,2065,1,1,1
211,2227,1,1,1
221,2187,1,1,1
231,2003,1,1,1
241,2058,1,1,1
251,2025,1,1,1
261,2117,1,1,1
271,2332,1,1,1
281,2408,1,1,1
291,2318,1,1,1
301,1718,1,1,1
311,1167,1,1,1
321,1512,1,1,1
331,1851,1,1,1
341,1961,1,1,1
351,2273,1,1,1
361,2298,1,1,1
371,2324,1,1,1
381,2321,1,1,1
391,1958,1,1,1
401,1663,1,1,1
411,1493,1,1,1
421,1566,1,1,1
431,1614,1,1,1
441,1477,1,1,1
451,1141,1,1,1
461,1005,1,1,1
471,893,1,1,1
481,715,1,1,1
491,728,1,1,1
501,1027,1,1,1
511,1355,1,1,1
521,1790,1,1,1
531,2353,1,1,1
541,2698,1,1,1
551,2940,1,1,1
561,2747,1,1,1
571,2432,1,1,1
581,3083,1,1,1
591,2538,1,1,1
601,2115,1,1,1
611,2436,1,1,1
621,3094,1,1,1
631,2837,1,1,1
641,2411,1,1,1
651,2698,1,1,1
661,3373,1,1,1
671,3906,1,1,1
681,3264,1,1,1
691,3188,1,1,1
701,3024,1,1,1
711,3177,1,1,1
721,3293,1,1,1
731,3297,1,1,1
741,3262,1,1,1
751,3134,1,1,1
761,2977,1,1,1
771,2825,1,1,1
781,3233,1,1,1
791,3234,1,1,1
801,3058,1,1,1
811,3034,1,1,1
821,2871,1,1,1
831,2719,1,1,1
841,2512,1,1,1
851,2690,1,1,1
861,3037,1,1,1
871,3209,1,1,1
881,2979,1,1,1
891,2890,1,1,1
901,2902,1,1,1
911,3330,1,1,1
921,3443,1,1,1
931,3148,1,1,1
941,3160,1,1,1
951,3491,1,1,1
961,3160,1,1,1
971,2973,1,1,1
981,3317,1,1,1
991,3162,1,1,1
1001,2888,1,1,1
1011,2903,1,1,1
1021,2756,1,1,1
1031,2817,1,1,1
1041,2690,1,1,1
1051,2827,1,1,1
1061,3075,1,1,1
1071,3130,1,1,1
1081,3428,1,1,1
1091,2978,1,1,1
1101,3196,1,1,1
1111,3246,1,1,1
1121,3104,1,1,1
1131,3052,1,1,1
1141,3366,1,1,1
1151,3580,1,1,1
1161,3027,1,1,1
