dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,1,1,baseline,138.025,138.025,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,optimized,87.769,138.025,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,71,1,baseline,105.71,105.71,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,optimized,83.894,105.71,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,301,1,baseline,275.774,275.774,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,optimized,184.296,275.774,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,501,1,baseline,87.431,87.431,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,1,optimized,70.927,87.431,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,851,1,baseline,251.216,251.216,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,1,optimized,164.912,251.216,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,1031,1,baseline,385.388,385.388,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,1,optimized,251.316,385.388,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1,2,baseline,117.039,117.039,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,2,optimized,87.816,117.039,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,71,2,baseline,109.015,109.015,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,2,optimized,85.38,109.015,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,301,2,baseline,280.034,280.034,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,2,optimized,182.194,280.034,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,501,2,baseline,85.775,85.775,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,2,optimized,71.624,85.775,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,851,2,baseline,223.196,223.196,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,2,optimized,156.323,223.196,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,1031,2,baseline,371.664,371.664,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,2,optimized,247.606,371.664,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
