dataset,frame,batch,milliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,201,3,69.179,12,12,12,0,0,1,1,1,1,1,NaN,1,60,0,0,0,0,8,8,1,1,1
Mississippi,202,3,68.038,12,12,12,0,0,1,1,1,1,1,NaN,1,56,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,203,3,67.809,9,9,9,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,204,3,73.707,12,12,12,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,10,10,NaN,NaN,NaN
Mississippi,205,3,68.925,12,12,12,0,0,1,1,1,1,1,NaN,1,55,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,206,3,68.46,10,10,10,0,0,1,1,1,1,1,NaN,1,53,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,207,3,67.44,6,6,6,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,208,3,66.384,12,12,12,0,0,1,1,1,1,1,NaN,1,49,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,209,3,69.663,14,14,14,0,0,1,1,1,1,1,NaN,1,52,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,210,3,67.183,12,12,12,0,0,1,1,1,1,1,NaN,1,52,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,211,3,68.163,13,13,13,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,4,4,2,2,2
Mississippi,212,3,66.094,14,14,14,0,0,1,1,1,1,1,NaN,1,60,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,213,3,67.036,13,13,13,0,0,1,1,1,1,1,NaN,1,52,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,214,3,65.129,15,15,15,0,0,1,1,1,1,1,NaN,1,53,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,215,3,56.884,13,13,13,0,0,1,1,1,1,1,NaN,1,51,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,216,3,58.769,19,19,19,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,217,3,54.876,20,20,20,0,0,1,1,1,1,1,NaN,1,56,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,218,3,56.346,15,15,15,0,0,1,1,1,1,1,NaN,1,49,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,219,3,55.354,23,23,23,0,0,1,1,1,1,1,NaN,1,51,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,220,3,53.328,19,19,19,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,221,3,55.637,19,19,19,0,0,1,1,1,1,1,NaN,1,41,0,0,0,0,5,5,2,2,2
Mississippi,222,3,54.584,16,16,16,0,0,1,1,1,1,1,NaN,1,39,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,223,3,53.383,15,15,15,0,0,1,1,1,1,1,NaN,1,38,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,224,3,56.093,14,14,14,0,0,1,1,1,1,1,NaN,1,61,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,225,3,55.695,12,12,12,0,0,1,1,1,1,1,NaN,1,58,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,226,3,51.795,11,11,11,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,227,3,53.013,16,16,16,0,0,1,1,1,1,1,NaN,1,62,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,228,3,54.366,9,9,9,0,0,1,1,1,1,1,NaN,1,48,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,229,3,54.126,10,10,10,0,0,1,1,1,1,1,NaN,1,52,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,230,3,57.088,7,7,7,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,2,2,NaN,NaN,NaN
Mississippi,231,3,56.519,12,12,12,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,3,3,1,1,1
Mississippi,232,3,59.115,11,11,11,0,0,1,1,1,1,1,NaN,1,62,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,233,3,57.101,14,14,14,0,0,1,1,1,1,1,NaN,1,75,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,234,3,58.696,13,13,13,0,0,1,1,1,1,1,NaN,1,64,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,235,3,57.176,16,16,16,0,0,1,1,1,1,1,NaN,1,73,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,236,3,60.516,14,14,14,0,0,1,1,1,1,1,NaN,1,71,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,237,3,59.683,9,9,9,0,0,1,1,1,1,1,NaN,1,63,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,238,3,62.226,12,12,12,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,239,3,58.864,6,6,6,0,0,1,1,1,1,1,NaN,1,59,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,240,3,58.909,8,8,8,0,0,1,1,1,1,1,NaN,1,57,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,241,3,61.863,10,10,10,0,0,1,1,1,1,1,NaN,1,57,0,0,0,0,5,5,1,1,1
Mississippi,242,3,61.785,7,7,7,0,0,1,1,1,1,1,NaN,1,57,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,243,3,62.913,8,8,8,0,0,1,1,1,1,1,NaN,1,62,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,244,3,64.885,8,8,8,0,0,1,1,1,1,1,NaN,1,51,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,245,3,68.799,8,8,8,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,246,3,68.238,9,9,9,0,0,1,1,1,1,1,NaN,1,51,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,247,3,72.53,7,7,7,0,0,1,1,1,1,1,NaN,1,49,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,248,3,72.666,9,9,9,0,0,1,1,1,1,1,NaN,1,49,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,249,3,78.146,9,9,9,0,0,1,1,1,1,1,NaN,1,56,0,0,0,0,2,2,NaN,NaN,NaN
Mississippi,250,3,77.321,5,5,5,0,0,1,1,1,1,1,NaN,1,61,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,251,3,74.4,8,8,8,0,0,1,1,1,1,1,NaN,1,52,0,0,0,0,3,3,2,2,2
Mississippi,252,3,76.7,8,8,8,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,253,3,76.445,9,9,9,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,254,3,78.894,8,8,8,0,0,1,1,1,1,1,NaN,1,61,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,255,3,82.708,7,7,7,0,0,1,1,1,1,1,NaN,1,62,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,256,3,84.038,13,13,13,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,257,3,83.356,12,12,12,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,258,3,81.728,10,10,10,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,259,3,81.805,9,9,9,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,260,3,82.208,6,6,6,0,0,1,1,1,1,1,NaN,1,63,0,0,0,0,2,2,NaN,NaN,NaN
Mississippi,261,3,84.655,7,7,7,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,2,2,1,1,1
Mississippi,262,3,86.166,11,11,11,0,0,1,1,1,1,1,NaN,1,70,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,263,3,85.453,6,6,6,0,0,1,1,1,1,1,NaN,1,69,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,264,3,85.523,6,6,6,0,0,1,1,1,1,1,NaN,1,64,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,265,3,93.927,11,11,11,0,0,1,1,1,1,1,NaN,1,69,0,0,0,0,1,1,NaN,NaN,NaN
Mississippi,266,3,85.461,11,11,11,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,2,2,NaN,NaN,NaN
Mississippi,267,3,84.335,17,17,17,0,0,1,1,1,1,1,NaN,1,78,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,268,3,82.79,17,17,17,0,0,1,1,1,1,1,NaN,1,72,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,269,3,82.289,13,13,13,0,0,1,1,1,1,1,NaN,1,68,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,270,3,80.266,10,10,10,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,271,3,77.684,10,10,10,0,0,1,1,1,1,1,NaN,1,33,0,0,0,0,3,3,2,2,2
Mississippi,272,3,78.169,14,14,14,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,273,3,79.073,12,12,12,0,0,1,1,1,1,1,NaN,1,54,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,274,3,80.172,13,13,13,0,0,1,1,1,1,1,NaN,1,62,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,275,3,82.359,11,11,11,0,0,1,1,1,1,1,NaN,1,58,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,276,3,82.544,10,10,10,0,0,1,1,1,1,1,NaN,1,57,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,277,3,82.334,15,15,15,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,278,3,79.128,12,12,12,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,279,3,77.899,11,11,11,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,3,3,NaN,NaN,NaN
Mississippi,280,3,78.921,18,18,18,0,0,1,1,1,1,1,NaN,1,77,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,281,3,76.394,11,11,11,0,0,1,1,1,1,1,NaN,1,58,0,0,0,0,5,5,2,2,2
Mississippi,282,3,75.798,12,12,12,0,0,1,1,1,1,1,NaN,1,66,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,283,3,75.311,13,13,13,0,0,1,1,1,1,1,NaN,1,62,0,0,0,0,5,5,NaN,NaN,NaN
Mississippi,284,3,78.998,25,25,25,0,0,1,1,1,1,1,NaN,1,15,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,285,3,75.395,14,14,14,0,0,1,1,1,1,1,NaN,1,81,0,0,0,0,4,4,NaN,NaN,NaN
Mississippi,286,3,71.454,25,25,25,0,0,1,1,1,1,1,NaN,1,51,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,287,3,73.751,29,29,29,0,0,1,1,1,1,1,NaN,1,80,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,288,3,73.531,38,38,38,0,0,1,1,1,1,1,NaN,1,67,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,289,3,70.945,26,26,26,0,0,1,1,1,1,1,NaN,1,40,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,290,3,69.858,29,29,29,0,0,1,1,1,1,1,NaN,1,46,0,0,0,0,9,9,NaN,NaN,NaN
Mississippi,291,3,67.086,40,40,40,0,0,1,1,1,1,1,NaN,1,55,0,0,0,0,7,7,4,4,4
Mississippi,292,3,67.651,36,36,36,0,0,1,1,1,1,1,NaN,1,46,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,293,3,69.323,42,42,42,0,0,1,1,1,1,1,NaN,1,81,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,294,3,69.582,43,43,43,0,0,1,1,1,1,1,NaN,1,49,0,0,0,0,7,7,NaN,NaN,NaN
Mississippi,295,3,67.613,49,49,49,0,0,1,1,1,1,1,NaN,1,47,0,0,0,0,6,6,NaN,NaN,NaN
Mississippi,296,3,68.216,56,56,56,0,0,1,1,1,1,1,NaN,1,80,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,297,3,65.44,37,37,37,0,0,1,1,1,1,1,NaN,1,43,0,0,0,0,8,8,NaN,NaN,NaN
Mississippi,298,3,67.013,48,48,48,0,0,1,1,1,1,1,NaN,1,49,0,0,0,0,8,8,NaN,NaN,NaN
