dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,1,1,baseline,113.276,113.276,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,serial,90.205,113.276,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,threads4,59.72,113.276,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,threads8,55.872,113.276,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,11,1,baseline,116.274,116.274,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,11,1,serial,88.233,116.274,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,11,1,threads4,62.968,116.274,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,11,1,threads8,55.076,116.274,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,21,1,baseline,117.992,117.992,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,21,1,serial,89.261,117.992,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,21,1,threads4,60.038,117.992,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,21,1,threads8,54.328,117.992,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,31,1,baseline,107.952,107.952,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,31,1,serial,89.207,107.952,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,31,1,threads4,57.644,107.952,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,31,1,threads8,55.503,107.952,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,41,1,baseline,105.958,105.958,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,41,1,serial,83.266,105.958,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,41,1,threads4,58.379,105.958,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,41,1,threads8,59.164,105.958,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,51,1,baseline,103.664,103.664,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,51,1,serial,81.045,103.664,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,51,1,threads4,56.376,103.664,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,51,1,threads8,58.089,103.664,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,61,1,baseline,98.569,98.569,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
Mississippi,61,1,serial,82.413,98.569,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
Mississippi,61,1,threads4,56.01,98.569,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
Mississippi,61,1,threads8,57.543,98.569,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
Mississippi,71,1,baseline,108.045,108.045,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,serial,84.167,108.045,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,threads4,64.581,108.045,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,threads8,59.447,108.045,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,81,1,baseline,119.223,119.223,24,24,24,0,0,1,1,1,1,1,1,1,38,0,0,0,0,12,12,4,4,4
Mississippi,81,1,serial,92.41,119.223,24,24,24,0,0,1,1,1,1,1,1,1,38,0,0,0,0,12,12,4,4,4
Mississippi,81,1,threads4,59.738,119.223,24,24,24,0,0,1,1,1,1,1,1,1,38,0,0,0,0,12,12,4,4,4
Mississippi,81,1,threads8,62.321,119.223,24,24,24,0,0,1,1,1,1,1,1,1,38,0,0,0,0,12,12,4,4,4
Mississippi,91,1,baseline,130.267,130.267,27,27,27,0,0,1,1,1,1,1,1,1,67,0,0,0,0,13,13,4,4,4
Mississippi,91,1,serial,101.991,130.267,27,27,27,0,0,1,1,1,1,1,1,1,67,0,0,0,0,13,13,4,4,4
Mississippi,91,1,threads4,69.49,130.267,27,27,27,0,0,1,1,1,1,1,1,1,67,0,0,0,0,13,13,4,4,4
Mississippi,91,1,threads8,62.039,130.267,27,27,27,0,0,1,1,1,1,1,1,1,67,0,0,0,0,13,13,4,4,4
Mississippi,101,1,baseline,147.023,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,serial,112.209,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,threads4,70.84,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,101,1,threads8,64.033,147.023,28,28,28,0,0,1,1,1,1,1,1,1,91,0,0,0,0,13,13,2,2,2
Mississippi,111,1,baseline,179.244,179.244,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
Mississippi,111,1,serial,135.364,179.244,22,22,22,0,0,1,1,1,1,1,1,1,79,0,0,0,0,17,17,3,3,3
