dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,1,1,baseline,116.686,116.686,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,serial,90.13,116.686,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,threads4,56.111,116.686,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,threads8,51.202,116.686,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,11,1,baseline,133.724,133.724,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,11,1,serial,114.624,133.724,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,11,1,threads4,71.566,133.724,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,11,1,threads8,68.978,133.724,19,19,19,0,0,1,1,1,1,1,1,1,52,0,0,0,0,9,9,4,3,3
Mississippi,21,1,baseline,110.33,110.33,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,21,1,serial,88.237,110.33,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,21,1,threads4,54.195,110.33,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,21,1,threads8,45.806,110.33,16,16,16,0,0,1,1,1,1,1,1,1,46,0,0,0,0,6,6,5,4,4
Mississippi,31,1,baseline,106.886,106.886,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,31,1,serial,79.476,106.886,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,31,1,threads4,51.546,106.886,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,31,1,threads8,48.596,106.886,14,14,14,0,0,1,1,1,1,1,1,1,45,0,0,0,0,9,9,1,1,1
Mississippi,41,1,baseline,113.57,113.57,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,41,1,serial,85.074,113.57,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,41,1,threads4,56.125,113.57,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,41,1,threads8,50.34,113.57,19,19,19,0,0,1,1,1,1,1,1,1,44,0,0,0,0,8,8,2,2,2
Mississippi,51,1,baseline,120.907,120.907,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,51,1,serial,79.587,120.907,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,51,1,threads4,61.657,120.907,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,51,1,threads8,47.911,120.907,16,16,16,0,0,1,1,1,1,1,1,1,32,0,0,0,0,6,6,6,6,6
Mississippi,61,1,baseline,108.317,108.317,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
Mississippi,61,1,serial,78.736,108.317,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
Mississippi,61,1,threads4,47.865,108.317,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
Mississippi,61,1,threads8,48.015,108.317,19,19,19,0,0,1,1,1,1,1,1,1,34,0,0,0,0,9,9,6,6,6
