functionName,inclusiveSeconds,calls
profileShaftSpeed,1.7605,1
perceiveFrame,1.730485,18
analyzeStructuralPillars,0.847644,18
perceptionKernelsMex,0.496165,396
findPillarShaftModes,0.456428,18
analyzeGroundPillars,0.426088,18
refineCurbCellsByRoadAdjacency,0.228883,18
segmentGround,0.157984,18
segmentGround>extractGroundMaskSlopeGrid,0.144336,18
buildCurbEnergyMaps,0.132892,18
buildCurbEnergyMaps>buildGroundFeatureEnergyMaps,0.132182,18
unique,0.104214,702
pillarizePointCloud,0.103175,18
computePillarDensityCore,0.101026,18
assignPillarShaftSupport,0.095767,18
unique>uniqueR2012a,0.086887,522
aggregatePillarStatistics,0.081026,36
perceiveFrame>buildBranchInputs,0.080083,18
buildCoarseSemanticProbabilityCloud,0.068606,18
buildCurbEnergyMaps>applyLocalLinearityEnergyGate,0.062472,18
detectPolePillars,0.0597,36
segmentGround>promoteSlopeGridSmoothFlatComponents,0.059604,18
scorePolePillarDistributions,0.057451,18
perceiveFrame>buildGroundXYView,0.043515,18
extractRoadSurface,0.041809,36
buildCoarseSemanticProbabilityCloud>aggregateComponents,0.034584,54
selectPillarFootprints,0.034398,18
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbComponents,0.033296,18
refineCurbCellsByRoadAdjacency>completeBoundaryEvidenceRuns,0.029426,36
segmentGround>bridgeSlopeGridSmoothComponentsDistanceTransform,0.029251,18
ismember,0.028457,171
bwconncomp,0.02695,216
refineCurbCellsByRoadAdjacency>completeProjectedCurbBoundaryPaths,0.026259,18
ismember>ismemberR2012a,0.025192,171
refineCurbCellsByRoadAdjacency>completeDominantBoundaryContinuation,0.02464,18
groundFeatures/private/connectedComponents8,0.022885,126
perceiveFrame>subsetOffGroundPillars,0.022002,18
median,0.021879,1314
segmentGround>labelSlopeGridGroundPoints,0.021784,18
selectPillarFootprints>buildPoleFootprintCandidates,0.021691,18
ismember>ismemberClassTypes,0.020362,108
intersect,0.02007,63
validatePerceptionFeatureNames,0.018809,36
segmentGround>computeSlopeGridCellStats,0.018636,18
refineCurbCellsByRoadAdjacency>keepSameColumnFeaturePeakCurbCells,0.018557,18
segmentGround>fillSlopeGridHoles,0.01851,18
buildCurbEnergyMaps>computeLineComponentSupportMaps,0.017342,18
sub2ind,0.016959,684
extractRoadSurface>buildCurbBoundedInteriorMask,0.016741,36
intersect>intersectR2012a,0.016084,63
images/private/bwconncomp_2d,0.015521,216
refineCurbCellsByRoadAdjacency>removeRoadFacingDuplicateCurbCells,0.012477,18
refineCurbCellsByRoadAdjacency>keepRoadFacingBoundaryAnchors,0.012111,12
buildCoarseSemanticProbabilityCloud>selectSemanticObservations,0.011755,54
aggregatePlanarCellMoments,0.011591,18
sortrows,0.011555,117
images/private/labelBinaryRuns,0.011446,216
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbCells,0.011337,18
buildCurbEnergyMaps>buildGroundCellStats,0.010933,18
refineCurbCellsByRoadAdjacency>completeWeakCurbBoundaryGaps,0.010753,18
quantile,0.010636,153
buildPillarShapeScores,0.010568,18
refineCurbCellsByRoadAdjacency>removeFartherSameSideOutlierComponents,0.010414,18
refineCurbCellsByRoadAdjacency>extendDominantBoundaryRunOneDirection,0.010264,240
detectPolePillars>completeSplitShafts,0.009898,18
buildCurbEnergyMaps>computeCurvatureEnergyMap,0.009794,18
perception/private/readPerceptionPoints,0.009598,18
perceiveFrame>resolveCoarseProbabilityCloudConfig,0.009537,18
prctile,0.009409,153
buildCoarseSemanticProbabilityCloud>concatenateComponents,0.00888,18
cell.intersect,0.008717,36
bwdist,0.008635,63
segmentGround>resolveSlopeGridParams,0.008607,18
extractRoadSurface>removeSmallRoadComponents,0.008456,36
interp1,0.00824,120
buildCurbEnergyMaps>computeRelativeHeightEnergyMap,0.008189,18
refineCurbCellsByRoadAdjacency>buildRoadAdjacencyBoundaryContinuation,0.008091,12
groundSegmentation/private/groupedFiniteMedian,0.008003,36
refineCurbCellsByRoadAdjacency>keepRoadConsistentPeakPromotionProtection,0.007948,18
buildCurbEnergyMaps>computeResidualSlopeEnergyMap,0.007925,18
analyzeStructuralPillars>projectStatistics,0.00785,18
buildCurbEnergyMaps>boxSumMap,0.007572,180
