dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,1,1,baseline,112.904,112.904,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,serial,89.351,112.904,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,threads2,66.674,112.904,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,threads4,55.914,112.904,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,1,threads8,52.311,112.904,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,71,1,baseline,105.731,105.731,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,serial,81.701,105.731,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,threads2,68.726,105.731,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,threads4,57.816,105.731,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,1,threads8,53.1,105.731,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,301,1,baseline,262.081,262.081,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,serial,176.265,262.081,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,threads2,116.961,262.081,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,threads4,84.107,262.081,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,1,threads8,66.162,262.081,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,501,1,baseline,79.94,79.94,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,1,serial,65.037,79.94,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,1,threads2,53.297,79.94,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,1,threads4,49.065,79.94,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,1,threads8,48.176,79.94,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,851,1,baseline,224.258,224.258,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,1,serial,155.233,224.258,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,1,threads2,108.697,224.258,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,1,threads4,83.468,224.258,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,1,threads8,69.523,224.258,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,1031,1,baseline,376.35,376.35,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,1,serial,249.727,376.35,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,1,threads2,158.43,376.35,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,1,threads4,109.321,376.35,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,1,threads8,87.453,376.35,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1,2,baseline,111.126,111.126,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,2,serial,85.352,111.126,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,2,threads2,64.892,111.126,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,2,threads4,55.124,111.126,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,1,2,threads8,52.335,111.126,17,17,17,0,0,1,1,1,1,1,1,1,54,0,0,0,0,9,9,3,3,3
Mississippi,71,2,baseline,100.716,100.716,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,2,serial,80.497,100.716,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,2,threads2,64.458,100.716,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,2,threads4,55.535,100.716,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,71,2,threads8,57.086,100.716,23,23,23,0,0,1,1,1,1,1,1,1,37,0,0,0,0,12,12,8,8,8
Mississippi,301,2,baseline,262.322,262.322,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,2,serial,173.108,262.322,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,2,threads2,114.685,262.322,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,2,threads4,84.231,262.322,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,301,2,threads8,69.607,262.322,34,34,34,0,0,1,1,1,1,1,1,1,39,0,0,0,0,3,3,2,2,2
Mississippi,501,2,baseline,81.632,81.632,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,2,serial,63.566,81.632,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,2,threads2,53.677,81.632,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,2,threads4,48.218,81.632,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,501,2,threads8,43.839,81.632,20,20,20,0,0,1,1,1,1,1,1,1,62,0,0,0,0,10,10,6,5,5
Mississippi,851,2,baseline,225.435,225.435,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,2,serial,155.301,225.435,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,2,threads2,106.298,225.435,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,2,threads4,82.917,225.435,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,851,2,threads8,70.595,225.435,26,26,26,0,0,1,1,1,1,1,1,1,72,0,0,0,0,11,11,4,4,4
Mississippi,1031,2,baseline,367.409,367.409,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,2,serial,246.446,367.409,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
Mississippi,1031,2,threads2,156.082,367.409,25,25,25,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,3,1,1
