seed,found,score,milliseconds
1,0,0,3.908
2,0,0,1.961
3,0,0,2.104
4,0,0,2.131
5,0,0,2.518
6,0,0,2.031
7,1,0.432462633042379,1.872
8,0,0,2.077
9,0,0,1.878
10,0,0,2.006
11,0,0,1.814
12,0,0,2.235
13,1,0.360871750570784,2.007
14,0,0,1.966
15,0,0,2.06
16,0,0,1.959
17,0,0,2.009
18,0,0,1.955
19,0,0,2.038
20,0,0,1.849
21,0,0,1.926
22,0,0,2.076
23,1,0.352108101075501,1.976
24,0,0,1.866
25,0,0,1.902
26,1,0.408262795108564,1.989
27,0,0,1.875
28,1,0.443315370568016,1.936
29,0,0,2.014
30,0,0,1.869
31,0,0,1.817
32,0,0,1.929
