frame,shapeMs,distributionMs
1,24.271,24.81
11,23.925,26.843
21,23.755,26.159
31,22.654,25.866
41,25.804,27.023
51,23.425,34.97
61,24.416,25.801
71,23.514,26.728
81,24.728,25.41
91,24.862,28.655
101,27.396,29.111
111,28.863,30.258
121,30.454,33.78
131,28.301,30.414
141,29.24,28.769
151,25.414,27.193
161,27.714,31.389
171,25.133,27.834
181,24.158,28.479
191,24.521,27.225
201,25.739,29.266
211,26.955,29.299
221,24.61,25.988
231,25.77,28.239
241,26.147,29.193
251,26.912,29.434
261,30.449,29.528
271,27.425,29.666
281,27.703,32.285
291,28.96,32.575
301,26.276,28.171
311,25.854,28.936
321,26.7,31.697
331,26.617,29.351
341,27.83,30.315
351,27.924,31.091
361,28.634,30.822
371,29.268,31.699
381,31.735,34.947
391,29.187,29.161
401,28.158,29.529
411,27.06,28.359
421,25.328,24.685
431,21.939,23.076
441,22.317,22.893
451,24.516,24.459
461,24.571,25.576
471,20.996,20.431
481,18.027,19.148
491,17.347,18.692
501,19.378,20.094
511,21.108,22.841
521,24.887,25.884
531,26.478,28.236
541,26.322,27.172
551,25.393,27.048
561,24.752,27.178
571,28.107,26.453
581,28.745,26.898
591,25.323,26.571
601,30.052,32.36
611,33,35.346
621,29.146,29.942
631,25.504,26.752
641,25.463,29.54
651,25.04,29.84
661,25.956,27.803
671,27.915,29.787
681,27.147,28.887
691,27.215,28.932
701,26.433,28.769
711,29.092,29.622
721,27.155,29.103
731,27.574,29.125
741,28.543,29.551
751,30.328,30.964
761,28.503,32.5
771,26.087,29.797
781,27.077,29.053
791,32.297,31.175
801,30.053,33.123
811,26.996,29.781
821,29.072,30.157
831,30.916,33.724
841,30.255,33.59
851,27.895,30.621
861,27.638,29.354
871,30.319,29.428
881,27.252,28.088
891,27.22,28.637
901,30.333,31.127
911,32.593,33.03
921,34.15,32.835
931,29.869,33.35
941,30.904,34.753
951,31.111,34.468
961,30.876,33.759
971,31.167,33.826
981,30.912,33.501
991,28.998,31.804
1001,29.495,31.979
1011,28.78,32.107
1021,28.312,30.932
1031,30.096,32.317
1041,31.133,34.19
1051,28.573,31.306
1061,26.726,29.289
1071,26.035,27.752
1081,26.559,31.055
1091,26.702,29.781
1101,28.198,30.46
1111,28.928,31.187
1121,29.942,35.069
1131,30.226,37.257
1141,30.042,32.905
1151,29.639,33.352
1161,29.234,33.464
