frame,pillar,variant,shaftFound,accepted,score,ownPoints,coreComponentCells,selectedComponentCells,nearestSelectedAxisMeters,componentMembers,selectedCells
71,7035,contrast3,0,0,0,0,0,0,Inf,,
191,3445,contrast3,1,0,0.39597000443123,7,3,2,0.0169711476060274,3344 3444 3445,3344 3444
221,6844,contrast3,1,0,0.758346678393485,11,3,2,0.00174271671384076,6843 6844 6943,6843 6943
241,2344,contrast3,1,0,0.76273494328411,8,4,2,0.0312904541063682,2243 2244 2343 2344,2243 2244
501,4644,subset,1,0,0.642407482201384,14,3,2,0.00188268236107676,4643 4644 4743,4643 4743
751,3444,contrast3,1,0,0.615833485253133,19,3,2,0.00948032382251555,3443 3444 3543,3443 3543
851,4166,subset,1,0,0.486526635189911,7,4,2,0.193874718972365,4165 4166 4265 4266,4165 4265
851,4165,contrast3,1,0,0.479514280002514,9,4,2,0.324831795681352,4165 4166 4265 4266,4166 4266
851,4265,contrast3,1,0,0.368021382674768,11,4,2,0.341422458750828,4165 4166 4265 4266,4166 4266
931,1067,contrast3,1,0,0.199603017464798,17,2,1,0.539477824978933,1067 1068,1068
941,6831,contrast3,1,0,0.515763690341498,22,2,1,0.194953418389647,6731 6831,6731
1021,2827,contrast3,1,0,0.540665949258688,16,3,1,0.980851502541584,2827 2828 2829,2829
1021,2828,contrast3,1,0,0.562467342770736,16,3,1,1.02262596208835,2827 2828 2829,2829
