variant,frame,candidateCount,fineCount,fineShared,baselineCount,baselineShared,fineRecallTol,baselineRecallTol,baselinePrecisionTolCount
default,1,9,3,1,11,7,1,8,8
default,11,9,4,2,10,4,2,5,5
default,21,6,5,2,11,5,3,6,5
default,31,9,1,1,13,7,1,9,7
default,41,8,2,2,11,4,2,6,4
default,51,6,6,2,8,4,2,5,4
default,61,9,6,5,10,5,6,6,5
default,71,12,8,5,13,9,5,12,9
default,81,12,4,3,9,8,4,9,8
default,91,13,4,4,11,9,4,10,9
default,101,13,2,1,15,9,1,10,9
default,111,17,3,3,16,11,3,14,11
default,121,10,2,0,11,6,0,10,6
default,131,8,0,0,8,3,0,3,3
default,141,5,2,2,8,4,2,5,4
default,151,5,6,5,8,5,6,6,5
default,161,6,1,1,3,3,1,3,3
default,171,3,3,2,6,3,3,4,3
default,181,4,2,2,4,3,2,3,3
default,191,8,3,2,4,3,3,4,4
default,201,8,1,1,6,5,1,5,5
default,211,4,2,2,5,3,2,5,3
default,221,5,2,1,5,5,2,5,5
default,231,3,1,1,3,3,1,3,3
default,241,5,1,1,5,5,1,5,5
default,251,3,2,2,3,1,2,1,2
default,261,2,1,1,2,2,1,2,2
default,271,3,2,2,3,2,2,3,3
default,281,5,2,2,8,4,2,4,4
default,291,7,4,4,6,5,4,6,5
default,301,3,2,1,1,1,1,1,1
default,311,7,4,4,6,3,4,4,3
default,321,3,1,1,3,3,1,3,3
default,331,7,4,4,9,5,4,6,6
default,341,3,2,2,6,3,2,3,3
default,351,3,3,2,7,3,3,4,3
default,361,4,2,2,6,3,2,3,4
default,371,9,1,1,5,5,1,5,5
default,381,3,2,2,3,2,2,2,2
default,391,4,1,1,2,2,1,2,2
default,401,3,2,2,2,2,2,2,2
default,411,4,2,2,2,2,2,2,2
default,421,3,1,1,3,3,1,3,3
default,431,5,2,2,3,2,2,3,3
default,441,5,2,2,6,4,2,6,4
default,451,4,2,2,4,2,2,3,3
default,461,6,1,1,4,4,1,4,4
default,471,3,1,1,3,2,1,2,2
default,481,6,3,3,4,3,3,3,4
default,491,4,1,1,6,3,1,3,3
default,501,10,6,3,10,7,6,8,8
default,511,10,4,4,8,7,4,8,8
default,521,7,4,4,8,6,4,6,7
default,531,3,2,2,4,2,2,2,3
default,541,4,2,1,3,2,2,2,2
default,551,4,0,0,10,3,0,5,3
default,561,6,3,3,9,6,3,6,6
default,571,5,0,0,5,4,0,4,4
default,581,3,1,1,5,3,1,5,3
default,591,2,1,1,2,1,1,1,1
default,601,6,2,2,6,4,2,5,4
default,611,3,2,2,6,3,2,3,3
default,621,4,2,2,4,2,2,2,2
default,631,4,2,2,5,4,2,5,4
default,641,3,4,3,3,1,3,1,2
default,651,9,2,2,3,2,2,2,4
default,661,5,2,2,7,3,2,4,3
default,671,11,2,2,8,6,2,6,8
default,681,9,1,1,12,5,1,5,5
default,691,10,1,1,8,6,1,7,6
default,701,7,1,1,5,3,1,3,4
default,711,5,3,3,5,4,3,4,4
default,721,3,2,2,4,3,2,3,3
default,731,9,1,1,9,6,1,7,7
default,741,7,2,2,9,3,2,3,4
default,751,7,4,3,6,4,4,5,5
default,761,4,1,1,7,3,1,3,3
default,771,6,3,2,5,4,3,4,4
default,781,7,3,3,5,3,3,3,3
default,791,10,4,4,15,9,4,12,9
default,801,11,5,5,3,3,5,3,4
default,811,11,4,4,12,5,4,6,5
default,821,11,1,1,12,6,1,6,9
default,831,12,5,4,12,10,4,10,11
default,841,7,2,2,4,3,2,3,3
default,851,11,4,2,5,3,4,3,3
default,861,6,1,1,7,3,1,4,3
default,871,3,2,2,7,3,2,3,3
default,881,9,2,2,11,8,2,10,8
default,891,11,6,4,12,8,6,10,8
default,901,11,1,1,10,8,1,8,8
default,911,10,5,5,9,6,5,6,6
default,921,10,2,2,10,8,2,8,8
default,931,12,5,3,10,7,3,8,8
default,941,10,3,3,14,7,3,9,7
default,951,12,3,3,9,8,3,8,8
default,961,11,0,0,10,4,0,5,4
default,971,10,4,4,11,6,4,7,6
default,981,10,4,4,10,6,4,8,7
default,991,8,1,1,6,6,1,6,6
default,1001,6,1,1,5,4,1,4,4
default,1011,11,2,2,14,6,2,7,7
default,1021,10,5,3,14,9,3,10,10
default,1031,6,3,1,13,4,1,5,4
default,1041,6,1,1,10,4,1,4,5
default,1051,6,2,2,8,4,2,5,4
default,1061,7,1,1,9,5,1,5,5
default,1071,13,4,4,15,8,4,11,8
default,1081,17,6,6,18,14,6,16,14
default,1091,17,5,5,18,12,5,14,12
default,1101,16,10,10,18,12,10,14,14
default,1111,14,4,3,15,10,4,12,10
default,1121,9,3,3,15,7,3,10,7
default,1131,11,1,1,12,6,1,8,7
default,1141,12,0,0,9,8,0,8,9
default,1151,15,1,1,20,10,1,11,11
default,1161,8,6,4,10,5,5,8,7
