frame,pillar,variant,found,score,ownCount,supportCount,height,ownHeight,robustHeight,radialRms,peakContrast
21,6586,base,0,0,0,0,0,0,0,0,0
21,7773,base,0,0,0,0,0,0,0,0,0
21,6586,search48x12,0,0,0,0,0,0,0,0,0
21,7773,search48x12,0,0,0,0,0,0,0,0,0
21,6586,fit0p08,0,0,0,0,0,0,0,0,0
21,7773,fit0p08,0,0,0,0,0,0,0,0,0
21,6586,fit0p10,0,0,0,0,0,0,0,0,0
21,7773,fit0p10,0,0,0,0,0,0,0,0,0
21,6586,fit0p20,1,0.289620226950266,10,20,2.93210029602051,2.06437253952026,2.69945955276489,0.0945752803701497,1.66666666666667
21,7773,fit0p20,1,0.364625771152508,6,20,2.3816591501236,0.995625376701355,2.27549922466278,0.0697735246924164,1.42857142857143
21,6586,height1p35,0,0,0,0,0,0,0,0,0
21,7773,height1p35,0,0,0,0,0,0,0,0,0
21,6586,peak1p25,1,0.328442907436352,6,14,3.13668537139893,1.83023452758789,3.04204440116882,0.0384723202289299,1.27272727272727
21,7773,peak1p25,0,0,0,0,0,0,0,0,0
21,6586,rms0p101,0,0,0,0,0,0,0,0,0
21,7773,rms0p101,0,0,0,0,0,0,0,0,0
21,6586,points11,0,0,0,0,0,0,0,0,0
21,7773,points11,0,0,0,0,0,0,0,0,0
21,6586,contrast3,1,0.165083114120743,8,15,2.46681880950928,1.83023452758789,2.25025486946106,0.0998933423054182,1.45454545454545
21,7773,contrast3,1,0.115247663052553,10,17,1.9436047077179,1.93347275257111,1.88253893256187,0.097903184152268,1.41666666666667
301,4944,base,0,0,0,0,0,0,0,0,0
301,4944,search48x12,0,0,0,0,0,0,0,0,0
301,4944,fit0p08,0,0,0,0,0,0,0,0,0
301,4944,fit0p10,0,0,0,0,0,0,0,0,0
301,4944,fit0p20,0,0,0,0,0,0,0,0,0
301,4944,height1p35,1,0.519964156955095,230,230,1.43281763792038,1.43281763792038,1.31802940368652,0.0463369610504804,2.0353982300885
301,4944,peak1p25,0,0,0,0,0,0,0,0,0
301,4944,rms0p101,0,0,0,0,0,0,0,0,0
301,4944,points11,0,0,0,0,0,0,0,0,0
301,4944,contrast3,0,0,0,0,0,0,0,0,0
501,4644,base,1,0.642407482201384,14,426,2.71842086315155,1.41612693667412,2.42244901657104,0.0633755808347274,1.95412844036697
501,7257,base,0,0,0,0,0,0,0,0,0
501,4644,search48x12,1,0.642407482201384,14,426,2.71842086315155,1.41612693667412,2.42244901657104,0.0633755808347274,1.95412844036697
501,7257,search48x12,0,0,0,0,0,0,0,0,0
501,4644,fit0p08,1,0.431621609874898,14,421,2.71842086315155,1.41612693667412,2.4231808423996,0.070374333462234,1.44178082191781
501,7257,fit0p08,0,0,0,0,0,0,0,0,0
501,4644,fit0p10,1,0.542211147769742,13,381,2.71675622463226,1.41612693667412,2.41792520880699,0.0559994064871569,1.51190476190476
501,7257,fit0p10,1,0.33524904720795,7,16,1.78323429822922,1.39671194553375,1.66568046212196,0.0491778430197207,1.63636363636364
501,4644,fit0p20,1,0.640829554980678,13,425,2.71842086315155,1.41612693667412,2.42259538173676,0.0637458429742182,1.95852534562212
501,7257,fit0p20,0,0,0,0,0,0,0,0,0
501,4644,height1p35,1,0.642407482201384,14,426,2.71842086315155,1.41612693667412,2.42244901657104,0.0633755808347274,1.95412844036697
501,7257,height1p35,0,0,0,0,0,0,0,0,0
501,4644,peak1p25,1,0.642407482201384,14,426,2.71842086315155,1.41612693667412,2.42244901657104,0.0633755808347274,1.95412844036697
501,7257,peak1p25,0,0,0,0,0,0,0,0,0
501,4644,rms0p101,1,0.647511679425394,14,426,2.71842086315155,1.41612693667412,2.42244901657104,0.0633755808347274,1.95412844036697
501,7257,rms0p101,0,0,0,0,0,0,0,0,0
501,4644,points11,1,0.642407482201384,14,426,2.71842086315155,1.41612693667412,2.42244901657104,0.0633755808347274,1.95412844036697
501,7257,points11,0,0,0,0,0,0,0,0,0
501,4644,contrast3,1,0.642407482201384,14,426,2.71842086315155,1.41612693667412,2.42244901657104,0.0633755808347274,1.95412844036697
501,7257,contrast3,0,0,0,0,0,0,0,0,0
641,3864,base,0,0,0,0,0,0,0,0,0
641,3864,search48x12,0,0,0,0,0,0,0,0,0
641,3864,fit0p08,0,0,0,0,0,0,0,0,0
641,3864,fit0p10,0,0,0,0,0,0,0,0,0
641,3864,fit0p20,0,0,0,0,0,0,0,0,0
