pillarIndices,stage,ownPoints,ownSpan,maximumCylinderPoints,maximumQualifiedPoints,maximumRunPoints,maximumRunOwnPoints,longestRunHeight,longestRunRobustHeight,longestRunOwnHeight,longestRunPoints,longestRunOwnPoints,longestRunRadialRms,maximumPeakContrast,minimumSeedTiltDegrees,minimumRadialRms,frame,baseline,fine,previous,subsetFound,subsetAccepted,defaultCore,range,wholeTilt,wholeRadialStd,coreFraction,coreHeight,coreIsolation,coreCount,failCount,failHeight,failHeightStd,failTilt,failRadial,failCoreFraction,failCoreHeight,failIsolation,failCoreCount,defaultFootprintDrop,subsetFootprintDrop,nearestAcceptedCellMeters,fineOriginalOwnCount,fineOffGroundOwnCount,fineGroundRemovedCount,fineOutsideFilterCount,fineOriginalOwnHeight,fineOffGroundOwnHeight,fineAxisNearestAccepted,fineAxisOverlapHeight,densityCoreEvaluated,failEligibility,failLine
1594,10,32,4.3120002746582,18,16,14,14,2.12217354774475,2.06429800987244,2.12217354774475,14,14,0.102247668454106,1.5,0.305000529112129,0.0898046199317361,1,1,0,0,1,1,0,33.3673544765984,2.75661959309438,0.169947897207695,0.40625,4.27246522903442,0.26,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
3846,10,167,3.67211818695068,184,184,184,165,3.77418839931488,3.40720136165619,3.67211818695068,179,163,0.0709247864694226,1.96825396825397,0.199054024249021,0.036471101887455,1,1,1,1,1,1,1,7.5621773173021,0.238331204006261,0.0660008450343665,0.988023952095808,3.67211818695068,0.928205128205128,181,0,0,0,0,0,0,0,0,0,0,0,0,165,165,0,0,3.67211818695068,3.67211818695068,0.0141009630565155,3.67211818695068,1,0,0
4403,9,33,6.94336637854576,17,15,15,15,2.35678192973137,2.28938329219818,2.35678192973137,15,15,0.0918201930811838,1.15384615384615,0.618219778733185,0.0868218761213117,1,1,0,1,0,0,1,28.6289693319641,1.72851990513656,0.180282679055235,0.454545454545455,6.71198031306267,0.365853658536585,15,0,0,0,0,0,0,0,0,0,0,0,24.2759139889727,0,0,0,0,0,0,NaN,NaN,1,0,0
5789,10,45,7.66991519927979,46,36,34,27,4.52414512634277,4.05954701900482,4.52414512634277,32,27,0.085301218038863,1.81818181818182,0.286699060243489,0.0708795741529282,1,0,1,0,1,1,0,23.705167375227,0.461486851768596,0.205874598889372,0.6,6.86362791061401,0.261682242990654,28,0,0,0,0,0,0,0,1,0,0,0,0,16,16,0,0,2.6313818693161,2.6313818693161,0.0841313195542974,1.52164125442505,1,0,0
5889,10,36,7.6888410449028,49,46,46,19,6.49073642492294,5.49688260555267,4.3946441411972,46,19,0.0920455950503798,1.875,0.352392218225704,0.039298666263702,1,0,1,0,1,1,0,23.8421873181793,2.96828105169421,0.187364967815751,0.416666666666667,5.07259392738342,0.222222222222222,24,0,0,0,0,0,0,0,1,0,0,0,0,15,15,0,0,3.08152937889099,3.08152937889099,0.0841313195542974,1.52164125442505,1,0,0
6044,7,121,1.67678973078728,126,47,47,21,0.72728368639946,0.723391203582287,0.724831938743591,47,21,0.0866553876323355,0,1.30370528184335,Inf,1,1,0,1,0,0,1,7.26011206164216,5.88774148337973,0.140005801287184,0.702479338842975,1.67421671748161,0.390728476821192,118,0,0,0,0,0,0,0,0,0,0,0,13.2544332206247,0,0,0,0,0,0,NaN,NaN,1,0,0
6045,7,181,1.65853533148766,132,57,57,44,0.727532655000687,0.722459556162357,0.723313122987747,51,35,0.0866952978945025,0,1.4124175615836,Inf,1,1,0,1,0,0,1,7.14419078314672,8.24559094926336,0.150501883773683,0.607734806629834,1.65853533148766,0.414790996784566,129,0,0,0,0,0,0,0,0,0,0,0,13.2136293273271,0,0,0,0,0,0,NaN,NaN,1,0,0
6866,10,21,2.76660084724426,22,19,19,16,2.51971846818924,2.41231905221939,2.37906843423843,18,16,0.0555656230279282,1.8,0.745190299008678,0.0535729725300461,1,1,0,1,1,1,1,14.587095612043,2.09073565603651,0.206660043759874,0.761904761904762,2.37906843423843,0.465116279069767,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
6867,4,10,2.41124594211578,20,10,0,0,0,0,0,0,0,0,0,2.44055676349849,Inf,1,1,0,0,0,0,0,14.7733586688507,3.55991083556311,0.0810831657728186,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.6,0,0,0,0,0,0,NaN,NaN,0,0,0
7873,10,42,3.3891407251358,26,20,17,17,2.36839437484741,2.30709701180458,2.36839437484741,16,16,0.0708493248793977,1.625,0.518939303525656,0.0708493248793977,1,1,0,1,1,1,1,21.9676276484788,3.57357188664183,0.152212142439881,0.476190476190476,3.36872506141663,0.4375,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
