frame,defaultMs,subsetMs
1,24.95,48.332
11,29.507,49.539
21,28.896,49.073
31,26.861,44.624
41,30.277,46.392
51,25.811,52.178
61,26.881,43.017
71,26.089,43.806
81,27.277,50.454
91,32.379,63.34
101,32.023,84.951
111,34.538,108.63
121,35.737,120.663
131,36.273,127.395
141,34.07,115.746
151,29.42,85.878
161,34.441,118.762
171,28.854,179.638
181,27.383,193.432
191,28.264,129
201,29.265,108.641
211,30.324,104.232
221,26.725,85.584
231,31.995,100.818
241,30.647,130.203
251,30.42,202.918
261,31.514,221.958
271,32.141,178.424
281,35.811,195.406
291,31.226,150.26
301,28.704,225.415
311,31.197,307.842
321,30.654,304.75
331,30.949,244.725
341,30.499,212.524
351,33.195,229.134
361,33.251,252.195
371,37.569,281.464
381,35.849,296.362
391,32.1,235.22
401,30.566,261.681
411,28.836,226.424
421,27.154,156.702
431,24.063,125.577
441,24.354,135.67
451,26.063,169.627
461,26.183,137.35
471,21.659,54.675
481,19.833,27.672
491,18.76,27.625
501,21.738,48.869
511,26.655,66.482
521,30.155,102.384
531,31.216,120.614
541,30.048,74.752
551,33.222,80.172
561,27.609,86.821
571,28.178,85.902
581,28.096,68.097
591,28.556,69.665
601,33.135,196.667
611,39.177,200.599
621,35.367,116.305
631,29.266,85.122
641,28.297,91.436
651,28.976,101.578
661,29.834,115.292
671,31.67,87.951
681,35.241,85.061
691,32.99,109.511
701,32.642,127.197
711,32.785,118.137
721,30.817,121.275
731,34.69,130.671
741,33.13,107.637
751,32.027,132.24
761,30.864,119.916
771,30.646,122.479
781,31.974,107.178
791,32.529,127.897
801,32.131,106.671
811,32.74,99.419
821,29.607,99.764
831,31.528,112.536
841,31.543,116.24
851,32.621,118.654
861,33.973,92.656
871,31.001,75.482
881,29.996,79.806
891,30.277,104.634
901,31.77,121.511
911,36.635,181.55
921,35.42,208.504
931,36.393,254.281
941,35.274,259.172
951,35.397,214.703
961,35.487,261.268
971,36.921,270.039
981,35.497,239.04
991,37.491,216.249
1001,37.493,216.577
1011,35.64,229.597
1021,33.424,262.814
1031,36.183,249.198
1041,34.484,263.249
1051,35.617,158.744
1061,34.187,104.961
1071,32.91,78.271
1081,31.706,94.124
1091,33.038,134.777
1101,34.625,136.763
1111,34.583,167.53
1121,33.515,151.702
1131,36.665,127.63
1141,35.425,164.177
1151,37.549,155.822
1161,31.181,127.449
