threshold,referenceName,candidate,reference,shared,precision,recall,f1,precisionTol,recallTol,f1Tol
0,baseline,2104,924,591,0.280893536121673,0.6396103896103896,0.3903566710700132,0.3255703422053232,0.7348484848484849,0.4512271313512707
0,fine,2104,306,296,0.14068441064638784,0.9673202614379085,0.24564315352697094,0.15636882129277566,0.9836601307189542,0.26984187536956145
0.2,baseline,1805,924,557,0.30858725761772854,0.6028138528138528,0.40820813484792967,0.3590027700831025,0.6904761904761905,0.4723922524855143
0.2,fine,1805,306,296,0.16398891966759002,0.9673202614379085,0.28043581241117954,0.18227146814404432,0.9836601307189542,0.30755350717958196
0.3,baseline,1364,924,478,0.35043988269794724,0.5173160173160173,0.4178321678321678,0.40762463343108507,0.5909090909090909,0.4824456013883327
0.3,fine,1364,306,281,0.2060117302052786,0.9183006535947712,0.3365269461077845,0.2280058651026393,0.9575163398692811,0.3683091560937557
0.4,baseline,926,924,370,0.39956803455723544,0.4004329004329004,0.4,0.4632829373650108,0.44805194805194803,0.4555401662049861
0.4,fine,926,306,250,0.26997840172786175,0.8169934640522876,0.40584415584415584,0.2980561555075594,0.8627450980392157,0.4430499817584823
0.45,baseline,717,924,312,0.4351464435146444,0.33766233766233766,0.3802559414990859,0.5062761506276151,0.3787878787878788,0.43335004655826953
0.45,fine,717,306,229,0.3193863319386332,0.7483660130718954,0.447702834799609,0.3500697350069735,0.7875816993464052,0.48469769994751666
0.5,baseline,539,924,261,0.4842300556586271,0.2824675324675325,0.35680109364319895,0.5547309833024119,0.31385281385281383,0.4008913834474532
0.5,fine,539,306,200,0.37105751391465674,0.6535947712418301,0.47337278106508873,0.40630797773654914,0.6797385620915033,0.5086028828869064
0.55,baseline,381,924,210,0.5511811023622047,0.22727272727272727,0.3218390804597701,0.6167979002624672,0.24891774891774893,0.35469370344850215
0.55,fine,381,306,179,0.46981627296587924,0.5849673202614379,0.5211062590975256,0.5039370078740157,0.6111111111111112,0.5523734797959985
0.6,baseline,263,924,164,0.623574144486692,0.1774891774891775,0.27632687447346255,0.6996197718631179,0.19155844155844157,0.30076604468824886
0.6,fine,263,306,149,0.5665399239543726,0.4869281045751634,0.523725834797891,0.6083650190114068,0.5130718954248366,0.5566697321913331
0.7,baseline,100,924,70,0.7,0.07575757575757576,0.13671875,0.78,0.08116883116883117,0.14703664605640177
0.7,fine,100,306,74,0.74,0.24183006535947713,0.3645320197044335,0.79,0.2679738562091503,0.40019768950392287
