scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.0876837828203157,0.0531623661401738,0.168976151681044,0.375664873236837,0.812660393498717,0.56556015425773,1169,0,0.170256
both,outage_40_60,199,0.0371406333839111,0.0349564404156602,0.0567146163201551,0.0789133819329675,1,0.28390340426201,199,0,0.170256
both,recovery_60_70,100,0.0930111999206775,0.0657685464183642,0.168806669815776,0.170950807531014,0.69,0.637262698710446,100,0,0.170256
lidar_only,full,1169,0.204121210212897,0.11183580989858,0.43640765902763,0.937765181357819,0.430282292557742,0.56556015425773,0,0,0.079239
lidar_only,outage_40_60,199,0.0640835698556529,0.061554265312273,0.0986833174005751,0.110486818812178,0.954773869346734,0.28390340426201,0,0,0.079239
lidar_only,recovery_60_70,100,0.194430846098198,0.124819920770484,0.372095944429002,0.390548968073451,0.4,0.637262698710446,0,0,0.079239
gnss_only,full,1169,0.0878448428706011,0.0561536024163381,0.191537195447626,0.260214757557461,0.776732249786142,1.40098031597075,0,0,0.094613
gnss_only,outage_40_60,199,0.0448420725285521,0.042220673629027,0.0686343845959304,0.0994759310686219,1,1.00256381317269,0,0,0.094613
gnss_only,recovery_60_70,100,0.0717769951831015,0.0403147811682823,0.129822881558933,0.144893757380441,0.77,1.51430148820571,0,0,0.094613
gnss_outage,full,1169,0.0901985512481056,0.0608032736198017,0.168976150138148,0.375664873236837,0.804961505560308,0.56556015425773,970,0,0.096466
gnss_outage,outage_40_60,199,0.0634423781081359,0.060040624461469,0.0983073963533922,0.110486818812178,0.954773869346734,0.28390340426201,0,0,0.096466
gnss_outage,recovery_60_70,100,0.0928215618957196,0.0656465317068049,0.168806668412931,0.170950806819775,0.69,0.637262698710446,100,0,0.096466
lidar_outage,full,1169,0.0881957324614618,0.0536622267999424,0.163261525315115,0.375664873236837,0.815226689478186,0.55625308725718,970,0,0.106326
lidar_outage,outage_40_60,199,0.0464786152214785,0.0458984044517715,0.0556320376975861,0.0692682719474308,1,0.166156123106018,0,0,0.106326
lidar_outage,recovery_60_70,100,0.0905367656271391,0.0704869293676129,0.161294428115551,0.163509711578287,0.71,0.624105390877383,100,0,0.106326
both_outage,full,1169,0.349846200266549,0.0709316732210683,0.982743043898767,1.16050142665682,0.651839178785287,0.55562277974212,970,199,0.083365
both_outage,outage_40_60,199,0.818279504038212,0.918071980316649,1.12345065679409,1.16050142665682,0.0703517587939698,0.148489793457259,0,199,0.083365
both_outage,recovery_60_70,100,0.14094383390476,0.0694695544014913,0.172594413102889,0.790827412893087,0.65,0.626399712867771,100,0,0.083365
alternating,full,1169,0.172806656816343,0.123688414638426,0.30570489366557,0.693666181042664,0.36869118905047,0.569223369245089,0,0,0.064962
alternating,outage_40_60,199,0.0979066001835637,0.0933990543300586,0.139139676100507,0.154117180243824,0.587939698492462,0.264529044226401,0,0,0.064962
alternating,recovery_60_70,100,0.17211341281496,0.146375017933907,0.316514925348155,0.367514220289595,0.27,0.638452351043203,0,0,0.064962
