frame,time,accepted,rank,positionErrorM,headingErrorDeg,x,y,yaw
1,0,1,3,0.0369661803176456,-0.0843232966841912,484201.037165233,4977500.91206707,-2.14225911157711
2,0.0998559667310051,1,3,0.0438260838508413,-0.0460056516561661,484201.029371817,4977500.91771397,-2.14159273622924
3,0.200121057709047,1,3,0.0269550700973418,-0.0620834570381137,484201.050472948,4977500.90700129,-2.14185371030847
4,0.299872987759305,1,3,0.0313835918715285,-0.0943092944802653,484201.041932725,4977500.91827098,-2.14242074406379
5,0.39948784948268,1,3,0.024070164547056,-0.054850593242951,484201.049583355,4977500.91783537,-2.14173547411303
6,0.499382309785561,1,3,0.0443502314173358,-0.0597895314879911,484201.029042223,4977500.92013643,-2.14180648304433
7,0.599357398516022,1,3,0.0372145018008259,-0.0870916505994501,484201.036888143,4977500.9145693,-2.14227647529156
8,0.699386846412172,1,3,0.0356212483763864,-0.083013264974072,484201.037003115,4977500.92069616,-2.14220912113208
9,0.799663381425096,1,3,0.0450389095232026,-0.0427954440330214,484201.037328681,4977500.88791907,-2.14148923518991
10,0.900221075567739,1,3,0.0404655432050533,-0.141016650432174,484201.028016172,4977500.90330143,-2.14321340444688
11,1.00122898844631,1,3,0.0259878664093735,-0.0797760457517701,484201.035463326,4977500.90380252,-2.1421544846271
12,1.09968202053745,1,3,0.0384153966566426,-0.103007305014075,484201.022805249,4977500.91296928,-2.14252726562912
13,1.19983423171688,1,3,0.0341110668941777,-0.0786894151276784,484201.023864311,4977500.9010607,-2.14214483215943
14,1.30036955797316,1,3,0.0443958001542447,-0.089913076531811,484201.00235727,4977500.8866249,-2.14226929789268
15,1.40021434076099,1,3,0.0319050671023222,-0.0921340078223427,484201.006689995,4977500.85696709,-2.14224805825831
16,1.50082093214358,1,3,0.013728035922841,-0.143804937707919,484200.981934072,4977500.80200308,-2.1430371362352
17,1.59970233526769,1,3,0.022266261225243,0.00532732947210232,484200.949585544,4977500.76233962,-2.14026191777999
18,1.69951356622597,1,3,0.0789635110046798,-0.0105465238254435,484200.870018553,4977500.70096015,-2.14036124470979
19,1.79962520309991,1,3,0.0322466494772692,-0.0726026790084557,484200.905718779,4977500.70591142,-2.14116593672647
20,1.89961953861631,1,3,0.032001024396428,-0.0915343523725886,484200.854516919,4977500.61907205,-2.14103792679929
21,1.99971192870431,1,3,0.0264452661720528,-0.161019522082528,484200.827911586,4977500.58471984,-2.14161265174694
22,2.09959052341338,1,3,0.0332346663789936,-0.0803460572141985,484200.778183029,4977500.51442015,-2.13950127630679
23,2.20015810104069,1,3,0.0504003830080812,-0.0422683037306657,484200.716549261,4977500.43997394,-2.13792948828762
24,2.30030302965247,1,3,0.0456792612989973,-0.297242119442619,484200.680985244,4977500.39317614,-2.14110440006591
25,2.39968927076991,1,3,0.0388189684694781,-0.0246634025557979,484200.655966718,4977500.32223582,-2.13495762418981
26,2.50014813006584,1,3,0.0254234577465224,-0.11418111189452,484200.601238176,4977500.21911137,-2.1343959359166
