candidate,initialPsi,initialX,initialY,accepted,reason,similarity,x,y,psi
1,-3.14159265358979,484202.041722712,4977499.53809516,0,searchBoundary,0.199194397166198,484205.041722712,4977499.05872982,2.98423991021519
2,-2.96705972839036,484201.969603658,4977499.83359678,0,insufficientOverlap,0.0655273803223133,484203.601816056,4977498.44045979,3.10683402862237
3,-2.79252680319093,484201.847266935,4977500.11208573,0,insufficientOverlap,0.136310539759126,484203.792427222,4977498.53010083,-2.69489832515959
4,-2.61799387799149,484201.678429684,4977500.36510026,0,searchBoundary,0.166228151758832,484201.501123209,4977499.243159,-2.40855436775218
5,-2.44346095279206,484201.468221939,4977500.58495264,0,searchBoundary,0.220647079987384,484201.059563761,4977500.36415424,-2.23402144255274
6,-2.26892802759263,484201.223030755,4977500.76496279,1,accepted,0.958373927263274,484201.039712784,4977500.91560839,-2.1423098229047
7,-2.0943951023932,484200.950306143,4977500.89966117,1,accepted,0.958373940375747,484201.039712844,4977500.91560812,-2.14230981320932
8,-1.91986217719376,484200.658334702,4977500.98495505,0,searchBoundary,0.79758282154491,484200.995629311,4977500.85838922,-2.12930168743308
9,-1.74532925199433,484200.355987837,4977501.01825281,0,notConverged,0.231566495032821,484199.68424441,4977502.62744846,-1.85287013651172
10,-1.5707963267949,484200.052452203,4977500.99854273,0,insufficientOverlap,0.111082399290797,484197.792600223,4977502.36954307,-1.74053746068559
11,-1.39626340159546,484199.756950579,4977500.92642367,0,insufficientOverlap,2.83790364652995e-13,484199.756950579,4977500.92642367,-1.39626340159546
12,-1.22173047639603,484199.478461631,4977500.80408695,0,insufficientOverlap,6.8347252487729e-19,484199.478461631,4977500.80408695,-1.22173047639603
13,-1.0471975511966,484199.225447104,4977500.6352497,0,insufficientOverlap,8.50721869384843e-15,484199.225447104,4977500.6352497,-1.0471975511966
14,-0.872664625997165,484199.005594717,4977500.42504195,0,insufficientOverlap,0.0680479475219837,484200.572565046,4977500.02774218,-0.766955875132527
15,-0.698131700797732,484198.825584575,4977500.17985077,0,insufficientOverlap,0.110871364254908,484198.828743321,4977497.87206444,-0.530942492449467
16,-0.523598775598299,484198.690886193,4977499.90712616,0,insufficientOverlap,0.110653965004805,484199.205577473,4977498.21178823,-0.56518050519105
17,-0.349065850398866,484198.605592314,4977499.61515472,0,insufficientOverlap,2.42674333355605e-14,484199.57045528,4977499.23954028,-0.31234601563942
18,-0.174532925199433,484198.572294549,4977499.31280785,0,insufficientOverlap,0,484198.572294549,4977499.31280785,-0.174532925199433
19,0,484198.592004635,4977499.00927222,0,insufficientOverlap,0,484198.592004635,4977499.00927222,0
20,0.174532925199433,484198.664123689,4977498.71377059,0,insufficientOverlap,0,484198.664123689,4977498.71377059,0.174532925199433
21,0.349065850398866,484198.786460412,4977498.43528164,0,insufficientOverlap,0,484198.786460412,4977498.43528164,0.349065850398866
22,0.523598775598299,484198.955297663,4977498.18226712,0,insufficientOverlap,0,484198.955297663,4977498.18226712,0.523598775598299
23,0.698131700797732,484199.165505408,4977497.96241473,0,insufficientOverlap,8.86733431280738e-21,484199.165505408,4977497.96241473,0.698131700797732
24,0.872664625997165,484199.410696592,4977497.78240459,0,insufficientOverlap,0,484199.410696592,4977497.78240459,0.872664625997165
25,1.0471975511966,484199.683421204,4977497.64770621,0,insufficientOverlap,0,484199.683421204,4977497.64770621,1.0471975511966
26,1.22173047639603,484199.975392645,4977497.56241233,0,insufficientOverlap,0,484199.975392645,4977497.56241233,1.22173047639603
27,1.39626340159546,484200.27773951,4977497.52911456,0,insufficientOverlap,0,484200.27773951,4977497.52911456,1.39626340159546
28,1.5707963267949,484200.581275143,4977497.54882465,0,insufficientOverlap,0,484200.581275143,4977497.54882465,1.5707963267949
29,1.74532925199433,484200.876776768,4977497.6209437,0,insufficientOverlap,7.44018141338395e-05,484200.876776768,4977497.6209437,1.74532925199433
30,1.91986217719376,484201.155265716,4977497.74328042,0,insufficientOverlap,0,484201.155265716,4977497.74328042,1.91986217719376
31,2.0943951023932,484201.408280243,4977497.91211768,0,insufficientOverlap,0,484201.408280243,4977497.91211768,2.0943951023932
32,2.26892802759263,484201.628132629,4977498.12232542,0,insufficientOverlap,0.00713325655181586,484201.628132629,4977498.12232542,2.26892802759263
33,2.44346095279206,484201.808142772,4977498.36751661,0,insufficientOverlap,3.34567580162055e-05,484202.752110194,4977498.54226112,2.41546276314647
34,2.61799387799149,484201.942841154,4977498.64024122,0,insufficientOverlap,0.0178267784883218,484201.796146617,4977498.82968242,2.59688752266636
35,2.79252680319093,484202.028135033,4977498.93221266,0,searchBoundary,0.191899744721485,484205.028135033,4977496.59785564,2.61898896050586
36,2.96705972839036,484202.061432798,4977499.23455952,0,searchBoundary,0.169647397394745,484205.061432798,4977498.58620385,2.92517460163661
