method,population,samples,positionRmseM,medianM,p95M,maximumM,worstFrame,headingRmseDeg,over50cm,over1m
historical_fused,all_frames,1169,0.07847427339778612,0.04615089052302765,0.17191319098458627,0.26870477306144,807,0.5401723773675481,0,0
historical_gnss_only,all_frames,1169,0.0880406778903118,0.055901880179865006,0.19108476962638482,0.2608338644862169,805,1.4035757645821858,0,0
historical_matching,accepted,1083,0.1486290490453811,0.07875775101047451,0.33065484744260215,0.5750649258832361,307,0.4245127400887341,10,0
matching_prediction/fused,all_frames,1169,0.10923750706103809,0.06384724194028586,0.2247364452656855,0.38933748151010716,92,0.7816463764513969,0,0
matching_prediction/gnss_only,all_frames,1169,0.08804068132579791,0.055901880179865006,0.19108476957742287,0.2608338644862169,805,1.403575789206106,0,0
matching_prediction/matching_with_prediction_fallback,all_frames,1169,0.2590432208639546,0.11478484519461456,0.5082483583490864,1.5190723556730974,837,0.6992936339929149,59,14
matching_prediction/matching,accepted,1081,0.19368177255492797,0.10909743542360886,0.4118024407689468,0.8100341648370426,92,0.6891034861136885,23,0
matching_prediction/matching,common_accepted_with_historical,1068,0.19221758380774942,0.10724309721126737,0.4099415165553189,0.8100341648370426,92,0.6798683126186341,22,0
historical_matching_vs_matching_prediction,common_accepted_with_historical,1068,0.14767572834645576,0.0785627045244594,0.3293066770112763,0.5750649258832361,307,0.41547310860394543,9,0
fusion_prediction/fused,all_frames,1169,0.09429195248801119,0.05867632388848546,0.1955576467072104,0.3049311177828517,802,0.6602885624702076,0,0
fusion_prediction/gnss_only,all_frames,1169,0.08804068132579791,0.055901880179865006,0.19108476957742287,0.2608338644862169,805,1.403575789206106,0,0
fusion_prediction/matching_with_prediction_fallback,all_frames,1169,0.17029645061841253,0.10228797911990227,0.3632217477542609,0.5750592605960039,307,0.6920388993086758,9,0
fusion_prediction/matching,accepted,1087,0.16917442169077654,0.09841180429728194,0.36494752352495263,0.5750592605960039,307,0.5581864670391725,9,0
fusion_prediction/matching,common_accepted_with_historical,1078,0.16875005209853858,0.09665898050107856,0.36467211404339256,0.5750592605960039,307,0.5520026221277001,9,0
historical_matching_vs_fusion_prediction,common_accepted_with_historical,1078,0.147734859611715,0.07862280502259568,0.329075269998433,0.5750649258832361,307,0.42452233403309464,9,0
