file,findings,ids
config/improvedObserverConfig.m,0,
localization/computeLidarInformationWeights.m,0,
localization/fusePoseInformationWeights.m,0,
localization/designAnisotropicPoseCertificate.m,0,
localization/verifyAnisotropicPoseCertificate.m,0,
localization/designImprovedObserverGains.m,0,
localization/verifyImprovedObserverDesign.m,0,
localization/improvedObserverReferenceDesign.m,0,
localization/runImprovedVehicleObserver.m,0,
localization/observerCertificateConditions.m,0,
scripts/auditMncavOutageCertificate.m,0,
scripts/runMncavObserverReplay.m,0,
tests/improvedObserverTest.m,0,
