dataset,frameIndex,split,semanticName,candidateTP,candidateFP,candidateFN,pointTP,pointFP,pointFN,backendCandidatesEqual,groundPointsEqual
mississippi,75,validation,curb,47,0,0,51,0,0,1,1
mississippi,75,validation,roadMarking,0,0,0,0,0,0,1,1
mississippi,75,validation,pole,12,0,0,201,0,0,1,1
mississippi,150,development,curb,308,0,0,1083,0,0,1,1
mississippi,150,development,roadMarking,39,0,0,70,0,0,1,1
mississippi,150,development,pole,16,0,0,181,0,0,1,1
mississippi,225,validation,curb,201,0,0,523,0,0,1,1
mississippi,225,validation,roadMarking,30,0,0,54,0,0,1,1
mississippi,225,validation,pole,11,0,0,70,0,0,1,1
mississippi,260,development,curb,246,0,0,797,0,0,1,1
mississippi,260,development,roadMarking,29,0,0,83,0,0,1,1
mississippi,260,development,pole,1,0,0,119,0,0,1,1
mississippi,300,development,curb,201,0,0,772,0,0,1,1
mississippi,300,development,roadMarking,20,0,0,26,0,0,1,1
mississippi,300,development,pole,2,0,0,379,0,0,1,1
mississippi,326,development,curb,264,0,0,835,0,0,1,1
mississippi,326,development,roadMarking,26,0,0,60,0,0,1,1
mississippi,326,development,pole,3,0,0,136,0,0,1,1
mississippi,370,development,curb,289,0,0,816,0,0,1,1
mississippi,370,development,roadMarking,33,0,0,64,0,0,1,1
mississippi,370,development,pole,3,0,0,0,0,0,1,1
mississippi,450,development,curb,304,0,0,850,0,0,1,1
mississippi,450,development,roadMarking,96,0,0,209,0,0,1,1
mississippi,450,development,pole,2,0,0,214,0,0,1,1
mississippi,475,validation,curb,248,0,0,841,0,0,1,1
mississippi,475,validation,roadMarking,25,0,0,41,0,0,1,1
mississippi,475,validation,pole,3,0,0,299,0,0,1,1
mississippi,550,development,curb,260,0,0,807,0,0,1,1
mississippi,550,development,roadMarking,45,0,0,113,0,0,1,1
mississippi,550,development,pole,2,0,0,0,0,0,1,1
mississippi,600,development,curb,139,0,0,367,0,0,1,1
mississippi,600,development,roadMarking,110,0,0,201,0,0,1,1
mississippi,600,development,pole,5,0,0,64,0,0,1,1
mississippi,700,development,curb,208,0,0,745,0,0,1,1
mississippi,700,development,roadMarking,41,0,0,58,0,0,1,1
mississippi,700,development,pole,9,0,0,222,0,0,1,1
mississippi,775,validation,curb,255,0,0,777,0,0,1,1
mississippi,775,validation,roadMarking,0,0,0,0,0,0,1,1
mississippi,775,validation,pole,9,0,0,427,0,0,1,1
mississippi,850,development,curb,260,0,0,510,0,0,1,1
mississippi,850,development,roadMarking,134,0,0,302,0,0,1,1
mississippi,850,development,pole,5,0,0,61,0,0,1,1
mississippi,900,development,curb,215,0,0,840,0,0,1,1
mississippi,900,development,roadMarking,20,0,0,23,0,0,1,1
mississippi,900,development,pole,15,0,0,632,0,0,1,1
mississippi,1000,development,curb,241,0,0,844,0,0,1,1
mississippi,1000,development,roadMarking,29,0,0,50,0,0,1,1
mississippi,1000,development,pole,4,0,0,97,0,0,1,1
mississippi,1100,development,curb,266,0,0,752,0,0,1,1
mississippi,1100,development,roadMarking,22,0,0,45,0,0,1,1
mississippi,1100,development,pole,19,0,0,429,0,0,1,1
mississippi,1125,validation,curb,271,0,0,948,0,0,1,1
mississippi,1125,validation,roadMarking,22,0,0,34,0,0,1,1
mississippi,1125,validation,pole,6,0,0,62,0,0,1,1
mississippi,1150,development,curb,295,0,0,1080,0,0,1,1
mississippi,1150,development,roadMarking,18,0,0,31,0,0,1,1
mississippi,1150,development,pole,12,0,0,95,0,0,1,1
downtown,100,validation,curb,324,0,0,580,0,0,1,1
downtown,100,validation,roadMarking,0,0,0,0,0,0,1,1
downtown,100,validation,pole,23,0,0,396,0,0,1,1
downtown,200,validation,curb,277,0,0,454,0,0,1,1
downtown,200,validation,roadMarking,0,0,0,0,0,0,1,1
downtown,200,validation,pole,23,0,0,620,0,0,1,1
downtown,300,validation,curb,178,0,0,452,0,0,1,1
downtown,300,validation,roadMarking,1,0,0,1,0,0,1,1
downtown,300,validation,pole,13,0,0,204,0,0,1,1
downtown,400,validation,curb,95,0,0,103,0,0,1,1
downtown,400,validation,roadMarking,14,0,0,24,0,0,1,1
downtown,400,validation,pole,14,0,0,273,0,0,1,1
downtown,500,validation,curb,0,0,0,0,0,0,1,1
downtown,500,validation,roadMarking,36,0,0,108,0,0,1,1
downtown,500,validation,pole,15,0,0,308,0,0,1,1
