dataset,frameIndex,sameComponents,sameCounts,maxMeanDifference,maxCovarianceDifference,maxInverseDifference,maxEvidenceDifference,maxWeightDifference,backendCovarianceDifference
mississippi,75,1,1,0,1.38777878078145e-17,4.2632564145606e-14,0,0,0
mississippi,150,1,1,0,2.77555756156289e-17,8.5265128291212e-14,0,0,0
mississippi,225,1,1,0,4.16333634234434e-17,8.5265128291212e-14,0,0,0
mississippi,260,1,1,0,2.77555756156289e-17,7.105427357601e-14,0,0,0
mississippi,300,1,1,0,2.77555756156289e-17,9.9475983006414e-14,0,0,0
mississippi,326,1,1,0,4.16333634234434e-17,1.4210854715202e-13,0,0,0
mississippi,370,1,1,0,2.77555756156289e-17,8.5265128291212e-14,0,0,0
mississippi,450,1,1,0,2.77555756156289e-17,4.2632564145606e-14,0,0,0
mississippi,475,1,1,0,4.16333634234434e-17,1.13686837721616e-13,0,0,0
mississippi,550,1,1,0,2.77555756156289e-17,9.9475983006414e-14,0,0,0
mississippi,600,1,1,0,5.55111512312578e-17,9.9475983006414e-14,0,0,0
mississippi,700,1,1,0,2.77555756156289e-17,8.5265128291212e-14,0,0,0
mississippi,775,1,1,0,2.77555756156289e-17,5.6843418860808e-14,0,0,0
mississippi,850,1,1,0,2.77555756156289e-17,1.13686837721616e-13,0,0,0
mississippi,900,1,1,0,4.16333634234434e-17,1.4210854715202e-13,0,0,0
mississippi,1000,1,1,0,2.77555756156289e-17,1.4210854715202e-13,0,0,0
mississippi,1100,1,1,0,2.77555756156289e-17,5.6843418860808e-14,0,0,0
mississippi,1125,1,1,0,4.16333634234434e-17,2.1316282072803e-13,0,0,0
mississippi,1150,1,1,0,2.77555756156289e-17,8.5265128291212e-14,0,0,0
downtown,100,1,1,0,4.16333634234434e-17,9.9475983006414e-14,0,0,0
downtown,200,1,1,0,4.16333634234434e-17,8.5265128291212e-14,0,0,0
downtown,300,1,1,0,2.77555756156289e-17,1.13686837721616e-13,0,0,0
downtown,400,1,1,0,2.08166817117217e-17,5.6843418860808e-14,0,0,0
downtown,500,1,1,0,2.77555756156289e-17,7.105427357601e-14,0,0,0
