dataset,frameIndex,split,captureBaselineSeconds,repeatedBaselineSeconds,matlabSeconds,nativeSeconds,nativeP90Seconds
mississippi,75,validation,0.119441,0.1419,0.092922,0.067398,0.0686134
mississippi,150,development,0.128219,0.11352,0.076619,0.055534,0.0627474
mississippi,225,validation,0.110794,0.112592,0.076474,0.056501,0.058747
mississippi,260,development,0.107289,0.107738,0.07022,0.051984,0.0588302
mississippi,300,development,0.102746,0.103106,0.067546,0.051197,0.0564766
mississippi,326,development,0.104539,0.104177,0.069862,0.055137,0.0662906
mississippi,370,development,0.10441,0.105364,0.072156,0.053856,0.058272
mississippi,450,development,0.091997,0.088727,0.056444,0.049376,0.0527408
mississippi,475,validation,0.09724,0.095206,0.068826,0.055111,0.058239
mississippi,550,development,0.120296,0.118356,0.085991,0.063618,0.0732528
mississippi,600,development,0.110497,0.108264,0.073376,0.054785,0.0569734
mississippi,700,development,0.123941,0.122201,0.083388,0.063878,0.0731042
mississippi,775,validation,0.12679,0.126944,0.092041,0.067028,0.0701782
mississippi,850,development,0.123048,0.125254,0.089798,0.065654,0.0726374
mississippi,900,development,0.120028,0.117357,0.088478,0.06572,0.0674722
mississippi,1000,development,0.115826,0.113943,0.078176,0.055415,0.0592488
mississippi,1100,development,0.123159,0.121623,0.092672,0.063628,0.0653068
mississippi,1125,validation,0.121237,0.119282,0.089762,0.064274,0.0676182
mississippi,1150,development,0.123855,0.122711,0.089169,0.070972,0.0730872
downtown,100,validation,0.095377,0.094209,0.063181,0.049604,0.0555726
downtown,200,validation,0.08975,0.089702,0.059225,0.045358,0.0468092
downtown,300,validation,0.088144,0.092765,0.0544,0.044696,0.0467636
downtown,400,validation,0.093656,0.096676,0.067675,0.055561,0.0592534
downtown,500,validation,0.080495,0.077909,0.056259,0.045846,0.0495018
