dataset,frameIndex,feature,added,removed
Missisipi,75,curb,0,0
Missisipi,75,roadMarking,0,0
Missisipi,75,pole,0,0
Missisipi,75,trafficSign,0,0
Missisipi,100,curb,0,0
Missisipi,100,roadMarking,0,0
Missisipi,100,pole,0,0
Missisipi,100,trafficSign,0,0
Missisipi,150,curb,0,0
Missisipi,150,roadMarking,0,0
Missisipi,150,pole,0,0
Missisipi,150,trafficSign,0,0
Missisipi,200,curb,0,0
Missisipi,200,roadMarking,0,0
Missisipi,200,pole,0,0
Missisipi,200,trafficSign,0,0
Missisipi,225,curb,0,0
Missisipi,225,roadMarking,0,0
Missisipi,225,pole,0,0
Missisipi,225,trafficSign,0,0
Missisipi,260,curb,0,0
Missisipi,260,roadMarking,0,0
Missisipi,260,pole,0,0
Missisipi,260,trafficSign,0,0
Missisipi,300,curb,0,0
Missisipi,300,roadMarking,0,0
Missisipi,300,pole,0,0
Missisipi,300,trafficSign,0,0
Missisipi,326,curb,0,0
Missisipi,326,roadMarking,0,0
Missisipi,326,pole,0,0
Missisipi,326,trafficSign,0,0
Missisipi,370,curb,0,0
Missisipi,370,roadMarking,0,0
Missisipi,370,pole,0,0
Missisipi,370,trafficSign,0,0
Missisipi,400,curb,0,0
Missisipi,400,roadMarking,0,0
Missisipi,400,pole,0,0
Missisipi,400,trafficSign,0,0
Missisipi,450,curb,0,0
Missisipi,450,roadMarking,0,0
Missisipi,450,pole,0,0
Missisipi,450,trafficSign,0,0
Missisipi,475,curb,0,0
Missisipi,475,roadMarking,0,0
Missisipi,475,pole,0,0
Missisipi,475,trafficSign,0,0
Missisipi,500,curb,0,0
Missisipi,500,roadMarking,0,0
Missisipi,500,pole,0,0
Missisipi,500,trafficSign,0,0
Missisipi,550,curb,0,0
Missisipi,550,roadMarking,0,0
Missisipi,550,pole,0,0
Missisipi,550,trafficSign,0,0
Missisipi,600,curb,0,0
Missisipi,600,roadMarking,0,0
Missisipi,600,pole,0,0
Missisipi,600,trafficSign,0,0
Missisipi,700,curb,0,0
Missisipi,700,roadMarking,0,0
Missisipi,700,pole,0,0
Missisipi,700,trafficSign,0,0
Missisipi,775,curb,0,0
Missisipi,775,roadMarking,0,0
Missisipi,775,pole,0,0
Missisipi,775,trafficSign,0,0
Missisipi,800,curb,0,0
Missisipi,800,roadMarking,0,0
Missisipi,800,pole,0,0
Missisipi,800,trafficSign,0,0
Missisipi,850,curb,0,0
Missisipi,850,roadMarking,0,0
Missisipi,850,pole,0,0
Missisipi,850,trafficSign,0,0
Missisipi,900,curb,0,0
Missisipi,900,roadMarking,0,0
Missisipi,900,pole,0,0
Missisipi,900,trafficSign,0,0
Missisipi,1000,curb,0,0
Missisipi,1000,roadMarking,0,0
Missisipi,1000,pole,0,0
Missisipi,1000,trafficSign,0,0
Missisipi,1050,curb,0,0
Missisipi,1050,roadMarking,0,0
Missisipi,1050,pole,0,0
Missisipi,1050,trafficSign,0,0
Missisipi,1100,curb,0,0
Missisipi,1100,roadMarking,0,0
Missisipi,1100,pole,0,0
Missisipi,1100,trafficSign,0,0
Missisipi,1125,curb,0,0
Missisipi,1125,roadMarking,0,0
Missisipi,1125,pole,0,0
Missisipi,1125,trafficSign,0,0
Missisipi,1150,curb,0,0
Missisipi,1150,roadMarking,0,0
Missisipi,1150,pole,0,0
Missisipi,1150,trafficSign,0,0
downTown,100,curb,0,0
downTown,100,roadMarking,0,0
downTown,100,pole,0,0
downTown,100,facade,0,0
downTown,100,trafficSign,0,0
downTown,200,curb,0,0
downTown,200,roadMarking,0,0
downTown,200,pole,0,0
downTown,200,facade,0,0
downTown,200,trafficSign,0,0
downTown,300,curb,0,0
downTown,300,roadMarking,0,0
downTown,300,pole,0,0
downTown,300,facade,0,0
downTown,300,trafficSign,0,0
downTown,400,curb,0,0
downTown,400,roadMarking,0,0
downTown,400,pole,0,0
downTown,400,facade,0,0
downTown,400,trafficSign,0,0
downTown,500,curb,0,0
downTown,500,roadMarking,0,0
downTown,500,pole,0,0
downTown,500,facade,0,0
downTown,500,trafficSign,0,0
