frame,start,baselineAccepted,weightedAccepted,baselineReason,weightedReason,poseChangeM,yawChangeDeg,baselineReferenceDistanceM,weightedReferenceDistanceM,baselineReferenceYawDeg,weightedReferenceYawDeg,baselineSimilarity,weightedSimilarity,minMatchedRepeatability,meanMatchedRepeatability
120,1,1,1,accepted,accepted,0.0001879843712068,0.004444012064813,0.239459868377493,0.239604736702555,0.146635277378864,0.142191265314051,0.664514577493155,0.65296883776082,0.755605695721376,0.946094240402246
120,2,1,1,accepted,accepted,0.000265774565756845,0.00408956841201366,0.273429262011006,0.273669213793916,0.302886720463031,0.298797152051017,0.667161501356391,0.655342947492943,0.755605695721376,0.947980265596995
120,3,1,1,accepted,accepted,0.000189365978735733,0.00444528263045627,0.239446809598065,0.239592915690367,0.146652336086767,0.142207053456311,0.664517762866199,0.65297177097714,0.755605695721376,0.946094240402246
260,1,1,1,accepted,accepted,0.000174530095339718,0.000172601363725709,0.210781690787584,0.210919296182584,0.345619048344313,0.345446446980587,0.664803521671193,0.663813152690511,0.977265740635301,0.998512669637915
260,2,1,1,accepted,accepted,0.000174510506724394,0.000172854498424141,0.210796655863734,0.210934252277795,0.345699985780731,0.345527131282307,0.664805348651646,0.663814971485797,0.977265740635301,0.998512669637915
260,3,1,1,accepted,accepted,0.000174553728440893,0.000172452253342799,0.210789908761945,0.210927539518618,0.345621726542112,0.345449274288769,0.664803797399447,0.663813435916395,0.977265740635301,0.998512669637915
350,1,1,1,accepted,accepted,0.000427056077786077,0.000114686601267729,0.276825374009838,0.277149822499273,0.0173390802822748,0.017224393681007,0.753940453224181,0.751784576634278,0.957271969561976,0.992947512079947
350,2,1,1,accepted,accepted,0.000427291974582699,0.000115183495356282,0.276823541978382,0.277148368769142,0.0173566349211564,0.0172414514258001,0.753941559315348,0.751785625056972,0.957271969561976,0.992947512079947
350,3,1,1,accepted,accepted,0.0004272823170941,0.000115177007291898,0.276821775887118,0.277146580052092,0.0173574917498781,0.0172423147425862,0.753941806691689,0.751785876311127,0.957271969561976,0.992947512079947
550,1,1,1,accepted,accepted,0.000775172797191484,0.00252362700857219,0.0991958565882764,0.0994853180583256,0.446099322044919,0.448622949053491,0.547149103962283,0.53440737702475,0.866997619343956,0.982064083638357
550,2,1,1,accepted,accepted,0.000775732815963973,0.00252487750373225,0.0991931485191926,0.0994826993751173,0.446110618179081,0.448635495682813,0.547148308865315,0.534406575128247,0.866997619343956,0.982064083638357
550,3,1,1,accepted,accepted,0.000775649122580147,0.00252531089331392,0.0991930287240532,0.0994826123119614,0.446105851368959,0.448631162262273,0.547148261656996,0.534406536961904,0.866997619343956,0.982064083638357
700,1,1,1,accepted,accepted,0.000190222019826961,0.000305044418771653,0.144208480908875,0.144250339727648,0.0794579254189081,0.0797629698376798,0.55097644261186,0.547615316095232,0.975481416350145,0.9932221676275
700,2,1,1,accepted,accepted,0.000190170738993921,0.000304956989025625,0.144207008372831,0.14424884569099,0.0794456007554467,0.0797505577444723,0.550977039034717,0.547615907249604,0.975481416350145,0.9932221676275
700,3,1,1,accepted,accepted,0.000190167442438714,0.000304951798856552,0.144206564758083,0.144248399310695,0.0794421205501747,0.0797470723490312,0.550977201692487,0.547616067533083,0.975481416350145,0.9932221676275
900,1,1,1,accepted,accepted,0.0167539594072361,0.048699762499763,0.372039482852971,0.357967300738035,0.739555862637615,0.690856100137852,0.483418997105699,0.466595155833361,0.552009024616657,0.960437250798357
900,2,1,1,accepted,accepted,0.0167507689479786,0.0486903523354267,0.372025793942765,0.357956518045202,0.73950903024255,0.690818677907124,0.483418030904227,0.466594337334406,0.552009024616657,0.960437250798357
900,3,1,1,accepted,accepted,0.0167567920445615,0.0486934202671003,0.372034793567822,0.357964721186026,0.739540565980605,0.690847145713504,0.483420592496605,0.466594959783453,0.552009024616657,0.960437250798357
1050,1,1,1,accepted,accepted,0.0281078917123379,0.120200389859452,0.315151868655589,0.314636294424637,0.174226152598185,0.054025762738733,0.622393985389621,0.614118824915622,0.823509826959595,0.961109022607514
1050,2,1,1,accepted,accepted,0.0281084953775723,0.120202883844297,0.315153040535861,0.314635855996457,0.174307976139791,0.0541050922954946,0.622393551043693,0.614118436251201,0.823509826959595,0.961109022607514
1050,3,1,1,accepted,accepted,0.0281029490772775,0.120178092500371,0.315151989027784,0.314636121841547,0.174234493685341,0.0540564011849702,0.622393940705852,0.614118676024643,0.823509826959595,0.961109022607514
