method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,120,1,1,1,319.958,250.752,66.296,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,1,2,102.174,78.12,23.699,1,accepted,8,484199.299975088,4977468.70882965,-1.10663732442017
baseline,120,2,1,3,91.374,80.542,10.802,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,1,4,101.276,81.727,19.524,1,accepted,8,484199.342380273,4977468.71796395,-1.10937061277174
baseline,120,3,1,5,94.084,82.865,11.19,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,1,6,88.317,73.804,14.489,1,accepted,7,484199.299964952,4977468.70882245,-1.10663759997524
baseline,260,1,1,7,103.662,90.571,13.063,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,1,8,98.341,74.617,23.702,1,accepted,6,484229.74607375,4977312.00892775,-1.34325284674689
baseline,260,2,1,9,84.638,77.248,7.368,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,1,10,101.142,81.021,20.09,1,accepted,8,484229.746083516,4977312.00893911,-1.34325425495361
baseline,260,3,1,11,89.185,80.251,8.906,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,1,12,90.718,78.773,11.92,1,accepted,7,484229.746076659,4977312.00893592,-1.34325289609273
baseline,350,1,1,13,85.546,76.192,9.329,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,1,14,91.34,64.263,27.045,1,accepted,6,484253.5138075,4977184.32301833,-1.50048669051772
baseline,350,2,1,15,82.441,72.78,9.637,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,1,16,78.664,70.475,8.166,1,accepted,7,484253.513801978,4977184.32301979,-1.50048698823153
baseline,350,3,1,17,75.583,66.97,8.584,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,1,18,78.068,68.931,9.114,1,accepted,6,484253.513802062,4977184.32301768,-1.50048700329925
baseline,550,1,1,19,112.833,101.566,11.239,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,1,20,86.619,78.174,8.424,1,accepted,6,484318.962702742,4976932.6130101,-1.20160731710632
baseline,550,2,1,21,79.588,71.824,7.739,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,1,22,125.342,111.846,13.43,1,accepted,7,484318.962687536,4976932.61300397,-1.20160709812633
baseline,550,3,1,23,126.581,111.982,14.563,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,1,24,129.021,108.229,20.768,1,accepted,5,484318.962687318,4976932.61300383,-1.20160717375879
baseline,700,1,1,25,172.736,137.533,35.171,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,1,26,128.861,112.258,16.579,1,accepted,6,484338.416542136,4976756.31465472,-1.68420390083657
baseline,700,2,1,27,121.273,100.175,21.068,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,1,28,102.252,93.747,8.479,1,accepted,7,484338.41653501,4976756.31465577,-1.68420411746847
baseline,700,3,1,29,74.941,68.783,6.129,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,1,30,74.726,69.33,5.375,1,accepted,5,484338.416533011,4976756.31465603,-1.68420417830009
baseline,900,1,1,31,313.722,196.902,116.791,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,1,32,89.478,80.247,9.206,1,accepted,7,484396.929373517,4976621.57989727,0.0808293473814087
baseline,900,2,1,33,86.821,79.597,7.199,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,1,34,93.746,86.347,7.374,1,accepted,7,484396.929362611,4976621.57990651,0.080828694240269
baseline,900,3,1,35,103.591,94.455,9.106,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,1,36,135.142,111.998,23.108,1,accepted,7,484396.929370908,4976621.57989948,0.0808291910972212
baseline,1050,1,1,37,221.437,213.171,8.239,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,1,38,88.177,78.657,9.494,1,accepted,9,484567.744671438,4976643.22878636,0.130099583961663
baseline,1050,2,1,39,116.487,105.485,10.978,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,1,40,94.046,85.979,8.046,1,accepted,8,484567.744675421,4976643.22880354,0.130098199399703
baseline,1050,3,1,41,104.805,97.025,7.76,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,1,42,95.472,86.958,8.491,1,accepted,7,484567.744672978,4976643.22879299,0.130099049219898
baseline,120,1,2,43,16199.044,164.649,15999.236,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,2,44,5996.907,1684.191,4300.132,1,accepted,8,484199.299975088,4977468.70882965,-1.10663732442017
baseline,120,2,2,45,7447.003,7177.938,265.662,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,2,46,15256.827,439.465,14814.256,1,accepted,8,484199.342380273,4977468.71796395,-1.10937061277174
baseline,120,3,2,47,7114.129,5536.603,1572.979,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,2,48,40508.308,40294.051,213.84,1,accepted,7,484199.299964952,4977468.70882245,-1.10663759997524
baseline,260,1,2,49,8648.729,8594.586,51.418,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,2,50,95.891,88.867,6.999,1,accepted,6,484229.74607375,4977312.00892775,-1.34325284674689
baseline,260,2,2,51,70.611,63.034,7.553,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,2,52,68.606,62.343,6.245,1,accepted,8,484229.746083516,4977312.00893911,-1.34325425495361
baseline,260,3,2,53,65.948,58.637,7.29,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,2,54,61.882,54.853,7.007,1,accepted,7,484229.746076659,4977312.00893592,-1.34325289609273
baseline,350,1,2,55,67.299,59.622,7.653,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,2,56,63.622,56.386,7.214,1,accepted,6,484253.5138075,4977184.32301833,-1.50048669051772
baseline,350,2,2,57,64.199,56.348,7.828,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,2,58,66.638,58.636,7.982,1,accepted,7,484253.513801978,4977184.32301979,-1.50048698823153
baseline,350,3,2,59,69.25,61.954,7.276,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,2,60,64.947,57.872,7.052,1,accepted,6,484253.513802062,4977184.32301768,-1.50048700329925
baseline,550,1,2,61,79.765,73.187,6.557,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,2,62,79.28,70.562,8.696,1,accepted,6,484318.962702742,4976932.6130101,-1.20160731710632
baseline,550,2,2,63,71.692,64.294,7.378,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,2,64,78.042,71.614,6.407,1,accepted,7,484318.962687536,4976932.61300397,-1.20160709812633
baseline,550,3,2,65,75.432,68.799,6.603,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,2,66,77.019,71.246,5.744,1,accepted,5,484318.962687318,4976932.61300383,-1.20160717375879
baseline,700,1,2,67,74.957,68.038,6.897,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,2,68,71.699,65.486,6.188,1,accepted,6,484338.416542136,4976756.31465472,-1.68420390083657
baseline,700,2,2,69,70.954,65.278,5.656,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,2,70,74.892,68.14,6.73,1,accepted,7,484338.41653501,4976756.31465577,-1.68420411746847
baseline,700,3,2,71,72.23,66.009,6.199,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,2,72,67.053,61.373,5.659,1,accepted,5,484338.416533011,4976756.31465603,-1.68420417830009
baseline,900,1,2,73,78.317,71.113,7.182,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,2,74,73.313,67.104,6.19,1,accepted,7,484396.929373517,4976621.57989727,0.0808293473814087
baseline,900,2,2,75,71.762,64.658,7.085,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,2,76,74.852,67.624,7.208,1,accepted,7,484396.929362611,4976621.57990651,0.080828694240269
baseline,900,3,2,77,71.744,64.89,6.833,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,2,78,76.06,69.371,6.671,1,accepted,7,484396.929370908,4976621.57989948,0.0808291910972212
baseline,1050,1,2,79,66.721,59.711,6.99,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,2,80,67.382,60.331,7.031,1,accepted,9,484567.744671438,4976643.22878636,0.130099583961663
baseline,1050,2,2,81,69.464,63.038,6.407,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,2,82,76.006,67.176,8.805,1,accepted,8,484567.744675421,4976643.22880354,0.130098199399703
baseline,1050,3,2,83,68.688,61.417,7.249,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,2,84,71.212,64.025,7.169,1,accepted,7,484567.744672978,4976643.22879299,0.130099049219898
