frame,start,fullAccepted,directionalAccepted,reason,rank,eventEmitted
120,1,1,0,accepted,3,1
120,2,1,0,accepted,3,1
120,3,1,0,accepted,3,1
260,1,1,0,accepted,3,1
260,2,1,0,accepted,3,1
260,3,1,0,accepted,3,1
350,1,1,0,accepted,3,1
350,2,1,0,accepted,3,1
350,3,1,0,accepted,3,1
550,1,1,0,accepted,3,1
550,2,1,0,accepted,3,1
550,3,1,0,accepted,3,1
700,1,1,0,accepted,3,1
700,2,1,0,accepted,3,1
700,3,1,0,accepted,3,1
900,1,1,0,accepted,3,1
900,2,1,0,accepted,3,1
900,3,1,0,accepted,3,1
1050,1,1,0,accepted,3,1
1050,2,1,0,accepted,3,1
1050,3,1,0,accepted,3,1
