dataset,frame,feature,baseline,added,removed
Missisipi,50,groundPoint,25942,0,0
Missisipi,50,curb,381,0,0
Missisipi,50,roadMarking,4,0,0
Missisipi,50,pole,118,0,0
Missisipi,50,facade,0,0,0
Missisipi,50,trafficSign,344,0,0
Missisipi,175,groundPoint,18616,0,0
Missisipi,175,curb,818,0,0
Missisipi,175,roadMarking,136,0,0
Missisipi,175,pole,21,0,0
Missisipi,175,facade,0,0,0
Missisipi,175,trafficSign,103,0,0
Missisipi,250,groundPoint,19358,0,0
Missisipi,250,curb,865,0,0
Missisipi,250,roadMarking,188,0,0
Missisipi,250,pole,369,0,0
Missisipi,250,facade,0,0,0
Missisipi,250,trafficSign,20,0,0
Missisipi,350,groundPoint,19237,0,0
Missisipi,350,curb,860,0,0
Missisipi,350,roadMarking,58,0,0
Missisipi,350,pole,108,0,0
Missisipi,350,facade,0,0,0
Missisipi,350,trafficSign,19,0,0
Missisipi,425,groundPoint,17188,0,0
Missisipi,425,curb,861,0,0
Missisipi,425,roadMarking,85,0,0
Missisipi,425,pole,21,0,0
Missisipi,425,facade,0,0,0
Missisipi,425,trafficSign,240,0,0
Missisipi,525,groundPoint,22832,0,0
Missisipi,525,curb,676,0,0
Missisipi,525,roadMarking,220,0,0
Missisipi,525,pole,239,0,0
Missisipi,525,facade,0,0,0
Missisipi,525,trafficSign,128,0,0
Missisipi,650,groundPoint,17402,0,0
Missisipi,650,curb,929,0,0
Missisipi,650,roadMarking,69,0,0
Missisipi,650,pole,133,0,0
Missisipi,650,facade,0,0,0
Missisipi,650,trafficSign,33,0,0
Missisipi,725,groundPoint,21033,0,0
Missisipi,725,curb,602,0,0
Missisipi,725,roadMarking,162,0,0
Missisipi,725,pole,82,0,0
Missisipi,725,facade,0,0,0
Missisipi,725,trafficSign,34,0,0
Missisipi,825,groundPoint,22144,0,0
Missisipi,825,curb,711,0,0
Missisipi,825,roadMarking,0,0,0
Missisipi,825,pole,95,0,0
Missisipi,825,facade,0,0,0
Missisipi,825,trafficSign,41,0,0
Missisipi,950,groundPoint,15878,0,0
Missisipi,950,curb,630,0,0
Missisipi,950,roadMarking,30,0,0
Missisipi,950,pole,101,0,0
Missisipi,950,facade,0,0,0
Missisipi,950,trafficSign,8,0,0
downTown,75,groundPoint,13029,0,0
downTown,75,curb,537,0,0
downTown,75,roadMarking,1,0,0
downTown,75,pole,678,0,0
downTown,75,facade,3096,0,0
downTown,75,trafficSign,97,0,0
downTown,150,groundPoint,14723,0,0
downTown,150,curb,525,0,0
downTown,150,roadMarking,0,0,0
downTown,150,pole,732,0,0
downTown,150,facade,1253,0,0
downTown,150,trafficSign,96,0,0
downTown,250,groundPoint,15010,0,0
downTown,250,curb,373,0,0
downTown,250,roadMarking,7,0,0
downTown,250,pole,230,0,0
downTown,250,facade,1624,0,0
downTown,250,trafficSign,295,0,0
downTown,350,groundPoint,16855,0,0
downTown,350,curb,546,0,0
downTown,350,roadMarking,0,0,0
downTown,350,pole,277,0,0
downTown,350,facade,3155,0,0
downTown,350,trafficSign,32,0,0
downTown,450,groundPoint,16518,0,0
downTown,450,curb,120,0,0
downTown,450,roadMarking,3,0,0
downTown,450,pole,165,0,0
downTown,450,facade,1694,0,0
downTown,450,trafficSign,64,0,0
