dataset,frame,variant,baseline,added,removed,picked
Missisipi,75,recovery,201,0,0,0
Missisipi,75,core3,201,16,0,0
Missisipi,100,recovery,432,12,0,0
Missisipi,100,core3,432,87,64,0
Missisipi,150,recovery,181,0,0,0
Missisipi,150,core3,181,0,0,0
Missisipi,200,recovery,120,0,0,0
Missisipi,200,core3,120,0,0,0
Missisipi,225,recovery,70,0,0,0
Missisipi,225,core3,70,49,0,0
Missisipi,260,recovery,119,17,0,1
Missisipi,260,core3,119,17,0,1
Missisipi,300,recovery,379,0,0,0
Missisipi,300,core3,379,0,0,0
Missisipi,326,recovery,136,0,0,0
Missisipi,326,core3,136,0,0,0
Missisipi,370,recovery,0,0,0,0
Missisipi,370,core3,0,0,0,0
Missisipi,400,recovery,124,0,0,0
Missisipi,400,core3,124,0,0,0
Missisipi,450,recovery,214,0,0,0
Missisipi,450,core3,214,18,0,0
Missisipi,475,recovery,299,0,0,0
Missisipi,475,core3,299,0,0,0
Missisipi,500,recovery,379,0,0,0
Missisipi,500,core3,379,0,0,0
Missisipi,550,recovery,0,0,0,0
Missisipi,550,core3,0,0,0,0
Missisipi,600,recovery,64,0,0,0
Missisipi,600,core3,64,0,0,0
Missisipi,700,recovery,222,0,0,0
Missisipi,700,core3,222,0,0,0
Missisipi,775,recovery,427,0,0,0
Missisipi,775,core3,427,0,0,0
Missisipi,800,recovery,33,119,0,0
Missisipi,800,core3,33,41,0,0
Missisipi,850,recovery,61,0,0,0
Missisipi,850,core3,61,0,0,0
Missisipi,900,recovery,632,0,0,0
Missisipi,900,core3,632,84,0,0
Missisipi,1000,recovery,97,0,0,0
Missisipi,1000,core3,97,37,0,0
Missisipi,1050,recovery,92,0,0,0
Missisipi,1050,core3,92,18,0,0
Missisipi,1100,recovery,429,0,0,0
Missisipi,1100,core3,429,51,0,0
Missisipi,1125,recovery,62,0,0,0
Missisipi,1125,core3,62,60,0,0
Missisipi,1150,recovery,95,0,0,0
Missisipi,1150,core3,95,17,0,0
downTown,100,recovery,270,13,0,0
downTown,100,core3,270,87,0,0
downTown,200,recovery,557,0,0,0
downTown,200,core3,557,148,0,0
downTown,300,recovery,204,0,0,0
downTown,300,core3,204,0,0,0
downTown,400,recovery,273,0,0,0
downTown,400,core3,273,58,0,0
downTown,500,recovery,308,0,0,0
downTown,500,core3,308,31,0,0
