courseRateRadPerS,weight,intervalSeconds,delaySeconds,heldInnovationRadius,transportRadius
0,0.8,0.05,0.15,1.15440546233875,0.987648573204172
0,0.8,0.08,0.15,1.14625331099946,0.980323726279053
0,0.8,0.1,0.15,1.1056282900379,0.975475778359614
0,0.8,0.11,0.15,1.11942240842802,0.973062291637421
0,1,0.05,0.15,1.19323200818311,0.987645895410806
0,1,0.08,0.15,1.19148283218838,0.980316946053913
0,1,0.1,0.15,1.14223169913347,0.975465261109329
0,1,0.11,0.15,1.16210070250596,0.973049611832658
-0.6,0.8,0.05,0.15,1.15401877885298,0.990047320296046
-0.6,0.8,0.08,0.15,1.1452948601913,0.983853382591419
-0.6,0.8,0.1,0.15,1.10388384807942,0.979623838645931
-0.6,0.8,0.11,0.15,1.11756203482722,0.977477490563558
-0.6,1,0.05,0.15,1.19291871090294,0.990101347310358
-0.6,1,0.08,0.15,1.19066749258491,0.983998841247989
-0.6,1,0.1,0.15,1.14063440619984,0.979859043883657
-0.6,1,0.11,0.15,1.16041684709554,0.977767068530465
0.6,0.8,0.05,0.15,1.15401878898068,0.99004731751607
0.6,0.8,0.08,0.15,1.14529488185053,0.983853378152424
0.6,0.8,0.1,0.15,1.10388388386527,0.979623833105016
0.6,0.8,0.11,0.15,1.11756207406555,0.977477484472921
0.6,1,0.05,0.15,1.1929187193744,0.990101344526825
0.6,1,0.08,0.15,1.19066751201553,0.983998836801118
0.6,1,0.1,0.15,1.14063444293599,0.979859038331949
0.6,1,0.11,0.15,1.16041688610517,0.977767062427782
