frame,calibration,variant,registrationMs,sourceComponents
260,identity,densityXY,16.1678565,79
260,identity,geometricXY,13.3438565,79
260,identity,geometricHeight,18.5078565,79
550,identity,densityXY,23.4568565,89
550,identity,geometricXY,16.5638565,89
550,identity,geometricHeight,20.4748565,89
900,identity,densityXY,19.8688565,92
900,identity,geometricXY,19.5328565,92
900,identity,geometricHeight,24.9828565,92
120,identity,densityXY,15.0888565,95
120,identity,geometricXY,14.5658565,95
120,identity,geometricHeight,18.3518565,95
350,identity,densityXY,16.7878565,89
350,identity,geometricXY,12.3908565,89
350,identity,geometricHeight,15.0768565,89
700,identity,densityXY,19.9408565,85
700,identity,geometricXY,11.5818565,85
700,identity,geometricHeight,15.9128565,85
1050,identity,densityXY,15.5688565,88
1050,identity,geometricXY,13.7228565,88
1050,identity,geometricHeight,20.3618565,88
260,Mississippi260CurbPitchCandidate,densityXY,17.8138565,79
260,Mississippi260CurbPitchCandidate,geometricXY,12.9768565,79
260,Mississippi260CurbPitchCandidate,geometricHeight,16.0738565,79
550,Mississippi260CurbPitchCandidate,densityXY,22.5758565,88
550,Mississippi260CurbPitchCandidate,geometricXY,16.2748565,88
550,Mississippi260CurbPitchCandidate,geometricHeight,20.9708565,88
900,Mississippi260CurbPitchCandidate,densityXY,22.7458565,94
900,Mississippi260CurbPitchCandidate,geometricXY,14.4788565,94
900,Mississippi260CurbPitchCandidate,geometricHeight,18.1258565,94
120,Mississippi260CurbPitchCandidate,densityXY,14.8138565,97
120,Mississippi260CurbPitchCandidate,geometricXY,15.1768565,97
120,Mississippi260CurbPitchCandidate,geometricHeight,18.3598565,97
350,Mississippi260CurbPitchCandidate,densityXY,17.3908565,88
350,Mississippi260CurbPitchCandidate,geometricXY,12.7838565,88
350,Mississippi260CurbPitchCandidate,geometricHeight,16.0928565,88
700,Mississippi260CurbPitchCandidate,densityXY,19.6108565,87
700,Mississippi260CurbPitchCandidate,geometricXY,9.3918565,87
700,Mississippi260CurbPitchCandidate,geometricHeight,11.5958565,87
1050,Mississippi260CurbPitchCandidate,densityXY,21.1948565,84
1050,Mississippi260CurbPitchCandidate,geometricXY,14.6748565,84
1050,Mississippi260CurbPitchCandidate,geometricHeight,20.2228565,84
