frame,mode,axis,analytic,finiteDifference
260,xy,1,-1.28189801432608,-1.28189801210654
260,xy,2,-0.261406868735021,-0.261406868692915
260,xy,3,-13.0496911535999,-13.0496893496146
260,xyz,1,-0.82563992618817,-0.825639924705024
260,xyz,2,-0.189758047161472,-0.189758047133837
260,xyz,3,-8.00233059451228,-8.00232956026936
550,xy,1,-0.635906411959812,-0.6359064112893
550,xy,2,-0.23976148802656,-0.239761487996759
550,xy,3,-7.56455758594945,-7.56455672328848
550,xyz,1,-0.368720899058995,-0.368720898651087
550,xyz,2,-0.16239565537638,-0.16239565535231
550,xyz,3,-4.1830464794042,-4.18304605004083
900,xy,1,-0.0225421265493,-0.0225421265487302
900,xy,2,0.623062515108779,0.623062514483463
900,xy,3,6.47508913735719,6.47508818788223
900,xyz,1,-0.0157571450161801,-0.0157571450165594
900,xyz,2,0.407370485933882,0.407370485536185
900,xyz,3,4.05132157951437,4.05132101280736
