frame,source,class,heightOffsetM,score,condition
260,coarse,all,-1,0.0678523786652114,fixedRecordedXYTheta
260,coarse,all,-0.95,0.0694725220422766,fixedRecordedXYTheta
260,coarse,all,-0.9,0.0710567667490009,fixedRecordedXYTheta
260,coarse,all,-0.85,0.072604866122924,fixedRecordedXYTheta
260,coarse,all,-0.8,0.0741211227954572,fixedRecordedXYTheta
260,coarse,all,-0.75,0.0756184683422947,fixedRecordedXYTheta
260,coarse,all,-0.7,0.0771253135718451,fixedRecordedXYTheta
260,coarse,all,-0.65,0.0786962416560841,fixedRecordedXYTheta
260,coarse,all,-0.6,0.0804273470714635,fixedRecordedXYTheta
260,coarse,all,-0.55,0.082476077994529,fixedRecordedXYTheta
260,coarse,all,-0.5,0.0850835543653833,fixedRecordedXYTheta
260,coarse,all,-0.45,0.0885944862248447,fixedRecordedXYTheta
260,coarse,all,-0.4,0.0934664792029262,fixedRecordedXYTheta
260,coarse,all,-0.35,0.10025782674597,fixedRecordedXYTheta
260,coarse,all,-0.3,0.109582571151853,fixedRecordedXYTheta
260,coarse,all,-0.25,0.122025458406593,fixedRecordedXYTheta
260,coarse,all,-0.2,0.138018371542338,fixedRecordedXYTheta
260,coarse,all,-0.15,0.157693022939387,fixedRecordedXYTheta
260,coarse,all,-0.1,0.180738848290481,fixedRecordedXYTheta
260,coarse,all,-0.0499999999999999,0.206304976174464,fixedRecordedXYTheta
260,coarse,all,0,0.232985396222752,fixedRecordedXYTheta
260,coarse,all,0.05,0.258913756529969,fixedRecordedXYTheta
260,coarse,all,0.1,0.281969678123229,fixedRecordedXYTheta
260,coarse,all,0.15,0.300068169977696,fixedRecordedXYTheta
260,coarse,all,0.2,0.311477186806996,fixedRecordedXYTheta
260,coarse,all,0.25,0.315095128367612,fixedRecordedXYTheta
260,coarse,all,0.3,0.310625778410843,fixedRecordedXYTheta
260,coarse,all,0.35,0.298612008203638,fixedRecordedXYTheta
260,coarse,all,0.4,0.280324290085491,fixedRecordedXYTheta
260,coarse,all,0.45,0.257534746609392,fixedRecordedXYTheta
260,coarse,all,0.5,0.232231641775937,fixedRecordedXYTheta
260,coarse,all,0.55,0.206336690646045,fixedRecordedXYTheta
260,coarse,all,0.6,0.181478157347246,fixedRecordedXYTheta
260,coarse,all,0.65,0.158851601469942,fixedRecordedXYTheta
260,coarse,all,0.7,0.139175231849646,fixedRecordedXYTheta
260,coarse,all,0.75,0.122725642372241,fixedRecordedXYTheta
260,coarse,all,0.8,0.109426972776353,fixedRecordedXYTheta
260,coarse,all,0.85,0.098963368835563,fixedRecordedXYTheta
260,coarse,all,0.9,0.090889105352498,fixedRecordedXYTheta
260,coarse,all,0.95,0.0847194180057166,fixedRecordedXYTheta
260,coarse,all,1,0.0799944751015183,fixedRecordedXYTheta
