frame,geometry,mode,class,longitudinalOffsetM,yawOffsetDeg,score
260,original,xy,all,-10,0,0.0289779551436805
260,original,xy,all,-9.9,0,0.0297481846252782
260,original,xy,all,-9.8,0,0.0305337613371481
260,original,xy,all,-9.7,0,0.0313349364423859
260,original,xy,all,-9.6,0,0.032151983393331
260,original,xy,all,-9.5,0,0.0329851990190911
260,original,xy,all,-9.4,0,0.0338349044914678
260,original,xy,all,-9.3,0,0.0347014462185802
260,original,xy,all,-9.2,0,0.035585196597182
260,original,xy,all,-9.1,0,0.0364865546864326
260,original,xy,all,-9,0,0.0374059467354698
260,original,xy,all,-8.9,0,0.0383438266165428
260,original,xy,all,-8.8,0,0.0393006761434346
260,original,xy,all,-8.7,0,0.0402770052505467
260,original,xy,all,-8.6,0,0.0412733520927429
260,original,xy,all,-8.5,0,0.0422902829973391
260,original,xy,all,-8.4,0,0.0433283923312432
260,original,xy,all,-8.3,0,0.0443883022613596
260,original,xy,all,-8.2,0,0.0454706623870368
260,original,xy,all,-8.1,0,0.0465761493136121
260,original,xy,all,-8,0,0.0477054660873801
260,original,xy,all,-7.9,0,0.0488593415854098
260,original,xy,all,-7.8,0,0.0500385297760969
260,original,xy,all,-7.7,0,0.0512438089266217
260,original,xy,all,-7.6,0,0.0524759807321086
260,original,xy,all,-7.5,0,0.0537358693378637
260,original,xy,all,-7.4,0,0.0550243203378062
260,original,xy,all,-7.3,0,0.0563421996547414
260,original,xy,all,-7.2,0,0.0576903923797637
260,original,xy,all,-7.1,0,0.05906980155283
260,original,xy,all,-7,0,0.0604813468385801
260,original,xy,all,-6.9,0,0.0619259631793002
260,original,xy,all,-6.8,0,0.063404599342689
260,original,xy,all,-6.7,0,0.0649182164410782
260,original,xy,all,-6.6,0,0.066467786327885
260,original,xy,all,-6.5,0,0.0680542899737758
260,original,xy,all,-6.4,0,0.0696787157515135
260,original,xy,all,-6.3,0,0.0713420576057438
260,original,xy,all,-6.2,0,0.0730453132207466
260,original,xy,all,-6.1,0,0.0747894820320592
260,original,xy,all,-6,0,0.0765755631816779
260,original,xy,all,-5.9,0,0.0784045534247612
260,original,xy,all,-5.8,0,0.0802774448824719
260,original,xy,all,-5.7,0,0.0821952227513363
260,original,xy,all,-5.6,0,0.0841588629188399
260,original,xy,all,-5.5,0,0.08616932950371
260,original,xy,all,-5.4,0,0.088227572254078
260,original,xy,all,-5.3,0,0.0903345239581105
260,original,xy,all,-5.2,0,0.0924910977239256
260,original,xy,all,-5.1,0,0.0946981841473038
260,original,xy,all,-5,0,0.0969566485394235
260,original,xy,all,-4.9,0,0.0992673279795345
