frameIndex,mapStartFrame,mapEndFrame,mode,heightOffsetMeters,tiltOffsetDegrees,initialPoseCase,accepted,reason,similarity,mapPoseTranslationDifferenceMeters,mapPoseYawDifferenceDegrees,registrationSeconds,heightUsed
260,261,266,xy,0,0,1,1,accepted,0.446381928258773,0.182359687988688,0.671481349993161,0.031995,0
260,261,266,xy,0,0,2,1,accepted,0.446381928268844,0.182354466784321,0.671450083216725,0.01876,0
260,261,266,xyz,0,0,1,1,accepted,0.266487542619264,0.356311546614109,1.31822188687622,0.039035,1
260,261,266,xyz,0,0,2,1,accepted,0.266487542619264,0.356311546562194,1.31822188680265,0.023861,1
260,261,266,xy,0.1,0,1,1,accepted,0.446381928258773,0.182359687988688,0.671481349993161,0.022334,0
260,261,266,xy,0.1,0,2,1,accepted,0.446381928268844,0.182354466784321,0.671450083216725,0.021569,0
260,261,266,xyz,0.1,0,1,1,accepted,0.316975493227343,0.323603122825527,1.09774595738047,0.025467,1
260,261,266,xyz,0.1,0,2,1,accepted,0.316975493227336,0.323603291080325,1.09774562105727,0.024364,1
260,261,266,xy,-0.1,0,1,1,accepted,0.446381928258773,0.182359687988688,0.671481349993161,0.018535,0
260,261,266,xy,-0.1,0,2,1,accepted,0.446381928268844,0.182354466784321,0.671450083216725,0.017143,0
260,261,266,xyz,-0.1,0,1,1,accepted,0.212029850619399,0.361044156731147,1.59718132236226,0.026344,1
260,261,266,xyz,-0.1,0,2,1,accepted,0.212029850619398,0.361044156659443,1.59718131885014,0.030037,1
260,261,266,xy,0.3,0,1,1,accepted,0.446381928258773,0.182359687988688,0.671481349993161,0.014108,0
260,261,266,xy,0.3,0,2,1,accepted,0.446381928268844,0.182354466784321,0.671450083216725,0.014081,0
260,261,266,xyz,0.3,0,1,1,accepted,0.346240221630119,0.188566404003774,0.706869823025105,0.020675,1
260,261,266,xyz,0.3,0,2,1,accepted,0.346240221631391,0.188569635041497,0.706888074749808,0.021087,1
260,261,266,xy,0.3,0.5,1,1,accepted,0.452318071807162,0.190453709584554,0.719205683082811,0.015945,0
260,261,266,xy,0.3,0.5,2,1,accepted,0.452318071807165,0.190453652050856,0.719205572889606,0.013374,0
260,261,266,xyz,0.3,0.5,1,1,accepted,0.341613413656287,0.271596910253445,1.03173521527912,0.021115,1
260,261,266,xyz,0.3,0.5,2,1,accepted,0.341613413656813,0.271598776947238,1.03174064642621,0.021616,1
550,551,556,xy,0,0,1,0,searchBoundary,0.413664510052211,3.61710173559898,0.475028332245441,0.040081,0
550,551,556,xy,0,0,2,0,searchBoundary,0.405907114653634,2.78286126091615,0.489633183015904,0.028492,0
550,551,556,xyz,0,0,1,0,searchBoundary,0.330350204165903,3.62173445686742,0.602024300812869,0.042441,1
550,551,556,xyz,0,0,2,0,searchBoundary,0.301343810242359,2.78523333318818,0.575276640613889,0.037396,1
550,551,556,xy,0.1,0,1,0,searchBoundary,0.413664510052211,3.61710173559898,0.475028332245441,0.02918,0
550,551,556,xy,0.1,0,2,0,searchBoundary,0.405907114653634,2.78286126091615,0.489633183015904,0.023835,0
550,551,556,xyz,0.1,0,1,0,searchBoundary,0.355824029380017,3.6191608680617,0.530690789417639,0.03262,1
550,551,556,xyz,0.1,0,2,0,searchBoundary,0.343480463812564,2.78175319551551,0.540647425251846,0.033379,1
550,551,556,xy,-0.1,0,1,0,searchBoundary,0.413664510052211,3.61710173559898,0.475028332245441,0.023686,0
550,551,556,xy,-0.1,0,2,0,searchBoundary,0.405907114653634,2.78286126091615,0.489633183015904,0.021327,0
550,551,556,xyz,-0.1,0,1,0,searchBoundary,0.263695004479679,3.62190250494446,0.642973329977865,0.035414,1
550,551,556,xyz,-0.1,0,2,0,searchBoundary,0.228021175155339,2.78019495182862,0.556803074202883,0.033692,1
550,551,556,xy,0.3,0,1,0,searchBoundary,0.413664510052211,3.61710173559898,0.475028332245441,0.028511,0
550,551,556,xy,0.3,0,2,0,searchBoundary,0.405907114653634,2.78286126091615,0.489633183015904,0.028101,0
550,551,556,xyz,0.3,0,1,1,accepted,0.295975631811729,1.76242201369491,0.545686110759605,0.022439,1
550,551,556,xyz,0.3,0,2,1,accepted,0.295975631812826,1.76241416869609,0.54567993744776,0.023718,1
550,551,556,xy,0.3,0.5,1,0,searchBoundary,0.41349785285886,3.61610668247999,0.447846359988567,0.02572,0
550,551,556,xy,0.3,0.5,2,0,searchBoundary,0.405784977142885,2.78148170349663,0.457334305379103,0.022372,0
550,551,556,xyz,0.3,0.5,1,1,accepted,0.324445354937092,2.62914345593524,0.571968698825404,0.021688,1
550,551,556,xyz,0.3,0.5,2,1,accepted,0.324445354937805,2.6291436559961,0.571971180197376,0.024749,1
900,901,906,xy,0,0,1,0,searchBoundary,0.355300378463139,3.52140726545842,0.223682800441539,0.0209,0
900,901,906,xy,0,0,2,0,searchBoundary,0.339041583271295,2.51673426925535,0.126891808065666,0.017439,0
900,901,906,xyz,0,0,1,0,searchBoundary,0.20725136818773,3.51275339523693,0.711558418538001,0.028162,1
900,901,906,xyz,0,0,2,0,searchBoundary,0.201647484144907,2.50956526137559,0.493453481454228,0.026013,1
900,901,906,xy,0.1,0,1,0,searchBoundary,0.355300378463139,3.52140726545842,0.223682800441539,0.02095,0
