frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
1050,1,1,1,85.671,69.781,15.871,0.0190000000000001,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
550,3,1,2,88.264,74.19,14.054,0.0199999999999836,1,accepted,3,5,97,72,484318.963452627,4976932.61287761,-1.20165124874851,0.0991930287240532,0.446105851368959
900,2,1,3,85.419,70.31,15.089,0.0199999999999942,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
900,3,1,4,83.897,70.098,13.781,0.018000000000006,1,accepted,3,6,94,64,484396.943446546,4976621.57080737,0.0816790516049394,0.372034793567822,0.739540565980606
550,1,1,5,84.342,69.267,15.056,0.0190000000000037,1,accepted,3,6,97,72,484318.963467551,4976932.61288377,-1.20165136270671,0.0991958565882764,0.446099322044919
900,1,1,6,89.75,74.61,15.12,0.0200000000000014,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
260,1,1,7,74.754,63.052,11.682,0.0200000000000049,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
700,1,1,8,80.034,67.79,12.225,0.0189999999999859,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
350,3,1,9,72.233,56.857,15.357,0.0190000000000037,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
260,3,1,10,69.916,56.713,13.184,0.0190000000000108,1,accepted,3,7,82,57,484229.745907595,4977312.00889249,-1.34325590595235,0.210789908761945,-0.345621726542112
700,3,1,11,75.681,64.967,10.697,0.0169999999999995,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
550,2,1,12,85.144,69.448,15.677,0.0189999999999984,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
350,1,1,13,71.163,57.499,13.645,0.019000000000009,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
260,2,1,14,73.467,59.555,13.895,0.0169999999999995,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
700,2,1,15,79.147,65.56,13.57,0.017000000000003,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
1050,2,1,16,82.611,65.773,16.818,0.0200000000000102,1,accepted,3,8,88,60,484567.751062949,4976643.25617664,0.128000263306228,0.315153040535861,-0.174307976139793
120,3,1,17,80.223,61.662,18.543,0.0180000000000007,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
350,2,1,18,81.688,66.046,15.624,0.0180000000000096,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
120,1,1,19,83.484,63.542,19.924,0.0180000000000078,1,accepted,3,8,104,81,484199.299792639,4977468.70878437,-1.1067148870627,0.239459868377493,-0.146635277378864
1050,3,1,20,75.608,61.401,14.189,0.0179999999999936,1,accepted,3,7,88,60,484567.751059248,4976643.25616069,0.128001545817001,0.315151989027784,-0.174234493685339
120,2,1,21,83.751,63.504,20.228,0.0190000000000019,1,accepted,3,8,104,81,484199.342133934,4977468.71786419,-1.10944198920551,0.273429262011006,-0.302886720463031
350,1,2,22,76.863,63.04,13.786,0.0370000000000008,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
700,2,2,23,76.497,63.249,13.217,0.0309999999999988,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
700,1,2,24,76.272,64.297,11.957,0.0179999999999936,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
900,2,2,25,95.697,80.672,15.007,0.018000000000006,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
350,3,2,26,69.39,55.42,13.952,0.01799999999999,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
1050,1,2,27,80.027,64.279,15.73,0.0180000000000042,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
350,2,2,28,77.152,61.648,15.485,0.0189999999999966,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
120,3,2,29,78.797,61.758,17.022,0.0170000000000101,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
700,3,2,30,79.235,68.344,10.872,0.0189999999999912,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
260,2,2,31,92.447,76.324,16.103,0.0200000000000067,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
550,2,2,32,86.532,70.569,15.941,0.0219999999999931,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
