order,frame,start,availableMs,waitingMs,computeMs,availabilityToPoseMs,accepted,reason,periodSeconds
1,1050,1,0,0.062,85.044,85.106,1,accepted,0.1
2,550,3,100,0.0129999999999991,81.066,81.079,1,accepted,0.1
3,900,2,200,0.0139999999999862,88.667,88.681,1,accepted,0.1
4,900,3,300,0.0139999999999585,86.724,86.738,1,accepted,0.1
5,550,1,400,0.0149999999999872,81.184,81.199,1,accepted,0.1
6,900,1,500,0.0139999999999585,90.5290000000001,90.543,1,accepted,0.1
7,260,1,600,0.0139999999999585,74.6899999999999,74.7039999999999,1,accepted,0.1
8,700,1,700,0.0149999999999872,79.7939999999999,79.8089999999999,1,accepted,0.1
9,350,3,800,0.015999999999905,76.713,76.7289999999999,1,accepted,0.1
10,260,3,900,0.0139999999999585,88.771,88.785,1,accepted,0.1
11,700,3,1000,0.011999999999901,76.6690000000001,76.681,1,accepted,0.1
12,550,2,1100,0.0139999999999585,86.2749999999999,86.2889999999998,1,accepted,0.1
13,350,1,1200,0.0149999999998762,70.9549999999999,70.9699999999998,1,accepted,0.1
14,260,2,1300,0.016000000000016,72.8450000000001,72.8610000000001,1,accepted,0.1
15,700,2,1400,0.0189999999997692,83.5650000000001,83.5839999999999,1,accepted,0.1
16,1050,2,1500,0.0139999999999585,79.4760000000001,79.4900000000001,1,accepted,0.1
17,120,3,1600,0.0149999999998762,77.1570000000001,77.172,1,accepted,0.1
18,350,2,1700,0.0139999999997364,71.5300000000001,71.5439999999998,1,accepted,0.1
19,120,1,1800,0.0130000000000408,83.5469999999998,83.5599999999999,1,accepted,0.1
20,1050,3,1900,0.0139999999999585,83.6789999999998,83.6929999999998,1,accepted,0.1
21,120,2,2000,0.0149999999998762,79.4140000000003,79.4290000000002,1,accepted,0.1
22,350,1,2100,0.0139999999997364,70.4600000000002,70.4739999999999,1,accepted,0.1
23,700,2,2200,0.0130000000000408,83.1069999999996,83.1199999999996,1,accepted,0.1
24,700,1,2300,0.0139999999997364,78.3939999999998,78.4079999999996,1,accepted,0.1
25,900,2,2400,0.0139999999997364,88.9599999999997,88.9739999999994,1,accepted,0.1
26,350,3,2500,0.0130000000000408,75.4549999999998,75.4679999999999,1,accepted,0.1
27,1050,1,2600,0.0169999999997117,79.472,79.4889999999997,1,accepted,0.1
28,350,2,2700,0.0139999999997364,73.6220000000003,73.636,1,accepted,0.1
29,120,3,2800,0.0159999999995719,82.8160000000002,82.8319999999998,1,accepted,0.1
30,700,3,2900,0.0169999999997117,75.8929999999998,75.9099999999995,1,accepted,0.1
31,260,2,3000,0.0140000000001805,71.1219999999999,71.1360000000001,1,accepted,0.1
32,550,2,3100,0.0139999999997364,87.504,87.5179999999998,1,accepted,0.1
33,900,1,3200,0.0139999999997364,91.469,91.4829999999998,1,accepted,0.1
34,1050,3,3300,0.0129999999995967,81.3230000000003,81.3359999999999,1,accepted,0.1
35,260,3,3400,0.0149999999994321,71.3710000000001,71.3859999999995,1,accepted,0.1
36,900,3,3500,0.016000000000016,85.855,85.871,1,accepted,0.1
37,550,3,3600,0.0230000000001063,84.7389999999999,84.762,1,accepted,0.1
38,260,1,3700,0.0149999999998762,70.8389999999999,70.8539999999998,1,accepted,0.1
39,1050,2,3800,0.023999999999802,82.4569999999998,82.4809999999996,1,accepted,0.1
40,120,1,3900,0.0169999999997117,103.385,103.402,1,accepted,0.1
41,550,1,4000,3.42500000000001,85.61,89.035,1,accepted,0.1
42,120,2,4100,0.0149999999994321,87.0439999999997,87.0589999999991,1,accepted,0.1
43,260,2,4200,0.0140000000001805,76.6199999999992,76.6339999999994,1,accepted,0.1
44,900,2,4300,0.0150000000003203,94.4729999999998,94.4880000000001,1,accepted,0.1
45,120,2,4400,0.0139999999992924,79.6130000000002,79.6269999999994,1,accepted,0.1
46,350,1,4500,0.0130000000000408,70.2879999999997,70.3009999999997,1,accepted,0.1
47,700,3,4600,0.0139999999992924,74.4350000000003,74.4489999999995,1,accepted,0.1
48,550,1,4700,0.0149999999994321,88.7520000000004,88.7669999999998,1,accepted,0.1
49,550,3,4800,0.0139999999992924,88.6120000000004,88.6259999999996,1,accepted,0.1
50,900,1,4900,0.0139999999992924,88.0550000000007,88.069,1,accepted,0.1
51,700,2,5000,0.0150000000003203,76.4889999999996,76.5039999999999,1,accepted,0.1
52,1050,1,5100,0.0129999999991526,84.3449999999999,84.357999999999,1,accepted,0.1
53,1050,3,5200,0.0149999999994321,80.9660000000001,80.9809999999995,1,accepted,0.1
54,350,3,5300,0.0129999999991526,76.8870000000001,76.8999999999993,1,accepted,0.1
55,550,2,5400,0.0149999999994321,84.8580000000005,84.873,1,accepted,0.1
56,260,1,5500,0.0229999999996622,68.0420000000002,68.0649999999998,1,accepted,0.1
57,1050,2,5600,0.0149999999994321,81.1929999999998,81.2079999999993,1,accepted,0.1
58,120,1,5700,0.0159999999995719,87.5560000000002,87.5719999999998,1,accepted,0.1
59,120,3,5800,0.0169999999997117,85.3349999999997,85.3519999999994,1,accepted,0.1
60,700,1,5900,0.0159999999995719,78.4050000000001,78.4209999999996,1,accepted,0.1
61,260,3,6000,0.0150000000003203,68.9769999999994,68.9919999999997,1,accepted,0.1
62,350,2,6100,0.0149999999994321,73.2879999999998,73.3029999999992,1,accepted,0.1
63,900,3,6200,0.0140000000001805,90.63,90.6440000000002,1,accepted,0.1
64,1050,3,6300,0.0149999999994321,78.7629999999995,78.7779999999989,1,accepted,0.1
65,700,1,6400,0.0149999999994321,79.4550000000003,79.4699999999997,1,accepted,0.1
66,120,3,6500,0.0140000000001805,77.2649999999997,77.2789999999999,1,accepted,0.1
67,260,3,6600,0.0129999999991526,69.3910000000004,69.4039999999996,1,accepted,0.1
68,1050,1,6700,0.0140000000001805,79.5139999999996,79.5279999999998,1,accepted,0.1
69,900,2,6800,0.0129999999991526,91.6870000000003,91.6999999999994,1,accepted,0.1
70,900,3,6900,0.0139999999992924,100.927,100.941,1,accepted,0.1
71,550,2,7000,0.983999999999874,90.357,91.3409999999999,1,accepted,0.1
72,350,3,7100,0.0129999999991526,71.2140000000003,71.2269999999995,1,accepted,0.1
73,350,2,7200,0.0149999999994321,78.1540000000005,78.1689999999999,1,accepted,0.1
74,350,1,7300,0.0149999999994321,72.8569999999999,72.8719999999994,1,accepted,0.1
