order,frame,start,availableMs,waitingMs,computeMs,availabilityToPoseMs,accepted,reason,periodSeconds
1,1050,1,0,0.037,83.091,83.128,1,accepted,0.0916931629180908
2,550,3,91.6931629180908,0.0128370819091755,83.952,83.9648370819092,1,accepted,0.0916931629180908
3,900,2,183.386325836182,0.0176741638183708,91.465,91.4826741638183,1,accepted,0.0916931629180908
4,900,3,275.079488754272,0.0115112457275135,82.682,82.6935112457275,1,accepted,0.0916931629180908
5,550,1,366.772651672363,0.0143483276366929,87.847,87.8613483276367,1,accepted,0.0916931629180908
6,900,1,458.465814590454,0.0111854095459218,87.549,87.5601854095459,1,accepted,0.0916931629180908
7,260,1,550.158977508545,0.0560224914550878,69.833,69.8890224914551,1,accepted,0.0916931629180908
8,700,1,641.852140426636,0.0158595733642519,76.757,76.7728595733642,1,accepted,0.0916931629180908
9,350,3,733.545303344727,0.0146966552734273,70.864,70.8786966552735,1,accepted,0.0916931629180908
10,260,3,825.238466262817,0.0135337371826028,72.145,72.1585337371826,1,accepted,0.0916931629180908
11,700,3,916.931629180908,0.0163708190917822,76.665,76.6813708190918,1,accepted,0.0916931629180908
12,550,2,1008.624792099,0.0152079010009576,87.0310000000001,87.046207901001,1,accepted,0.0916931629180908
13,350,1,1100.31795501709,0.0130449829101043,70.4480000000001,70.4610449829102,1,accepted,0.0916931629180908
14,260,2,1192.01111793518,0.0248820648194314,73.7639999999999,73.7888820648194,1,accepted,0.0916931629180908
15,700,2,1283.70428085327,0.0137191467284303,76.3340000000001,76.3477191467286,1,accepted,0.0916931629180908
16,1050,2,1375.39744377136,0.0145562286377743,79.27,79.2845562286377,1,accepted,0.0916931629180908
17,120,3,1467.09060668945,0.0123933105469209,84.082,84.0943933105469,1,accepted,0.0916931629180908
18,350,2,1558.78376960754,0.0142303924559606,76.1800000000001,76.1942303924561,1,accepted,0.0916931629180908
19,120,1,1650.47693252563,0.0140674743651648,86.94,86.9540674743652,1,accepted,0.0916931629180908
20,1050,3,1742.17009544373,0.0119045562743114,85.9450000000002,85.9569045562745,1,accepted,0.0916931629180908
21,120,2,1833.86325836182,0.0117416381835156,83.9940000000001,84.0057416381836,1,accepted,0.0916931629180908
22,350,1,1925.55642127991,0.0175787200926703,76.4410000000002,76.4585787200929,1,accepted,0.0916931629180908
23,700,2,2017.249584198,0.015415802002039,82.506,82.521415802002,1,accepted,0.0916931629180908
24,700,1,2108.94274711609,0.0262528839112264,80.1609999999999,80.1872528839112,1,accepted,0.0916931629180908
25,900,2,2200.63591003418,0.0130899658201677,94.7450000000001,94.7580899658202,1,accepted,0.0916931629180908
