frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
120,1,0,1,87.029,64.002,22.675,0.351999999999986,1,accepted,3,7,104,44,484199.208294534,4977468.56858888,-1.1050951815245,0.0729801151708051,-0.0538329859858149
120,2,0,2,87.155,69.282,17.742,0.131000000000004,1,accepted,3,7,104,44,484199.208297288,4977468.56859293,-1.10509571349451,0.0729849419202837,-0.0538634656223833
120,3,0,3,86.668,73.032,13.512,0.123999999999995,1,accepted,3,5,104,44,484199.208290669,4977468.56858767,-1.10509511152407,0.0729765535055108,-0.0538289752565032
260,1,0,4,95.896,76.618,18.388,0.88999999999999,1,accepted,3,5,82,26,484229.701749982,4977311.92862636,-1.34136383136895,0.121073158069821,-0.237213838389248
260,2,0,5,83.209,71.746,10.967,0.495999999999995,1,accepted,3,5,82,26,484229.70174272,4977311.92862401,-1.34136429600262,0.121066408106828,-0.23724045993743
260,3,0,6,84.55,74.724,9.808,0.0179999999999918,1,accepted,3,4,82,26,484229.701741887,4977311.92862329,-1.34136392427723,0.121065307677057,-0.237219161641533
350,1,0,7,82.3,68.437,13.842,0.020999999999999,1,accepted,3,6,92,29,484253.454544574,4977184.18471423,-1.49983308574112,0.128690101570696,0.020224401487747
350,2,0,8,116.779,103.3,13.461,0.0179999999999989,1,accepted,3,6,92,29,484253.454542312,4977184.18471326,-1.49983313761161,0.128687970090965,0.0202214295270981
350,3,0,9,81.482,69.78,11.685,0.0169999999999995,1,accepted,3,5,92,29,484253.45454235,4977184.18471327,-1.49983313651004,0.128687999372847,0.0202214926429158
550,1,0,10,101.486,85.212,16.253,0.021000000000015,1,accepted,3,7,97,37,484319.011707394,4976932.59714749,-1.20895891970181,0.08555409709061,0.0274071476747055
550,2,0,11,97.534,82.127,15.387,0.0199999999999818,1,accepted,3,7,97,37,484319.011703775,4976932.59714596,-1.20895884095709,0.0855515006420523,0.0274116594147358
550,3,0,12,96.79,83.337,13.434,0.0190000000000179,1,accepted,3,5,97,37,484319.01170316,4976932.59714569,-1.20895882706874,0.0855510500479336,0.027412455158653
700,1,0,13,94.097,78.668,15.179,0.249999999999988,0,inconsistentClasses,3,7,86,27,484338.387856726,4976756.23522041,-1.68444665955885,0.059803090323988,0.06585391961124
700,2,0,14,85.332,72.118,13.197,0.0170000000000119,0,inconsistentClasses,3,7,86,27,484338.387851445,4976756.23522007,-1.68444678757349,0.059800874777522,0.0658465849126648
700,3,0,15,84.112,72.857,11.238,0.0170000000000101,0,inconsistentClasses,3,5,86,27,484338.387850205,4976756.23521995,-1.68444681712307,0.0598003082671711,0.0658448918462088
