optimized,scene,totalMs,perceptionMs,registrationMs
0,1,192.842,155.313,37.16
1,1,114.131,93.983,19.873
0,2,126.393,107.998,18.089
1,2,85.844,75.105,10.509
0,3,117.47,98.764,17.94
1,3,88.575,76.54,11.6
0,4,214.344,188.117,25.432
1,4,96.642,87.518,9.043
0,5,109.907,96.216,13.581
1,5,90.988,82.93,7.977
0,6,115.482,100.235,15.162
1,6,100.672,87.69,12.895
0,7,112.293,94.444,17.766
1,7,99.855,87.428,12.337
1,1,90.592,79.987,10.441
0,1,117.136,84.862,32.177
1,2,72.566,63.833,8.627
0,2,79.969,65.107,14.761
1,3,70.163,60.198,9.881
0,3,83.826,68.05,15.697
1,4,76.852,67.958,8.775
0,4,94.52,80.888,13.531
1,5,74.783,67.045,7.643
0,5,86.081,73.799,12.187
1,6,87.014,76.431,10.496
0,6,102.071,87.235,14.756
1,7,75.342,66.214,9.014
0,7,92.873,76.428,16.344
0,1,90.795,70.883,19.81
1,1,74.605,63.385,11.14
0,2,84.926,69.864,14.982
1,2,71.851,62.701,9.046
0,3,83.404,68.267,15.047
1,3,73.232,62.905,10.24
0,4,100.711,85.96,14.658
1,4,85.405,74.382,10.94
0,5,91.551,79.347,12.099
1,5,72.515,65.548,6.888
0,6,98.068,82.794,15.192
1,6,84.717,75.266,9.359
0,7,92.907,77.877,14.948
1,7,77.932,66.878,10.965
1,1,76.08,64.231,11.758
0,1,88.068,69.464,18.521
1,2,69.454,60.053,9.304
0,2,81.087,67.1,13.907
1,3,68.609,58.924,9.602
0,3,86.794,70.87,15.842
1,4,81.695,72.943,8.666
0,4,100.009,85.495,14.435
1,5,83.08,73.955,9.004
0,5,105.378,93.841,11.453
1,6,81.731,72.784,8.851
0,6,98.361,84.007,14.256
1,7,78.717,67.982,10.647
0,7,89.48,74.365,15.001
0,1,92.607,73.141,19.385
1,1,78.034,65.517,12.43
0,2,82.099,67.27,14.751
1,2,67.455,59.559,7.806
0,3,85.599,69.581,15.924
1,3,70.843,61.11,9.65
0,4,95.315,80.238,14.988
1,4,80.377,70.083,10.202
0,5,90.074,77.522,12.465
1,5,74.033,66.888,7.054
0,6,99.828,83.524,16.214
1,6,83.424,74.748,8.568
0,7,92.535,77.404,15.046
1,7,77.682,67.653,9.926
1,1,76.183,62.63,13.447
0,1,89.123,70.067,18.97
1,2,69.692,60.249,9.345
0,2,80.916,66.76,14.073
1,3,73.096,62.036,10.976
0,3,80.695,66.333,14.275
1,4,79.361,69.526,9.75
0,4,93.821,79.34,14.36
1,5,72.585,65.403,7.094
0,5,85.643,73.14,12.419
1,6,81.89,71.175,10.627
0,6,97.065,82.679,14.3
1,7,79.983,68.974,10.922
0,7,91.724,76.386,15.255
