native,scene,totalMs,perceptionMs,registrationMs
1,1,76.923,64.716,11.88
0,1,178.839,168.261,10.298
0,1,119.066,104.347,14.447
1,1,77.322,67.037,10.035
1,2,68.275,59.8,7.649
0,2,99.77,91.973,7.676
0,2,93.897,85.955,7.858
1,2,69.837,61.502,8.248
1,3,71.798,60.666,11.017
0,3,102.869,92.259,10.519
0,3,91.442,82.224,9.133
1,3,71.293,60.729,10.444
1,4,79.689,70.948,8.645
0,4,123.829,113.705,10.038
0,4,113.225,102.951,10.179
1,4,83.004,73.6,9.28
1,5,77.546,69.781,7.676
0,5,110.56,102.832,7.636
0,5,121.904,114.819,7.001
1,5,76.001,67.827,8.081
1,6,83.321,72.638,10.59
0,6,112.849,103.883,8.866
0,6,114.449,105.467,8.898
1,6,88.356,77.512,10.751
1,7,75.446,64.383,10.964
0,7,107.623,96.672,10.859
0,7,110.244,98.661,11.495
1,7,77.535,66.274,11.173
1,1,78.273,64.331,13.849
0,1,112.325,98.739,13.493
0,1,107.83,94.569,13.115
1,1,74.447,62.521,11.836
1,2,69.474,60.456,8.919
0,2,98.55,90.916,7.549
0,2,93.793,85.354,8.351
1,2,67.319,58.747,8.487
1,3,72.647,62.567,9.994
0,3,95.781,86.682,9.016
0,3,98.918,88.109,10.723
1,3,70.238,59.335,10.819
1,4,80.53,70.732,9.709
0,4,118.223,107.827,10.274
0,4,116.177,106.375,9.71
1,4,80.877,70.861,9.931
1,5,74.977,67.222,7.668
0,5,111.641,103.64,7.91
0,5,112.093,104.224,7.781
1,5,73.648,66.824,6.738
1,6,88.074,77.244,10.692
0,6,121.412,110.462,10.818
0,6,130.732,121.999,8.624
1,6,83.378,72.509,10.737
1,7,78.421,67.877,10.457
0,7,106.893,97.603,9.14
0,7,105.532,95.098,10.337
1,7,72.206,63.12,9
1,1,73.537,62.363,11.083
0,1,108.349,95.525,12.738
0,1,107.775,94.814,12.859
1,1,74.674,63.963,10.622
1,2,67.884,59.879,7.918
0,2,98.159,87.776,10.298
0,2,96.105,87.123,8.879
1,2,72.525,64.704,7.737
1,3,75.351,63.841,11.421
0,3,95.212,84.47,10.577
0,3,93.494,83.597,9.81
1,3,68.436,59.479,8.876
1,4,81.456,70.313,11.056
0,4,116.896,106.835,9.97
0,4,115.277,105.908,9.279
1,4,80.022,70.128,9.797
1,5,75.737,68.138,7.512
0,5,106.699,98.841,7.766
0,5,106.495,98.601,7.808
1,5,75.023,68.386,6.517
1,6,85.663,74.713,10.851
0,6,117.289,107.243,9.939
0,6,132.686,121.564,10.983
1,6,98.576,87.868,10.599
1,7,92.485,80.913,11.48
0,7,123.376,113.787,9.46
0,7,136.541,125.569,10.875
1,7,88.322,77.753,10.482
