method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,1050,1,1,1,89.854,73.05,16.783,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,1,2,74.493,66.93,7.54,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,550,3,1,3,134.686,112.873,21.789,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,1,4,87.08,78.358,8.699,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,900,2,1,5,116.093,99.461,16.607,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,1,6,98.501,85.632,12.842,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,3,1,7,105.564,90.282,15.258,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,1,8,83.924,74.89,9.008,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,550,1,1,9,99.672,83.53,16.12,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,1,10,82.908,74.991,7.891,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,900,1,1,11,103.688,87.417,16.249,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,1,12,82.829,75.96,6.85,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,260,1,1,13,71.535,64.754,6.757,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,1,1,14,80.296,67.675,12.599,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,700,1,1,15,93.246,80.796,12.428,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,1,16,73.896,67.732,6.137,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,350,3,1,17,81.99,66.533,15.427,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,1,18,71.337,64.112,7.197,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,260,3,1,19,81.651,67.724,13.904,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,1,20,68.741,61.424,7.293,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,700,3,1,21,86.745,74.944,11.78,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,1,22,72.669,67.101,5.547,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,550,2,1,23,96.61,80.201,16.387,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
