method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,120,1,1,1,257.719,190.627,66.008,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,1,2,85.321,76.174,8.721,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,120,2,1,3,100.821,77.726,22.954,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,1,4,86.678,76.493,10.055,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,120,3,1,5,103.067,82.817,19.589,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,1,6,83.445,75.218,7.773,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,260,1,1,7,92.359,76.541,15.747,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,1,8,77.82,71.023,6.777,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,2,1,9,90.809,75.861,14.924,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,1,10,78.297,70.164,8.105,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,3,1,11,93.15,79.286,13.835,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,1,12,81.993,74.706,7.261,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,1,1,13,95.433,80.18,15.233,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,1,14,76.057,67.87,8.165,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,350,2,1,15,91.195,73.924,17.25,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,1,16,76.366,68.251,8.094,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,3,1,17,91.735,76.378,15.337,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
