method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,1050,1,1,1,84.873,67.047,17.802,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,1,2,68.403,60.862,7.518,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,550,3,1,3,93.809,80.526,13.26,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,1,4,75.641,68.825,6.791,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,900,2,1,5,96.853,81.612,15.222,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,1,6,76.888,70.842,6.028,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,3,1,7,93.824,78.544,15.26,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,1,8,80.376,73.623,6.733,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,550,1,1,9,88.724,73.374,15.33,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,1,10,72.566,65.978,6.561,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,900,1,1,11,94.123,78.087,16.015,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,1,12,75.785,68.232,7.53,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,260,1,1,13,61.669,55.475,6.169,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,1,1,14,74.214,61.288,12.904,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,700,1,1,15,82.132,69.23,12.883,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,1,16,70.708,64.423,6.262,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,350,3,1,17,78.966,64.949,13.994,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,1,18,65.264,57.258,7.983,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,260,3,1,19,87.863,73.649,14.192,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,1,20,65.666,59.888,5.759,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,700,3,1,21,81.782,70.909,10.854,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,1,22,69.665,63.855,5.789,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,550,2,1,23,95.46,78.489,16.949,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,1,24,71.804,65.304,6.481,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,350,1,1,25,66.256,59.51,6.725,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,350,1,1,26,78.582,63.561,14.999,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,260,2,1,27,63.477,56.01,7.447,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,2,1,28,77.611,63.026,14.565,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,700,2,1,29,72.775,65.349,7.407,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,700,2,1,30,86.24,72.573,13.648,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,1050,2,1,31,89.402,73.201,16.18,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,1,32,68.445,61.135,7.282,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
