method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,120,1,1,1,207.641,139.628,66.656,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,1,2,75.518,64.479,9.934,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,120,2,1,3,110.866,81.951,28.812,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,1,4,72.462,65.455,6.986,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,120,3,1,5,106.321,85.058,21.154,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,1,6,70.384,62.366,7.995,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,260,1,1,7,93.071,76.873,16.066,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,1,8,73.991,56.233,17.733,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,2,1,9,173.377,146.065,26.547,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,1,10,64.986,56.865,8.102,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,3,1,11,78.086,64.346,13.688,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,1,12,63.446,56.264,7.16,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,1,1,13,79.443,65.234,14.186,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,1,14,67.29,60.074,7.193,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,350,2,1,15,82.623,65.555,17.046,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,1,16,62.192,54.314,7.856,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,350,3,1,17,78.819,63.675,15.121,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,1,18,63.963,56.832,7.104,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,550,1,1,19,92.48,76.937,15.52,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,550,1,1,20,77.803,67.352,10.429,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,2,1,21,94.832,77.724,17.087,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,1,22,74.624,66.779,7.822,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,3,1,23,86.671,73.101,13.55,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,1,24,73.418,66.797,6.597,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,700,1,1,25,90.274,76.095,14.156,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,1,26,75.753,63.416,12.309,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,700,2,1,27,84.416,70.656,13.738,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,1,28,89.95,72.355,17.568,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,700,3,1,29,87.895,75.873,11.999,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,1,30,68.127,62.891,5.216,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,900,1,1,31,95.38,79.127,16.23,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,1,32,80.025,69.01,10.99,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,900,2,1,33,92.77,75.941,16.804,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,1,34,77.884,71.496,6.368,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,3,1,35,96.594,82.343,14.23,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,1,36,79.121,73.311,5.791,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
