names,calls,total,self
registerSemanticProbabilityCloud>linearize,163,0.406074,0.255142
aggregatePlanarCellMoments,63,0.095339,0.095339
buildCurbEnergyMaps>boxSumMap,210,0.074316,0.074316
buildCurbEnergyMaps>applyLocalLinearityEnergyGate,21,0.251578,0.066661
perceiveFrame>buildGroundXYView,21,0.068403,0.06433
buildCurbEnergyMaps>shiftMap,420,0.05667,0.05667
sub2ind,9972,0.050633,0.050633
refineCurbCellsByRoadAdjacency>completeBoundaryEvidenceRuns,42,0.050536,0.050004
mappingSupport>mappingSupport.validateSemanticProbabilityCloud,84,0.051391,0.048874
refineCurbCellsByRoadAdjacency>recoverRoadFacingShoulderCurbCells,42,0.043895,0.04335
buildCurbEnergyMaps>maxNeighborAbsDiffMap,21,0.066815,0.042613
detectPoleCandidates>buildSplitLayerPoleCandidates,21,0.039847,0.039847
perceptionKernelsMex,126,0.038792,0.038792
buildCurbEnergyMaps>smoothStepMap,483,0.038193,0.038193
analyzeStructuralPillars>buildSparseColumnMaps,21,0.143999,0.037232
analyzeStructuralPillars>accumulateSparseOccupancy,21,0.038248,0.036015
buildCurbEnergyMaps>computeDirectionalLinearityMap,21,0.069985,0.035619
segmentGround>bridgeSlopeGridSmoothComponentsDistanceTransform,21,0.079848,0.034674
buildCurbEnergyMaps>buildGroundFeatureEnergyMaps,21,0.505344,0.031413
buildCoarseSemanticProbabilityCloud>aggregateComponents,84,0.045596,0.031175
refineCurbCellsByRoadAdjacency>removeRoadFacingDuplicateCurbCells,21,0.029682,0.029367
median,3585,0.037688,0.028387
images/private/labelBinaryRuns,252,0.028268,0.028268
ismember,15647,0.118075,0.027947
segmentGround>labelSlopeGridGroundPoints,21,0.027597,0.027597
ismember>ismemberClassTypes,15446,0.057848,0.027465
bwdist,84,0.031781,0.027464
unique,2531,0.046212,0.0271
ismember>ismemberR2012a,15647,0.090128,0.027031
buildCurbEnergyMaps>buildGroundCellStats,21,0.026886,0.026886
refineCurbCellsByRoadAdjacency,21,0.40906,0.02626
sortrows,147,0.025442,0.025129
refineCurbCellsByRoadAdjacency>keepSameColumnFeaturePeakCurbCells,21,0.025366,0.024297
refineCurbCellsByRoadAdjacency>completeDominantBoundaryContinuation,21,0.05017,0.024232
refineCurbCellsByRoadAdjacency>extendDominantBoundaryRunOneDirection,606,0.023478,0.023478
detectPoleCandidates>computePoleCandidateContextRatio,9723,0.038585,0.022652
refineCurbCellsByRoadAdjacency>completeProjectedCurbBoundaryPaths,21,0.034292,0.021465
buildCurbEnergyMaps>computeCurvatureEnergyMap,21,0.041207,0.019873
refineCurbCellsByRoadAdjacency>completeWeakCurbBoundaryGaps,21,0.019863,0.01955
perceiveFrame>deriveOffGroundVoxelGrid,21,0.036033,0.01914
unique>uniqueR2012a,1628,0.017969,0.017969
extractRoadSurface,42,0.065177,0.01755
registerSemanticProbabilityCloud>registerGeometricProbabilityCloud,21,0.54095,0.0172020000000001
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbCells,21,0.017683,0.017147
analyzeStructuralPillars,21,0.396236,0.0170529999999999
voxelizePointCloud>binPointsIntoGrid,21,0.028202,0.016805
segmentGround>fillSlopeGridHoles,21,0.031539,0.016662
perceiveFrame>buildBranchInputs,21,0.131925,0.016445
ind2sub,13494,0.016197,0.016197
refineCurbCellsByRoadAdjacency>keepRoadFacingBoundaryAnchors,21,0.031026,0.016031
buildCurbEnergyMaps>computeLineComponentSupportMaps,21,0.030355,0.015758
extractRoadSurface>buildCurbBoundedInteriorMask,42,0.024051,0.014962
buildCurbEnergyMaps>computeLocalMeanMap,21,0.014368,0.014368
voxelizePointCloud,21,0.082312,0.014326
segmentGround>promoteSlopeGridSmoothFlatComponents,21,0.143354,0.013507
segmentGround>canUseSlopeGridDistanceTransformBridge,21,0.013493,0.013493
buildCurbEnergyMaps>computeResidualSlopeEnergyMap,21,0.024507,0.013206
buildCurbEnergyMaps>resolveDirectionalLinearityKernels,21,0.016217,0.012945
analyzeGroundPillars,21,1.060496,0.012826
buildPerceptionCandidates,21,0.016722,0.012771
segmentGround>computeSlopeGridCellStats,21,0.026811,0.012493
segmentGround>extractGroundMaskSlopeGrid,21,0.277361,0.012413
perceiveFrame,21,2.118231,0.0118209999999999
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbComponents,21,0.036215,0.011498
detectPoleCandidates>passesPoleCandidateContext,9147,0.047776,0.011352
table.table>table.table,184,0.075453,0.01121
voxelizePointCloud>filterPointAttributes,42,0.010928,0.010928
perceiveFrame>filterDerivedPointAttributes,42,0.010772,0.010772
registerSemanticProbabilityCloud>frozenCost,121,0.01295,0.010536
detectPoleCandidates>selectBestPassingFootprintOfSize,1119,0.030019,0.010404
voxelizePointCloud>buildPointKeepMask,21,0.010289,0.010289
detectPoleCandidates>filterPoleCandidatesByObjectLayerSupport,21,0.018463,0.010045
makeUniqueStrings,184,0.015633,0.009747
segmentGround>mapPointsToSlopeGridCells,21,0.012827,0.009733
voxelizePointCloud>resolvePointCloudInput,21,0.009674,0.009674
detectPoleCandidates>selectMinimalPoleSupportFootprint,1470,0.050021,0.009633
refineCurbCellsByRoadAdjacency>removeFartherSameSideOutlierComponents,21,0.013766,0.009223
ismember>ismemberBuiltinTypes,553,0.009111,0.009111
buildCoarseSemanticProbabilityCloud>concatenateComponents,21,0.0098,0.009054
analyzeGroundPillars>probabilityAboveThreshold,42,0.00902,0.00902
detectPoleCandidates>selectBestValidPoleFootprintSubset,507,0.010781,0.008884
registerSemanticProbabilityCloud>classDiagnostics,21,0.016006,0.008798
refineCurbCellsByRoadAdjacency>keepRoadConsistentPeakPromotionProtection,21,0.009188,0.008787
detectPoleCandidates>filterMinimalPoleCandidateFootprints,21,0.054757,0.008561
