threads,scene,totalMs,perceptionMs,registrationMs
1,1,123.546,104.322,18.996
1,2,154.483,137.044,17.235
1,3,122.421,108.039,14.182
1,4,146.458,132.916,13.346
1,5,133.128,121.352,11.172
1,6,160.489,146.265,14.151
1,7,136.844,121.941,14.829
4,1,85.633,68.473,17.086
4,2,78.38,64.982,13.328
4,3,78.794,64.501,14.222
4,4,93.85,80.732,13.042
4,5,87.227,76.008,11.144
4,6,100.289,85.554,14.656
4,7,96.882,80.282,16.489
8,1,90.695,69.648,20.96
8,2,84.559,70.539,13.941
8,3,81.312,65.985,15.247
8,4,92.456,78.451,13.915
8,5,91.135,79.126,11.929
8,6,101.109,84.049,16.957
8,7,105.495,89.639,15.779
2,1,106.568,89.87,16.618
2,2,90.568,76.889,13.592
2,3,93.358,77.76,15.502
2,4,113.94,99.505,14.348
2,5,110.774,98.322,12.36
2,6,118.498,104.048,14.367
2,7,105.735,90.626,15.031
1,1,121.142,104.018,17.044
1,2,111.271,97.758,13.436
1,3,112.773,98.516,14.182
1,4,141.062,127.951,13.034
1,5,129.289,118.188,11.024
1,6,146.246,132.474,13.694
1,7,126.81,112.205,14.53
4,1,87.629,70.866,16.668
4,2,80.12,66.306,13.725
4,3,82.822,68.005,14.699
4,4,94.603,81.539,12.986
4,5,87.329,75.645,11.588
4,6,100.141,85.693,14.367
4,7,89.688,73.311,16.271
8,1,96.603,75.209,21.303
8,2,89.76,73.585,16.062
8,3,112.154,97.122,14.945
8,4,98.775,84.037,14.651
8,5,88.419,75.249,13.088
8,6,97.588,82.088,15.349
8,7,94.288,78.285,15.922
2,1,99.169,81.318,17.759
2,2,96.452,82.942,13.432
2,3,93.14,78.533,14.53
2,4,113.628,96.882,16.656
2,5,103.97,92.003,11.886
2,6,114.534,100.719,13.737
2,7,100.357,85.677,14.6
1,1,121.69,103.796,17.817
1,2,110.608,97.487,13.044
1,3,109.511,95.212,14.221
1,4,136.396,123.586,12.73
1,5,125.818,114.586,11.153
1,6,149.886,135.15,14.651
1,7,127.371,112.287,15.004
4,1,84.89,67.755,17.055
4,2,79.391,65.343,13.973
4,3,82.031,67.885,14.072
4,4,94.383,81.009,13.296
4,5,85.63,74.254,11.302
4,6,99.405,85.344,13.983
4,7,89.285,73.775,15.431
8,1,83.782,65.212,18.493
8,2,74.888,61.085,13.725
8,3,79.469,64.772,14.613
8,4,90.988,77.798,13.105
8,5,85.347,74.118,11.155
8,6,97.433,82.586,14.746
8,7,86.232,70.453,15.692
2,1,101.88,84.601,17.2
2,2,90.122,76.884,13.153
2,3,90.429,75.919,14.431
2,4,109.354,96.346,12.929
2,5,99.994,89.081,10.834
2,6,114.784,100.63,14.074
2,7,101.792,86.752,14.937
