frame,timeSeconds,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches,totalMs,perceptionMs,registrationMs,mapSelectionMs,diskLoadMs,informationXX,informationXY,informationXPsi,informationYY,informationYPsi,informationPsiPsi
1,0,1,accepted,0.130398672306316,-0.0584218932304749,0.646500628606324,3,6,33,281.822,218.732,58.858,1.998,641.301,10.5013495833746,-1.37872258053174,73.7112499005333,12.5940277008778,10.6845377888559,2931.47125906872
2,0.0997334406846495,1,accepted,0.129674226715868,-0.0163863055660493,0.729196534682257,3,4,37,142.053,130.274,10.544,0.827,550.866,9.25306117993835,-1.98927495396811,64.7527992482601,12.4822066429728,14.1426149230212,2655.34051758586
3,0.200060373387542,1,accepted,0.0602938913780246,-0.154389094560961,0.73724567768782,3,5,29,140.276,129.186,9.807,0.947,552.721,10.8971733576813,-1.50969542625015,88.2260946876185,12.543186869613,-16.9052754441474,3564.4097361806
4,0.299495001150299,1,accepted,0.0745840861612154,-0.169074402034495,0.74105791446856,3,4,32,132.17,124.567,6.567,0.705,547.771,9.59575316085439,-2.43758985664424,13.800715482858,12.9316245463654,2.88895110755482,2099.30501687462
5,0.399469478792207,1,accepted,0.0679256626785606,-0.182305050677323,0.751874524049975,3,4,37,146.238,127.51,15.449,1.306,556.741,10.818553861682,-1.78300873276891,79.6305120422323,12.3790283996853,-14.6208959110854,2886.19404523024
6,0.498996376479702,1,accepted,0.08416160904483,-0.0988063147095554,0.666129919518061,3,3,32,130.429,125.498,4.679,0.127,600.493,9.24143517920643,-2.21896119812667,58.301942890183,12.4358170490693,-5.05712434373163,2796.88891863733
7,0.573130554228286,1,accepted,0.0811982699007229,-0.0966627908045168,0.764025723708324,3,3,38,132.278,126.742,4.721,0.716,612.673,10.2291085868077,-1.60757408508618,91.7530990753546,12.4000106555511,-12.2387711141004,3463.29660311902
8,0.696147889792836,1,accepted,0.0958098059537242,-0.13302933827289,0.692923865186147,3,5,36,133.6,127.787,4.997,0.723,613.924,11.0586449862766,-1.14633717947112,88.9157675225168,12.3711210152741,-36.2841463771279,3237.34546875237
9,0.799459374788818,1,accepted,0.0722233703673759,-0.0205562553887538,0.642248706020153,3,5,32,132.537,126.794,4.943,0.704,608.255,10.6628085843218,-1.29182655497936,88.2962206706549,12.5754171476406,-33.0355327757519,3584.03377284164
10,0.899978804618634,1,accepted,0.0789550613912287,-0.151357063691435,0.827422037904596,3,4,36,145.706,129.53,15.271,0.808,612.325,9.94351552736076,-3.44024505690528,62.5348945750583,12.089041263496,-18.4062077627555,2411.72469858056
11,1.00110747592308,1,accepted,0.0864132784151793,-0.105350314992139,0.687686222388453,3,3,36,122.635,117.314,4.511,0.712,603.344,9.63129950661013,-3.04600565002955,56.7482406992128,11.7482128756487,-24.8004229969963,2613.87415064488
