frameIdx,curb,roadMarking,pole,trafficSign
1,36,0,217,385
2,40,0,273,386
3,32,0,196,385
4,31,0,167,390
5,35,0,158,381
6,33,0,230,387
7,42,0,236,388
8,34,0,180,392
9,38,0,241,382
10,40,3,192,391
11,34,5,223,392
12,39,0,175,391
13,32,0,177,378
14,34,0,237,383
15,38,0,212,367
16,39,0,230,384
17,35,0,209,386
18,37,0,259,400
19,37,0,206,414
20,34,0,244,397
21,38,0,237,401
22,37,1,313,416
23,35,0,216,435
24,37,3,200,407
25,39,0,177,432
26,37,0,150,460
27,39,2,176,434
28,35,2,169,467
29,40,0,240,438
30,39,2,167,459
31,33,1,135,440
32,42,5,185,473
33,40,1,99,492
34,38,2,144,488
35,39,0,159,484
36,36,2,113,488
37,34,1,157,488
38,35,0,154,492
39,37,0,91,503
40,23,595,197,510
41,37,0,62,511
42,39,2,154,531
43,39,3,176,529
44,25,624,79,528
45,27,617,206,528
46,34,0,189,529
47,35,3,75,500
48,36,10,164,467
49,40,12,129,402
50,27,4,118,344
51,27,618,169,280
52,33,5,143,195
53,30,9,159,140
54,25,5,188,126
55,23,622,132,102
56,0,666,212,81
57,29,12,148,84
58,29,19,141,74
59,28,20,290,74
60,25,12,117,75
61,28,18,344,77
62,14,33,333,75
63,13,18,230,80
64,0,689,337,86
65,0,3,286,102
66,32,83,373,133
67,0,678,214,184
68,0,648,208,205
69,0,674,133,227
70,0,658,99,228
71,25,0,226,236
72,27,0,34,225
73,15,0,218,217
74,16,659,138,225
75,36,0,201,220
76,32,0,207,212
77,40,0,212,196
78,47,0,181,201
79,49,0,174,203
80,77,611,239,182
81,74,0,342,174
82,76,541,279,165
83,104,96,191,164
84,73,104,123,165
85,97,11,196,149
86,111,184,353,156
87,29,41,189,149
88,84,14,115,136
89,79,411,186,140
90,72,37,159,144
91,73,148,315,143
92,84,62,177,138
93,52,23,139,136
94,51,26,444,143
95,75,23,376,154
96,70,21,289,157
97,96,22,404,150
98,85,28,468,175
99,102,22,485,163
100,96,29,444,167
101,106,27,367,180
102,103,29,321,191
103,116,30,471,191
104,135,33,590,188
105,122,35,470,180
106,131,31,493,171
107,117,41,317,189
108,118,38,579,156
109,109,42,663,131
110,126,41,522,97
111,111,38,576,85
112,112,44,392,81
113,125,47,295,85
114,126,46,465,115
115,129,45,100,138
116,117,50,137,165
117,106,45,173,150
118,126,39,517,162
119,129,39,101,172
120,129,32,103,177
121,122,28,377,163
122,119,28,59,169
123,121,29,138,172
124,111,26,305,163
125,121,31,299,157
126,118,26,82,160
127,127,30,183,164
128,129,29,77,174
129,123,32,244,176
130,126,33,115,191
131,123,33,82,220
132,123,25,133,241
133,120,34,221,276
134,126,42,57,298
135,126,41,67,351
136,127,50,72,351
137,122,44,121,319
138,124,46,98,163
139,124,50,449,35
140,127,52,484,34
141,125,56,413,34
142,128,56,368,34
143,124,58,292,24
144,133,61,256,30
145,129,47,197,26
146,125,51,229,32
147,127,54,283,29
148,128,58,196,22
149,127,61,221,17
150,127,70,181,18
151,118,65,588,19
152,124,73,177,23
153,126,67,167,22
154,130,72,198,19
155,128,70,125,19
156,123,75,131,19
157,121,68,147,19
158,124,59,133,18
159,115,73,183,23
160,119,82,175,20
161,120,94,96,21
162,123,81,107,18
163,116,83,163,13
164,121,90,204,15
165,132,92,190,19
166,114,90,160,25
167,120,106,136,29
168,117,103,75,29
169,122,103,105,36
170,126,102,70,33
171,123,107,88,52
172,119,105,65,46
173,132,115,32,71
174,121,125,20,79
175,120,136,21,103
176,132,157,48,114
177,147,176,0,137
178,139,193,40,160
179,119,203,27,256
180,119,198,47,335
181,123,191,58,399
182,116,210,103,275
183,139,200,148,69
184,110,188,495,1
185,109,181,485,1
186,111,182,428,0
187,122,179,112,0
188,124,159,439,0
189,119,148,381,0
190,121,131,290,0
191,126,125,173,0
192,114,123,302,0
193,129,125,318,0
194,127,123,131,8
195,133,131,289,10
196,139,121,18,15
197,134,123,104,11
198,145,120,92,16
199,136,117,178,12
200,138,106,120,13
201,142,89,156,14
202,139,70,184,14
203,135,60,213,19
204,132,48,288,9
205,136,42,297,11
206,130,36,39,12
207,133,28,259,10
208,134,19,303,7
209,119,8,246,9
210,114,3,86,9
211,111,2,209,8
212,94,5,166,10
213,89,1,112,8
214,92,1,96,14
215,86,3,73,18
216,88,3,91,19
217,85,0,165,10
218,85,1,124,14
219,77,1,130,18
220,64,583,131,19
221,65,405,92,20
222,61,202,138,23
223,63,11,149,13
224,72,29,194,17
225,87,54,70,30
226,79,66,217,33
227,87,91,315,36
228,98,188,442,38
229,108,168,371,36
230,76,277,271,38
231,115,170,325,26
232,111,144,302,18
233,109,150,204,7
234,123,171,249,9
235,128,194,229,10
236,152,236,134,10
237,135,218,143,20
238,135,215,99,28
239,137,224,96,48
240,137,218,113,56
241,144,218,86,53
242,153,211,65,61
243,151,205,50,75
244,154,219,31,72
245,152,206,56,80
246,138,210,251,71
247,143,213,331,13
248,148,215,340,5
249,140,209,314,13
250,149,188,369,20
251,155,173,236,43
252,138,161,204,101
253,204,137,88,105
254,146,101,110,97
255,139,94,77,92
256,126,95,134,77
257,135,91,114,70
258,132,100,80,60
259,126,89,141,51
260,131,83,136,52
261,134,82,144,42
262,124,85,203,34
263,126,84,257,28
264,134,84,308,30
265,132,77,306,26
266,129,80,200,27
267,129,83,311,16
268,133,72,282,20
269,145,77,260,17
270,135,75,180,15
271,126,75,113,17
272,146,71,86,15
273,161,76,48,10
274,124,79,0,13
275,139,89,47,13
276,111,77,39,18
277,104,76,26,14
278,110,86,49,23
279,91,80,68,21
280,91,78,78,27
281,115,84,270,21
282,95,75,301,1
283,105,70,326,4
284,59,572,216,1
285,126,53,32,0
286,129,56,247,0
287,117,55,215,0
288,133,55,233,0
289,126,56,219,0
290,123,55,171,0
291,122,49,157,1
292,126,48,129,2
293,124,42,124,0
294,130,46,135,2
295,126,35,138,17
296,126,39,154,22
297,128,34,209,20
298,136,32,261,24
299,120,28,332,21
300,119,26,379,19
301,150,11,247,16
302,128,11,381,13
303,135,11,410,15
304,124,10,302,11
305,130,10,234,11
306,123,19,155,9
307,121,21,149,7
308,124,30,168,6
309,132,35,229,4
310,128,41,120,5
311,128,50,42,4
312,147,52,82,4
313,131,60,112,4
314,126,65,108,3
315,109,74,120,2
316,127,78,161,2
317,129,80,195,3
318,133,73,252,3
319,122,74,300,1
320,133,75,326,3
321,123,73,260,2
322,137,65,376,1
323,128,60,366,2
324,132,65,315,2
325,137,62,238,2
326,127,60,136,2
327,119,52,145,3
328,128,50,143,0
329,121,50,132,0
330,127,60,166,0
331,128,58,117,1
332,135,55,72,1
333,131,55,143,0
334,127,57,181,1
335,145,61,181,0
336,137,60,265,0
337,122,55,338,0
338,129,65,372,0
339,133,62,244,0
340,140,60,357,1
341,166,63,379,22
342,151,60,249,42
343,154,63,101,41
344,142,60,98,42
345,130,56,97,36
346,137,55,50,29
347,103,61,58,26
348,121,57,38,27
349,113,58,29,19
350,115,58,108,19
351,104,63,146,18
352,102,63,170,14
353,109,72,187,11
354,105,76,209,13
355,90,71,282,10
356,120,66,324,12
357,99,70,382,13
358,133,58,239,9
359,131,58,364,12
360,143,60,348,14
361,118,57,301,14
362,123,61,210,14
363,98,60,107,14
364,117,57,77,16
365,105,58,107,16
366,108,52,74,20
367,104,61,47,19
368,82,58,66,28
369,142,63,232,29
370,112,64,0,35
371,129,74,62,51
372,143,65,34,62
373,129,65,182,60
374,109,73,288,1
375,133,74,157,0
376,137,78,271,0
377,136,78,228,6
378,129,82,238,19
379,141,76,152,28
380,139,88,100,26
381,114,75,107,23
382,125,73,88,22
383,134,75,63,20
384,136,83,33,16
385,137,77,104,9
386,136,69,95,12
387,114,74,106,13
388,107,78,135,14
389,60,352,131,7
390,83,83,177,8
391,122,71,263,8
392,122,72,290,6
393,123,76,344,9
394,122,75,250,18
395,127,82,294,17
396,125,83,258,16
397,120,90,217,12
398,117,95,151,13
399,102,97,94,13
400,121,99,124,11
401,138,80,93,11
402,139,89,99,18
403,138,80,123,14
404,118,82,120,14
405,121,75,109,15
406,121,87,127,16
407,124,88,267,18
408,117,76,286,20
409,109,75,184,23
410,113,90,196,19
411,131,86,0,20
412,124,87,274,24
413,126,88,133,27
414,128,77,123,37
415,135,76,97,36
416,143,81,65,43
417,125,81,18,48
418,155,79,33,65
419,151,80,40,67
420,140,75,24,82
421,122,75,26,92
422,132,77,0,106
423,126,82,0,139
424,95,85,0,179
425,133,85,21,240
426,128,87,0,293
427,129,94,0,358
428,142,87,0,186
429,125,82,233,38
430,133,86,221,34
431,127,89,358,38
432,129,99,0,36
433,130,85,308,33
434,130,87,95,36
435,126,86,136,37
436,121,103,17,40
437,129,101,86,41
438,125,104,20,43
439,141,115,74,49
440,134,137,14,51
441,126,161,38,63
442,132,190,29,71
443,124,196,40,79
444,128,203,39,97
445,137,202,28,114
446,139,204,24,133
447,133,207,0,129
448,116,213,35,95
449,132,210,391,19
450,132,209,214,21
451,120,208,334,22
452,111,210,269,21
453,126,215,294,20
454,133,211,131,17
455,122,199,175,19
456,150,188,85,15
457,119,186,61,14
458,139,187,102,12
459,139,188,50,10
460,151,176,34,8
461,159,163,100,7
462,152,158,126,10
463,144,158,0,15
464,159,138,29,17
465,145,129,62,16
466,140,113,49,21
467,144,73,67,22
468,149,61,147,21
469,139,64,145,27
470,140,65,199,28
471,144,63,211,21
472,148,60,312,29
473,145,58,311,28
474,139,46,196,34
475,145,41,299,24
476,137,31,302,39
477,123,29,249,78
478,116,26,241,83
479,115,18,208,98
480,110,14,161,115
481,102,0,136,110
482,100,0,128,117
483,98,0,88,108
484,90,0,124,123
485,94,0,146,114
486,92,0,159,117
487,82,7,91,134
488,61,0,101,141
489,59,2,0,147
490,59,13,97,169
491,59,590,100,190
492,57,510,38,208
493,52,498,182,229
494,50,429,218,216
495,42,481,97,245
496,55,232,203,285
497,7,587,328,335
498,49,124,462,387
499,67,125,522,470
500,66,121,379,523
501,77,118,755,511
502,95,0,564,242
503,98,1,506,154
504,101,0,848,131
505,175,24,735,100
506,167,40,667,81
507,128,62,782,87
508,135,101,647,72
509,128,155,569,77
510,124,202,463,72
511,136,228,410,76
512,141,223,491,84
513,131,216,558,95
514,137,217,575,242
515,140,217,456,301
516,137,217,318,268
517,124,209,215,273
518,131,211,165,272
519,134,207,105,228
520,120,223,223,203
521,136,219,220,171
522,118,223,171,147
523,117,218,144,144
524,112,218,220,123
525,134,220,239,128
526,126,218,358,113
527,119,211,342,100
528,120,233,219,84
529,117,210,393,78
530,100,212,293,82
531,106,204,26,78
532,97,204,225,66
533,97,215,47,59
534,94,203,112,57
535,93,196,94,56
536,98,190,124,64
537,115,184,85,51
538,116,178,52,59
539,138,168,44,59
540,147,152,26,54
541,157,120,22,60
542,151,102,24,60
543,159,108,30,61
544,155,102,31,69
545,159,101,40,78
546,151,109,39,81
547,149,97,52,88
548,138,104,0,108
549,141,111,75,132
550,148,113,0,140
551,141,95,0,148
552,130,102,304,147
553,144,102,431,16
554,154,93,466,3
555,162,96,414,4
556,152,85,259,3
557,125,95,521,5
558,136,84,496,7
559,123,84,371,9
560,140,74,206,6
561,136,74,204,7
562,135,72,132,9
563,115,70,148,10
564,130,62,180,50
565,141,49,68,62
566,125,43,33,72
